Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Midlands
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.9  1916    7.4  2024    8.6  1938   11.6  2011   13.7  2024   17.0  2025   19.5  2006   18.6  1997   16.5  2023   12.9  2001    9.3  1994    9.3  2015    6.33  2016   10.23  2025   17.56  2025   12.11  2006   10.86  2025
    6.6  1921    7.0  1998    8.5  1957   10.9  2007   13.0  2018   16.7  2023   19.0  2018   18.5  1995   16.3  2006   12.6  2005    9.0  2015    7.3  1974    6.08  2024   10.18  2024   17.19  2018   12.00  2011   10.80  2022
    6.6  2007    6.9  1990    8.3  2017   10.3  2025   13.0  1992   16.4  1976   18.9  1983   18.3  2022   15.7  2021   12.4  2022    8.9  2011    7.2  1934    6.05  2007   10.00  2011   17.10  2006   11.80  2023   10.76  2023
    6.2  2008    6.6  1945    8.0  2012   10.2  2020   12.9  2025   15.9  2018   18.2  2013   18.2  1975   15.7  1949   12.4  2006    8.6  2022    6.9  1988    5.99  1989    9.96  2017   17.08  2022   11.75  2022   10.58  2024
    6.1  1975    6.5  2002    7.9  1990   10.1  1943   12.9  2017   15.9  2006   18.2  1995   17.9  1947   15.7  2016   12.4  1995    8.5  1938    6.6  2023    5.80  2020    9.73  2007   17.01  1976   11.53  2021   10.58  2014
    6.1  2020    6.5  2022    7.9  1997    9.8  2014   12.9  2008   15.8  2017   18.1  2025   17.9  1911   15.2  1999   12.3  1921    8.1  2009    6.6  2024    5.79  1975    9.72  2014   16.88  2003   11.49  2014   10.51  2006
    6.1  1990    6.4  2026    7.9  2026    9.8  1893   12.8  2022   15.8  1940   18.1  2022   17.8  1990   15.2  1895   12.2  1969    8.0  2020    6.5  1898    5.77  1990    9.69  1893   16.83  1995   11.08  2005   10.46  2011
    6.1  1983    6.3  2019    7.7  1948    9.8  1987   12.7  1947   15.7  2003   17.9  1921   17.8  2003   14.9  1929   12.2  2011    8.0  1997    6.4  2018    5.59  1998    9.67  2022   16.54  1911   11.00  2009   10.43  2020
    5.8  1884    6.3  1961    7.7  1961    9.6  2009   12.7  1919   15.7  1896   17.8  1976   17.5  2025   14.9  2011   12.0  2013    7.9  2002    6.4  1900    5.57  2014    9.61  2020   16.50  1983   10.93  2001   10.34  2018
    5.6  1989    6.2  1903    7.6  2024    9.5  1945   12.6  1952   15.6  1970   17.7  2021   17.5  1955   14.8  2005   12.0  2017    7.9  2014    6.3  1918    5.53  1935    9.50  1999   16.46  1947   10.91  1949   10.29  2017
    5.6  2005    6.2  1997    7.6  2019    9.5  1949   12.6  1964   15.6  1950   17.7  1911   17.3  1899   14.7  2014   12.0  1968    7.9  2025    6.3  1953    5.53  2022    9.50  1945   16.42  1933   10.87  1999   10.21  1990
    5.6  1898    6.2  2023    7.5  1998    9.5  1944   12.6  1999   15.6  1960   17.7  1934   17.2  2020   14.6  1898   11.9  2014    7.8  1939    6.3  2025    5.46  2026    9.39  1992   16.35  1975   10.85  1995   10.21  2007
    5.5  1932    6.1  1926    7.5  2025    9.4  2018   12.5  1989   15.4  2021   17.6  1994   17.2  2004   14.5  1961   11.9  2023    7.8  1899    6.1  1924    5.43  2019    9.36  2003   16.31  2021   10.85  2025   10.16  1999
    5.3  1944    6.1  2011    7.5  1945    9.3  1946   12.5  1998   15.3  1992   17.6  1989   17.1  1984   14.5  1933   11.9  1959    7.8  1953    6.1  1942    5.23  1995    9.33  2009   16.30  1899   10.83  1959   10.15  2004
    5.2  1993    6.1  1914    7.4  1991    9.3  2003   12.4  1970   15.2  1887   17.5  2014   17.1  1933   14.4  1890   11.8  2021    7.7  1978    6.0  1912    5.22  1943    9.24  1952   16.20  2023   10.80  1978   10.14  2002
    5.2  1974    6.0  2020    7.4  2022    9.3  1961   12.3  1918   15.2  2005   17.4  1901   17.0  2019   14.4  1958   11.4  1954    7.7  1951    6.0  1954    5.21  2008    9.18  1990   16.18  2013   10.62  2015   10.11  2003
    5.2  1938    5.9  1995    7.3  2014    9.2  2004   12.3  1922   15.1  2010   17.4  2019   17.0  1893   14.4  1959   11.4  1990    7.6  2018    6.0  2006    5.07  1925    9.15  2002   16.18  1997   10.61  2017   10.10  2005
    5.1  2014    5.8  1918    7.3  1981    9.2  1914   12.3  2020   15.1  2004   17.3  1933   16.8  1959   14.4  2004   11.2  1908    7.6  2003    5.9  2021    5.06  1899    9.15  1943   16.15  2019   10.59  2020   10.05  2019
    5.1  1976    5.7  2014    7.2  1994    9.2  2024   12.3  1911   15.1  1889   17.3  1999   16.8  1983   14.4  1947   11.2  1978    7.6  2006    5.9  1971    4.95  2017    9.15  1959   16.12  2016   10.56  2004   10.04  1997
