Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Midlands
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    3.9  1916    4.2  2024    4.8  1957    6.0  2011    9.3  2024   11.8  2025   13.3  2006   13.5  1997   11.9  2006    9.8  2001    6.8  1994    6.4  2015    3.28  2024    6.25  2024   12.38  2025    8.28  2006    6.84  2024
    3.9  1921    4.2  2026    4.5  1981    5.7  2018    8.3  2022   11.4  2017   13.0  2025   12.9  2020   11.9  2023    9.6  2005    6.0  2011    5.0  1934    3.25  2016    5.50  2017   11.86  2006    8.25  2011    6.83  2023
    3.7  2007    3.9  1990    4.4  2017    5.6  2014    8.2  1999   11.0  2023   13.0  1983   12.8  2004   11.6  2016    9.2  1968    5.9  2015    4.8  1974    3.19  2007    5.48  1999   11.81  2003    8.07  2022    6.60  2014
    3.4  2020    3.5  1998    4.1  2024    5.5  2007    8.1  2017   10.8  2016   12.9  2021   12.5  2022   11.2  2021    9.0  2006    5.9  2022    4.4  1988    3.03  1935    5.39  2014   11.78  2021    8.06  2023    6.60  2006
    3.3  1884    3.4  1961    4.0  1998    5.4  1961    8.1  2008   10.6  2021   12.6  1995   12.5  1975   11.2  1949    9.0  2013    5.4  1938    4.1  2023    3.01  1989    5.13  2011   11.66  2016    7.84  2021    6.58  2025
    3.2  1975    3.4  2011    4.0  1991    5.4  1943    7.8  2014   10.6  1982   12.6  2022   12.4  1990   10.6  1999    8.9  2017    5.3  2009    4.1  2024    3.00  1975    5.12  1998   11.64  2018    7.83  2014    6.50  2022
    3.2  1983    3.4  1926    3.9  1990    5.2  1993    7.7  1952   10.6  2003   12.6  2018   12.4  2008   10.5  2011    8.7  2022    5.1  1997    4.1  1953    2.96  1990    5.11  2007   11.56  2022    7.50  2001    6.46  2017
    3.2  1990    3.3  1945    3.9  2019    5.2  2024    7.7  1964   10.5  2007   12.5  2019   12.4  2003   10.5  1958    8.6  1995    5.1  2002    3.7  2018    2.88  2026    5.10  1992   11.52  2020    7.43  2009    6.38  2011
    3.1  2008    3.2  2002    3.9  1997    5.2  1987    7.7  1889   10.5  2006   12.5  2010   12.3  2019   10.5  1998    8.5  2014    5.0  1953    3.7  1898    2.88  2020    5.00  2022   11.50  2019    7.40  1968    6.38  2020
    2.9  1898    3.1  1903    3.8  1994    5.1  2004    7.6  1998   10.5  1976   12.4  2013   12.3  2025   10.3  1980    8.5  1969    5.0  2014    3.6  2025    2.63  1998    4.92  2023   11.50  1997    7.36  2025    6.36  2004
    2.7  1989    3.1  2017    3.8  2026    5.0  1949    7.5  2006   10.5  2004   12.4  1923   12.2  1995   10.3  2000    8.5  2021    4.9  1939    3.6  1924    2.55  2014    4.90  1952   11.47  2023    7.33  2005    6.29  2002
    2.6  2005    3.0  2022    3.6  1938    4.8  1999    7.5  1992   10.4  2018   12.4  2003   12.2  1955   10.2  2005    8.3  2023    4.9  1946    3.6  1942    2.44  2022    4.82  2004   11.43  2017    7.20  1995    6.25  2007
