Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Northern Ireland
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.0  1963   23.7  1947   21.3  1955   13.8  1936    5.8  1948    1.2  1936    0.0  1935    0.3  1956    2.3  1932    7.0  1939   15.1  1985   23.1  2010    59.6  1963    26.0  1955     1.4  1956    16.6  1952    93.1  2010
   24.7  1979   22.7  1963   21.1  1937   13.0  1938    5.7  1979    1.1  1956    0.0  1948    0.3  1944    1.9  1952    6.4  1931   14.7  1969   20.5  1950    53.0  1951    25.2  1962     1.2  1936    15.2  1993    84.8  1979
   24.5  1985   21.8  1968   18.5  1962   11.4  1983    5.1  1941    0.7  1957    0.0  1949    0.2  1939    1.5  1942    5.9  1993   12.7  2010   19.1  1961    51.7  2010    25.1  1932     0.7  1957    15.2  1985    80.1  1952
   20.6  1952   21.0  1986   16.2  2013    9.4  1932    3.7  1951    0.4  1962    0.0  1955    0.1  1954    1.0  1954    5.3  1937   12.6  1996   17.2  1976    51.6  1979    24.0  1979     0.4  1962    15.1  2010    78.8  1969
   20.3  1945   20.0  1956   14.7  1969    9.3  1968    3.6  1996    0.4  1975    0.0  1971    0.1  1935    0.8  1974    5.2  1955   11.9  1965   16.5  2009    48.0  1947    23.7  1951     0.4  1975    15.0  1969    78.4  1963
   19.7  1959   19.7  1951   13.8  1951    9.0  2021    2.9  1935    0.3  1942    0.0  1942    0.0  1931    0.7  1940    3.8  1981   11.7  1952   16.2  1981    47.0  1952    23.3  2013     0.3  1939    12.7  1942    73.0  1985
   19.1  1984   19.2  1960   13.8  1947    9.0  1986    2.9  1968    0.2  1953    0.0  1939    0.0  1964    0.6  1936    3.6  1941   10.1  1947   15.7  1960    46.5  2011    23.2  1969     0.3  1942    12.7  1936    72.5  1936
   18.8  1941   18.9  1955   13.6  1979    8.8  1953    2.9  1982    0.2  1991    0.0  1952    0.0  1938    0.6  1986    3.3  1992    9.8  1936   15.6  1937    45.9  1941    22.7  1953     0.3  1944    12.6  1996    72.2  1955
   18.1  1940   18.5  2010   13.5  1958    8.5  1970    2.9  1958    0.2  1949    0.0  1959    0.0  1937    0.6  1972    3.1  1952    9.5  1950   15.3  1952    45.7  1991    22.3  1937     0.2  1953    12.3  1965    71.1  1947
   17.7  1956   18.2  1996   13.5  1953    8.5  1934    2.6  2021    0.1  1937    0.0  1940    0.0  2014    0.5  2020    3.0  1948    9.3  1993   14.9  1982    45.6  1936    22.2  1958     0.2  1991    11.3  1937    70.5  1951
   17.6  1980   18.0  1969   13.5  1932    8.2  1956    2.6  1945    0.1  1952    0.0  1937    0.0  1957    0.4  1975    2.8  2003    9.2  1942   14.8  1935    44.6  1985    21.5  1970     0.2  1949    10.7  1950    69.3  1968
   17.3  1939   17.8  1979   13.0  1970    8.0  1969    2.5  1973    0.1  1939    0.0  1933    0.0  1946    0.4  1935    2.7  1987    8.7  1977   14.1  2008    44.5  1977    21.0  1934     0.2  1954    10.5  1947    68.0  1986
