Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Northern Ireland
Areal series, starting in 1891
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.1  1928   26.7  1910   27.6  1903   24.4  1950   23.4  1925   24.2  1907   24.6  1950   27.9  1985   25.7  1950   28.7  1903   24.3  1929   27.2  1912    67.8  2016    60.2  1913    66.0  1924    66.5  2000   235.6  1903
   26.1  1900   24.6  2020   26.2  1912   20.6  1932   23.1  2003   23.8  1912   24.6  1960   27.2  1903   24.2  1918   26.3  1916   24.2  1939   27.0  1911    67.6  1922    58.5  1903    63.5  1907    64.7  1954   229.4  1923
   25.5  1948   23.7  2014   25.3  1994   20.4  1904   23.1  1906   22.5  1928   24.0  1936   25.1  1924   23.8  1954   25.5  1917   24.2  2000   26.6  2015    67.4  2014    58.5  1908    61.6  1985    64.7  1923   217.8  1950
   25.1  1906   23.5  1990   25.0  1905   20.2  1899   22.5  1986   21.7  1946   23.9  1915   24.8  1950   23.6  1896   25.3  1930   23.7  2002   26.4  2011    66.6  1910    57.6  1986    61.5  1950    62.9  1944   216.2  1900
   24.2  1986   23.4  1923   24.9  1897   19.8  1909   22.3  1924   21.1  1935   23.9  1988   24.4  1923   23.1  1946   25.1  1906   23.4  1992   26.4  1919    66.1  1920    56.6  1920    60.9  1946    62.8  1935   214.9  1906
   24.0  1942   23.2  1937   23.6  1988   19.7  1940   21.7  1981   20.4  1980   23.2  1924   24.3  1930   22.6  1908   24.4  1923   23.3  1944   26.0  1929    65.8  1916    56.5  1902    58.1  1910    62.2  1903   213.1  1907
   23.9  1993   23.1  1914   23.4  1992   19.5  1998   21.3  1902   19.8  2012   23.0  1953   23.9  1904   21.6  1975   24.1  1935   22.6  1938   25.9  1959    64.9  1894    55.9  1907    57.9  1958    61.9  1970   212.7  1908
   23.8  1920   21.9  2002   23.1  1908   19.3  1961   21.2  2011   19.7  1958   23.0  2023   23.6  1907   21.4  1934   23.9  1967   22.5  2025   25.7  1966    64.7  1906    55.8  1979    56.7  1922    61.3  1950   212.4  1954
   23.8  1922   21.9  1918   22.9  1978   19.3  1992   21.1  1976   19.7  1938   22.7  1932   23.5  1895   21.4  1980   23.8  1900   22.5  1970   25.6  1900    64.6  1995    54.9  1897    56.7  1912    60.7  1918   212.4  1904
   23.7  1975   21.7  2000   22.9  1921   19.2  1913   20.8  1979   19.6  1900   22.4  2009   23.4  1917   21.4  2017   23.7  1938   22.5  1951   25.5  1934    64.0  1915    53.8  1992    56.3  2012    59.9  1938   209.9  1928
   23.7  2014   21.6  2022   22.2  2008   19.1  1907   20.6  1967   19.5  1945   22.2  1894   22.9  1943   21.0  1899   23.0  2000   22.3  1982   25.4  1915    63.9  1994    53.5  1909    55.8  1903    59.6  1917   208.0  1910
   23.6  2016   20.9  1925   22.0  1896   18.9  1910   20.4  1972   19.5  2002   22.0  1940   22.9  1956   21.0  1974   22.8  1901   22.1  1979   24.8  1914    62.3  1937    53.2  2009    55.7  1894    58.9  2025   206.1  1943
   23.5  1943   20.9  1898   21.8  1986   18.7  1970   20.4  1913   19.4  1897   21.9  1931   22.7  1941   20.8  1970   22.6  1907   21.9  2009   24.3  1993    61.5  1923    52.9  1906    55.3  1943    58.6  1967   204.7  1924
   23.4  1994   20.8  1935   21.7  1895   18.5  1894   19.9  1931   19.2  1943   21.9  2007   22.7  1951   20.8  1927   22.5  1944   21.8  1931   24.3  1918    61.1  1926    52.7  1925    55.0  1923    58.3  1900   204.1  1920
   23.1  1921   20.6  1997   21.7  1914   18.4  1979   19.8  1945   18.7  2020   21.5  1922   22.7  1929   20.7  1901   22.5  1909   21.7  1913   24.2  1999    60.3  1900    52.5  1905    55.0  1904    57.5  1943   201.8  1916
   23.1  2008   20.6  1906   21.2  2023   18.3  1949   19.8  2009   18.6  1998   21.3  1920   22.1  1910   20.3  1923   22.4  1928   21.7  2015   24.0  1949    59.9  2000    51.7  2006    54.8  1956    57.2  2011   201.4  1998
   23.0  1894   20.5  1995   20.6  1913   18.3  1959   19.7  1916   18.6  1910   20.5  1904   22.0  1891   20.2  2025   21.9  1934   21.3  1960   23.6  1921    59.9  1943    51.6  1947    54.7  1960    57.2  2017   200.7  1931
   23.0  1984   20.4  2026   20.6  1989   18.2  2024   19.6  1963   18.5  1991   20.2  1909   21.6  1905   20.1  1892   21.9  1954   21.2  1977   23.5  1910    59.8  1904    51.0  1963    54.6  2020    57.1  1974   200.6  1905
   22.9  2026   20.2  1966   20.5  2024   18.2  1977   19.6  1920   18.5  1972   20.2  1942   21.5  2008   19.9  1948   21.8  1981   21.0  1947   23.0  1986    59.7  1913    51.0  1904    53.9  2023    56.9  1981   199.9  1918
   22.9  1990   20.2  1922   20.2  1995   18.0  1935   19.2  2015   18.4  1955   20.1  1939   21.4  2019   19.9  1984   21.7  1929   20.5  1943   22.9  1923    59.6  2026    50.1  1994    53.5  1928    56.8  1982   199.6  2023
   22.8  2018   19.9  1916   19.9  1983   17.9  1925   19.0  1907   18.2  1947   20.0  1902   21.4  1934   19.7  1942   21.6  2021   20.5  1991   22.8  1974    59.3  1999    49.8  1967    53.4  1998    56.4  1979   199.1  1912
   22.8  1927   19.8  1989   19.7  1939   17.9  1993   18.9  1908   18.0  1990   19.7  1923   21.1  1962   19.6  1943   21.5  2020   20.1  1928   22.7  1965    58.2  1974    49.2  2024    53.0  1895    56.2  1928   198.6  1967
   22.6  1930   19.8  1904   19.6  1909   17.9  1965   18.4  2002   18.0  1966   19.5  1954   21.1  2014   19.4  2000   21.5  2022   20.1  1998   22.7  1906    58.0  1990    48.7  1965    52.9  1938    55.9  1998   198.3  1902
   22.4  1974   19.8  1950   19.6  1947   17.7  1920   18.2  1955   17.9  1931   19.5  1896   21.0  1897   19.3  1957   21.5  1990   20.0  1927   22.6  1994    57.8  1935    48.7  1966    52.9  2009    55.9  1892   198.3  2000
   22.3  1988   19.8  1954   19.5  1980   17.6  2009   18.2  1969   17.8  1919   19.2  1903   20.9  1992   19.3  2010   21.5  1996   20.0  1923   22.4  1893    57.6  1960    48.5  1983    52.8  2007    55.3  1930   197.4  1979
   22.2  1952   19.5  1945   19.4  2019   17.3  1999   18.1  1898   17.7  1924   19.2  2015   20.9  2009   19.3  1999   21.4  1989   19.9  1959   22.4  1980    57.5  1967    48.2  1972    52.7  2008    55.0  1984   196.8  1948
   22.1  2015   19.5  1977   19.3  1957   17.1  1900   18.0  1903   17.6  1948   19.2  2016   20.8  1946   19.1  1981   21.2  1942   19.9  1946   22.1  1954    57.1  1984    48.1  1932    52.6  1897    54.9  1980   196.3  1960
   22.0  1903   19.4  1894   19.3  1902   17.0  1996   17.9  2022   17.4  1965   19.0  1993   20.7  1921   19.1  1962   21.0  2011   19.8  1935   22.1  1952    56.9  1918    48.0  1940    52.4  1930    54.6  2020   196.3  2011
   22.0  1976   19.3  1915   19.3  1920   16.8  1898   17.8  1892   17.3  1987   18.9  2010   20.6  1942   19.0  2011   21.0  2008   19.7  1916   21.9  1925    56.9  2012    47.5  1981    52.2  1980    54.3  1901   196.2  1994
   21.7  1904   19.3  1931   19.2  1967   16.8  1897   17.1  1983   17.1  1927   18.7  1938   19.9  1898   19.0  1968   20.9  2001   19.5  2006   21.8  2023    56.8  1931    47.5  1934    52.1  1900    54.3  2022   196.0  1944
   21.6  1995   19.0  2011   18.9  1970   16.6  1905   17.0  1926   17.1  2019   18.6  1958   19.7  1958   18.9  1967   20.7  1979   19.5  1996   21.8  1951    56.6  1951    47.5  1914    51.9  1948    54.3  1960   195.6  1999
   21.5  1944   18.8  1903   18.9  1982   16.6  1906   17.0  2005   17.1  1944   18.5  1947   19.7  1948   18.9  1935   20.6  1918   19.3  1917   21.5  1982    56.3  2007    47.2  1894    51.6  2017    54.3  2006   195.3  2002
   21.4  2013   18.4  1908   18.7  1981   16.6  2000   17.0  1966   16.7  1896   18.5  2012   19.5  1922   18.8  1961   20.6  1998   19.3  1963   21.3  2020    56.3  1908    47.2  1970    51.5  1953    53.9  1927   195.2  1894
   21.2  1938   18.3  1992   18.7  1987   16.5  1908   16.9  1933   16.7  1898   18.4  1946   19.2  2024   18.8  1924   19.9  1932   19.3  1900   21.2  1942    56.2  1901    47.1  1916    51.2  1954    53.5  1929   195.1  1946
   21.1  1931   18.1  1926   18.5  2006   16.5  1931   16.9  2006   16.3  2011   18.4  2020   19.0  1960   18.3  2019   19.9  1949   19.3  1911   21.2  1998    56.2  1903    47.1  1912    51.0  1929    53.3  1963   195.0  2020
   21.1  1926   18.1  1905   18.4  2014   16.4  1975   16.9  1910   16.1  2025   18.3  1998   19.0  1928   18.3  1925   19.8  1893   19.3  1905   21.1  1898    56.0  2018    46.8  2002    50.4  1936    53.3  1916   194.7  1966
   21.1  1969   18.0  1951   18.2  1940   16.4  1923   16.8  2021   16.0  2007   18.2  1895   18.8  1892   18.1  1919   19.6  1983   19.2  2020   21.0  1901    56.0  2020    46.5  1921    50.4  1896    52.7  1992   194.5  2008
   21.0  1999   17.9  1893   17.7  1907   16.3  1994   16.4  1942   15.8  2004   18.2  1986   18.8  1894   18.1  1937   19.5  1963   19.2  2022   20.9  1946    55.9  1912    46.5  1993    50.2  1927    52.6  1934   194.0  2014
   20.9  1983   17.7  1939   17.6  1927   16.3  2006   16.2  1996   15.7  1922   18.1  1985   18.8  1989   17.8  1891   19.3  1950   19.1  1954   20.9  1908    55.9  1928    46.5  1898    49.9  1931    52.1  1906   193.8  1970
   20.8  1919   17.5  2016   17.5  1963   16.3  1947   16.1  2014   15.7  1985   17.7  1970   18.7  2018   17.7  2023   19.0  1984   19.0  2017   20.8  2014    55.7  2015    46.1  1931    49.6  1915    51.9  1977   193.7  1909
   20.7  1913   17.3  2024   17.5  1966   16.2  1915   16.0  1938   15.5  2017   17.6  1957   18.7  1906   17.6  1955   18.9  1896   18.9  1910   20.8  2006    55.2  1950    45.4  2023    49.6  1902    51.6  2023   193.6  2009
   20.4  1916   17.2  1970   17.2  1959   16.2  2018   15.9  2013   15.4  1954   17.5  2017   18.6  1988   17.6  2006   18.8  1976   18.9  1895   20.7  1891    55.2  1949    45.3  1999    49.4  1965    51.6  1908   193.4  1980
   20.4  1978   17.1  1911   17.1  1928   16.1  1985   15.7  1947   15.4  2016   17.4  1910   18.6  2001   17.4  1947   18.8  1961   18.9  1974   20.5  1899    55.2  1925    45.2  1985    49.1  2019    51.1  2019   193.3  1927
   20.4  1962   17.1  1999   16.8  1930   16.0  1902   15.5  1993   15.2  1963   17.3  1937   18.5  1963   17.3  1985   18.6  1970   18.7  1978   20.3  1895    55.0  1905    45.2  1910    48.9  1917    50.7  1961   193.1  1934
   20.1  1910   17.1  1961   16.7  1917   15.9  1916   15.4  1891   15.2  1913   17.2  1956   18.5  2017   17.0  1944   18.5  2014   18.6  1902   20.3  1945    54.4  1939    45.0  1899    48.8  1988    50.6  2008   192.8  1897
   19.9  1915   17.0  1958   16.7  1991   15.8  2004   15.3  1965   15.0  2008   16.9  1900   18.5  1912   17.0  1978   18.5  1980   18.6  1949   20.2  1950    54.4  1961    44.8  1949    48.5  2016    50.3  1932   192.6  1930
   19.9  1899   16.8  1928   16.6  1934   15.7  1934   15.2  1973   14.9  1971   16.7  2003   18.3  1961   17.0  1983   18.4  2004   18.5  1914   20.1  2012    54.3  1966    44.8  2015    48.2  1951    50.3  2001   192.5  1942
   19.8  1924   16.8  1941   16.6  1979   15.7  1927   15.2  1900   14.9  1901   16.7  1974   18.3  1893   16.9  2016   18.4  1982   18.5  1904   20.1  1960    53.9  1946    44.5  1917    48.2  1963    50.2  1896   192.3  1938
   19.8  1937   16.7  1988   16.4  1977   15.5  1964   15.2  1943   14.8  1956   16.7  1992   18.2  1901   16.7  1932   18.2  1988   18.3  1972   20.0  1983    53.9  1954    44.4  2005    47.7  1944    50.0  1891   192.3  2015
   19.6  1901   16.7  1933   16.3  2017   15.5  1901   15.1  1974   14.7  1894   16.7  1980   18.1  1957   16.7  1893   18.1  2023   18.1  1986   20.0  2013    53.9  1899    44.3  1923    46.9  2015    49.9  1946   191.9  1922
   19.5  2007   16.7  1980   16.2  2026   15.2  2016   15.1  1934   14.5  1917   16.6  1941   18.0  2012   16.3  1987   18.1  1968   18.0  1921   19.9  1948    53.8  1898    44.1  1976    46.6  1920    49.3  1949   191.1  1925
   19.4  1957   16.6  1974   16.2  1985   15.1  1948   15.1  1923   14.5  1982   16.4  1911   17.9  1926   16.3  2005   18.1  1895   18.0  1892   19.8  1958    53.8  1981    43.8  2003    46.1  2014    49.2  1948   191.1  1990
   19.3  1968   16.3  1949   16.2  1954   15.1  1922   15.0  1894   14.5  1936   16.3  2002   17.8  1914   16.3  1960   18.0  2013   17.9  1997   19.8  1909    53.7  1909    43.8  1959    46.0  2002    49.2  1942   190.4  1981
   19.1  1923   16.1  1994   16.0  2015   15.1  1939   15.0  1904   14.2  1952   16.3  1930   17.7  1979   16.2  2012   17.9  1952   17.8  1920   19.7  1896    53.6  1975    43.6  1950    46.0  1891    49.2  2005   190.3  1974
   19.0  2002   16.0  1946   15.7  2009   15.0  2023   14.9  1954   14.1  1892   16.3  1908   17.7  2015   16.1  1982   17.8  1892   17.8  2007   19.6  1907    53.6  1958    43.5  2014    45.8  1905    49.2  1968   190.1  1917
   19.0  1949   16.0  2007   15.6  1904   14.9  2012   14.7  1964   14.1  2022   16.3  1918   17.6  1952   16.0  2004   17.7  1995   17.7  1926   19.6  1940    53.3  2024    43.3  1998    45.7  2004    49.1  2021   189.9  1958
   18.7  1981   15.9  1907   15.6  1951   14.9  1953   14.6  1958   14.1  1994   16.2  2008   17.5  2020   16.0  1903   17.4  1943   17.7  1940   19.4  1936    53.3  2022    43.1  1924    45.7  1934    48.9  1978   189.9  1901
   18.6  1956   15.9  1920   15.6  1942   14.8  1991   14.5  1997   14.0  2023   16.1  1933   17.5  1927   15.9  1940   17.3  2002   17.6  1903   19.4  1916    53.3  1930    43.0  1939    45.4  1942    48.8  1947   189.6  1949
   18.5  2005   15.8  1982   15.5  1891   14.7  1911   14.4  2007   14.0  1929   16.0  1997   17.5  1953   15.8  1958   17.2  1921   17.5  2010   19.2  1928    53.2  1957    43.0  1942    45.3  2024    48.5  2002   189.5  1898
   18.4  1909   15.5  2018   15.5  1965   14.7  1943   14.4  1932   13.7  1916   16.0  1944   17.2  1982   15.8  1953   17.2  2006   17.4  1969   19.2  1944    53.1  1952    43.0  1989    45.2  1908    48.3  1996   189.1  1913
   18.4  1951   15.4  1960   15.4  1937   14.6  2002   14.3  1917   13.7  2001   15.7  1907   17.1  2006   15.6  1964   17.2  1974   17.4  1907   19.2  1973    53.0  2002    42.7  1964    45.0  1990    48.0  2010   188.6  1992
   18.3  1905   15.2  1943   15.4  1941   14.6  2001   14.3  1921   13.6  1969   15.6  1981   16.9  2023   15.4  1988   16.9  2024   17.3  1965   19.2  1964    52.7  2021    42.7  2019    44.5  1974    48.0  2012   188.0  1951
   18.3  1892   15.1  1973   15.2  1919   14.5  1919   14.3  2000   13.6  1920   15.6  1927   16.9  1973   15.3  1992   16.9  2017   17.3  1898   19.0  1905    52.6  1924    42.5  1995    44.4  1937    47.9  2004   187.8  2017
   18.2  1918   15.1  1969   15.2  1998   14.2  1966   14.2  1949   13.6  1999   15.4  1905   16.8  1965   15.3  1956   16.7  1941   17.3  1971   19.0  1978    52.4  1914    42.5  1996    44.4  1941    47.8  1902   187.8  2012
   18.2  1936   15.0  1940   15.1  1933   14.0  1972   14.1  1909   13.4  1981   15.4  2014   16.5  1949   15.3  1951   16.6  1960   17.3  2019   18.9  1956    52.4  1911    42.3  1933    44.1  1901    47.8  1893   187.2  1914
   18.2  1908   15.0  1957   15.1  1936   14.0  1924   14.0  1962   13.4  1997   15.3  1995   16.4  1998   15.3  1900   16.6  1966   17.2  1891   18.9  1922    52.3  2013    42.3  1988    43.8  1962    47.6  1975   187.0  1986
   18.2  1972   14.9  2021   15.0  1976   14.0  2005   13.7  1899   13.2  2003   15.3  1934   16.4  1964   15.2  1998   16.5  1986   17.2  1906   18.8  1938    52.3  2008    42.1  1927    43.7  1945    47.5  1990   186.9  1988
   18.2  1958   14.8  1955   14.8  2018   14.0  2013   13.7  1968   13.2  1902   15.3  1906   16.4  1902   15.2  1922   16.4  1977   17.2  2018   18.8  2004    52.3  1955    42.1  2013    43.7  1952    47.4  1924   186.6  1982
   18.2  2023   14.8  1967   14.7  1999   13.9  1989   13.5  1918   13.1  1959   15.1  1925   16.4  1908   15.1  1902   16.4  1924   17.1  2011   18.7  1894    52.0  1945    41.9  2000    43.7  2001    47.3  1964   186.5  1935
   18.2  2004   14.5  1897   14.3  2016   13.9  1963   13.3  1999   13.1  1937   15.1  1965   16.3  1915   15.1  1945   16.2  1964   17.1  1912   18.7  1932    52.0  1919    41.8  2008    43.7  1966    47.3  1939   186.2  1965
   18.1  1934   14.4  1909   14.3  1968   13.7  1955   13.2  1897   13.1  1968   15.0  1967   16.3  1954   14.9  1920   16.2  2025   17.1  1936   18.7  1979    51.6  1980    41.7  1977    43.6  1935    47.2  1995   184.5  1956
   18.0  1939   14.3  1912   14.0  1956   13.6  1990   13.2  1982   12.8  1964   15.0  1893   16.3  1971   14.9  1930   16.2  1957   16.8  2005   18.6  2021    51.2  1948    41.4  1930    43.6  1957    47.1  1913   183.8  1921
   17.9  1932   14.1  2017   13.9  2007   13.6  1944   12.9  1995   12.6  2013   14.7  1948   16.2  2000   14.8  1917   16.1  2005   16.7  1941   18.5  1924    51.1  1988    41.3  1943    43.6  1918    47.0  1926   183.4  2019
   17.8  1895   14.1  1984   13.9  2004   13.4  1917   12.9  1985   12.6  1978   14.4  1912   16.2  1974   14.6  1936   16.0  1991   16.6  1908   18.5  1904    51.0  1970    40.8  1957    43.5  1986    46.9  1905   182.7  1985
   17.6  1965   14.0  2025   13.8  2002   13.3  2008   12.7  1914   12.5  1908   14.4  1963   16.2  1967   14.5  1897   15.9  1948   16.6  1894   18.5  1967    50.9  1983    40.8  1978    43.3  1893    46.8  1909   181.6  1936
   17.6  1946   13.9  1929   13.8  1972   13.3  1986   12.7  2019   12.4  1979   14.3  1929   16.2  1919   14.5  1963   15.5  2012   16.6  1973   18.4  1957    50.9  1907    40.7  2018    42.8  1992    46.8  1899   181.4  2024
   17.4  1970   13.9  1972   13.7  1894   13.1  1914   12.4  1971   12.2  2000   14.2  2024   16.1  1918   14.4  1995   15.5  2009   16.4  1966   18.3  1903    50.7  1892    40.6  1968    42.6  1994    46.7  2009   181.0  2006
   17.3  1954   13.7  1900   13.6  1990   13.0  1895   12.4  1956   12.2  1911   14.1  1978   16.0  2004   14.3  1898   15.5  2019   16.3  1950   18.1  1955    50.5  1969    40.4  1945    42.6  1892    46.7  1936   180.8  1940
   17.3  1961   13.5  2012   13.4  2005   13.0  1930   12.3  2017   12.1  1950   14.1  1921   15.9  1986   14.2  1977   15.3  1933   16.2  2012   17.9  1977    50.3  1978    40.4  1900    42.4  2011    46.7  1940   180.6  1957
   17.0  2012   13.4  1927   13.3  1906   12.9  1903   12.2  1953   12.0  2024   14.0  1945   15.9  1990   14.2  1926   15.2  1939   16.1  1984   17.8  1984    50.0  1902    40.4  1919    42.4  1971    46.6  1931   180.5  1978
   17.0  1967   13.3  1936   13.2  2021   12.9  1960   11.7  1944   11.9  1951   13.9  2004   15.7  1900   14.1  2008   15.2  1956   15.9  2003   17.7  2017    49.2  1938    40.3  1891    42.2  1911    46.6  1991   179.9  1911
   16.7  2003   13.3  1996   13.1  1932   12.7  1928   11.7  1961   11.9  1970   13.9  1914   15.6  1999   14.1  1952   15.1  1926   15.9  1918   17.6  1931    48.7  1893    40.3  1926    42.2  1926    46.4  1952   179.9  1896
   16.7  1902   13.2  1971   13.1  1993   12.7  1968   11.6  1930   11.8  1961   13.7  1973   15.2  1994   14.0  1993   15.1  1959   15.9  1981   17.6  1997    48.7  1941    40.2  2016    42.1  1991    46.3  1904   179.4  1915
   16.7  1893   12.9  1899   12.9  1922   12.6  1896   11.5  1901   11.8  1930   13.7  1926   15.2  1980   14.0  1904   15.0  1936   15.8  1967   17.1  2000    48.5  1973    39.7  1901    41.9  1979    46.1  1999   179.1  1977
   16.5  2021   12.9  2001   12.8  1923   12.4  1937   11.3  1957   11.7  1962   13.6  1951   14.9  2007   13.8  2020   15.0  1891   15.8  2023   17.0  1897    48.5  1968    39.6  1896    41.8  1999    46.0  1907   179.0  1939
