Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Northern Ireland
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  197.1  1877  231.8  2020  160.7  2019  143.9  1961  156.4  1916  179.3  1897  185.3  1936  205.7  2008  197.3  1950  247.9  1870  237.2  1852  232.6  1876   527.8  1877   353.1  1986   419.8  1912   471.9  2000  1417.9  1872
  195.6  2026  194.9  1990  154.4  1903  127.8  1858  144.9  1981  178.2  2012  181.0  2023  191.2  1985  180.8  1946  210.1  2011  217.8  1890  222.8  1999   504.6  2016   350.0  1947   405.2  2008   463.0  2011  1410.8  2002
  186.8  1928  178.5  1848  148.8  1897  124.8  1993  136.6  1843  168.1  1860  170.9  1896  191.1  1930  179.4  1999  205.2  1990  216.3  2009  219.6  2015   488.3  2014   329.0  2006   404.3  1879   449.2  2025  1379.5  2023
  186.7  2008  170.1  2014  144.9  1992  119.9  1950  136.5  1993  153.9  1912  165.8  1950  178.4  1889  177.8  1962  200.9  2002  192.2  2002  203.8  1919   485.0  1994   328.2  1993   398.5  1958   449.1  1954  1343.4  1928
  183.1  1984  165.4  2002  142.7  2023  119.2  1867  135.6  2002  147.2  2007  164.1  1882  176.8  1956  174.4  1981  188.1  1976  189.9  2015  203.0  1929   437.2  1984   327.1  1916   397.2  2020   438.8  1872  1319.0  2020
  179.4  1988  161.7  1966  142.7  2006  119.0  1916  133.6  1924  145.3  1852  163.8  1867  171.9  1992  162.0  2010  183.9  2023  180.0  1963  197.9  1978   434.6  1848   321.1  1981   395.3  2012   435.3  2002  1317.7  2015
  179.3  2018  161.5  1977  139.8  1988  119.0  1850  133.0  1925  143.2  1907  163.0  1960  169.7  1943  159.6  1934  183.2  1938  179.1  1882  196.9  1993   426.5  1995   315.9  1972   391.4  1861   433.9  1944  1315.4  1877
  176.2  1942  160.2  1923  137.7  1947  118.9  1991  129.5  1986  142.2  1958  159.5  1879  169.2  1923  159.2  1918  182.2  1998  176.9  2014  191.5  1914   422.1  1850   311.4  2002   391.2  1897   422.2  1938  1312.8  1903
  175.7  2016  151.2  2022  135.5  2008  115.5  1857  127.9  2003  139.9  1879  152.1  1888  167.7  1910  157.7  1872  180.9  2000  170.8  1951  188.5  1852   415.9  2026   311.2  1907   388.6  1956   422.0  2022  1302.8  1954
  173.2  2014  150.3  1910  131.0  1981  115.3  1899  124.0  1892  138.4  1931  151.6  1871  166.3  1929  156.5  1985  172.9  1903  166.8  1979  182.2  1847   414.7  1915   302.3  1992   385.4  1950   418.7  1981  1287.7  2014
