Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Northern Ireland
Areal series, starting in 1910
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   75.0  1959  102.3  2004  187.5  2022  216.2  2021  283.9  2025  258.6  1940  246.9  1955  262.4  1947  165.2  1991  113.7  1939   87.7  1925   61.9  2001   201.7  2011   614.3  2025   611.0  1995   334.8  1986  1515.2  1911
   71.2  2011  101.0  1960  161.7  1929  215.7  2025  272.5  1946  258.6  1957  234.3  1989  254.0  1976  160.9  1933  111.4  1987   82.6  1918   61.4  2010   186.8  2001   559.0  2020   588.3  1911   313.5  1987  1461.3  1975
   66.0  1928   98.1  1996  160.8  1924  209.3  2015  256.4  1975  253.9  1949  222.8  2013  236.3  1995  159.8  1986  110.7  1952   81.6  1910   58.9  1935   185.5  1957   541.5  1975   560.2  1968   298.2  2010  1442.5  1955
   65.9  2001   96.9  2018  154.1  2003  208.1  1922  252.4  2017  244.9  1925  210.3  1990  195.8  1968  153.1  1987  109.3  1923   79.4  1950   57.7  1960   181.1  1960   539.3  2007   557.9  1976   295.7  1919  1432.1  1919
   65.5  1957   96.3  1968  146.0  1982  207.6  1942  245.3  2000  237.7  1939  207.3  2006  191.5  1911  148.0  1996  108.8  1929   76.7  1915   53.3  1916   180.7  2018   529.8  1962   550.2  1977   295.6  1915  1426.3  1959
   65.1  1939   94.6  1957  144.9  1923  207.3  1962  239.5  1935  231.5  2009  201.7  1934  190.0  2022  147.2  1928  107.2  1922   76.5  2010   52.7  1946   179.6  1961   527.3  2008   541.6  1989   295.0  1959  1414.9  1995
   63.3  2025   93.4  1970  143.2  1975  207.0  2020  238.2  1927  229.2  1930  200.1  1910  186.9  1977  144.7  1911  106.2  2019   76.3  2016   52.5  1929   178.9  1919   522.0  1948   533.0  1975   294.5  1911  1410.6  2010
   62.5  1922   87.9  2001  142.0  1955  204.6  1974  237.2  1984  227.4  1960  195.7  1943  183.4  1997  142.2  1949  106.1  1926   75.7  1927   51.1  1938   178.1  2004   521.8  1955   531.1  1926   292.0  1923  1386.5  2025
   60.7  1943   86.2  1916  140.2  1922  201.5  1918  235.8  2008  226.6  1975  191.4  1911  182.5  2003  138.6  1959  105.3  1986   75.0  1935   50.3  2022   176.3  2003   511.0  1929   522.0  1917   291.8  1991  1378.4  2006
   60.5  1991   85.6  2006  134.0  1911  195.1  2011  235.4  1977  226.5  2018  191.2  1935  176.0  1914  137.0  1915  105.0  2010   74.3  1974   49.6  2012   173.6  2002   506.7  1946   519.3  1947   288.7  1927  1375.6  1989
