Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Northern Ireland
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.6  1916   10.4  1998   12.0  1938   15.5  2011   17.5  2025   21.4  1887   21.8  2013   22.1  1995   18.2  1895   15.1  1969   11.7  1994    9.9  2015    9.03  1989   14.49  2025   20.05  1995   14.19  2006   13.67  2023
    9.3  1932   10.1  2019   12.0  2012   15.2  2007   17.2  2008   21.0  2023   21.7  2006   22.0  1947   18.0  2023   14.7  1959   11.7  2011    9.6  1898    8.72  1998   13.46  1893   19.56  1976   14.08  2021   13.67  2025
    9.3  1921    9.8  1891   11.9  1948   14.6  2025   17.1  2017   20.1  2018   21.4  1983   21.0  1899   18.0  1959   14.7  2006   11.1  2015    9.6  1988    8.70  2008   13.45  2007   19.53  2006   13.96  1959   13.45  2007
    9.3  1989    9.7  1945   11.7  1961   13.9  2020   16.8  1896   19.7  1940   21.3  1989   20.8  1976   17.8  1949   14.6  1995   11.0  2022    9.5  1934    8.65  2019   13.30  2017   19.46  1887   13.93  2014   13.39  2022
    9.1  1898    9.6  1961   11.5  1929   13.8  1893   16.7  2024   19.2  1893   21.1  2021   20.4  1955   17.8  2006   14.6  2007   10.9  1899    9.5  1921    8.60  1943   13.29  2011   19.44  1899   13.92  2023   13.28  2006
    9.0  2002    9.4  2024   11.5  2003   13.8  2014   16.6  1959   19.0  1899   20.7  1955   20.2  2022   17.8  1898   14.5  1921   10.9  1908    9.4  1974    8.59  2007   13.01  2020   19.37  1983   13.89  2022   13.18  1921
    8.9  2007    9.4  2023   11.4  2025   13.5  2003   16.6  2018   18.9  1970   20.6  1921   20.2  1983   17.8  2014   14.4  2001   10.8  2007    9.3  2016    8.50  2024   12.99  2022   19.36  2018   13.85  2007   13.17  2014
    8.6  1890    9.3  2008   11.2  2022   13.3  1944   16.5  1960   18.9  1895   20.6  1934   20.1  1997   17.8  2021   14.2  1968   10.8  1948    9.3  1942    8.49  2017   12.98  2003   19.35  2013   13.83  2011   13.16  2003
    8.6  2005    9.2  2011   11.2  1945   13.2  1955   16.4  2023   18.9  2010   20.1  2018   20.1  2003   17.7  1941   14.1  2021   10.7  1920    9.1  1953    8.44  2022   12.89  2023   19.28  1975   13.76  1995   13.09  1959
    8.6  1944    9.2  1903   11.0  2017   13.0  2010   16.4  2001   18.9  1896   20.1  2014   20.1  1975   17.6  1971   14.1  1971   10.6  2001    9.0  1924    8.42  1975   12.88  1948   19.26  2025   13.74  1971   13.08  2021
    8.4  1923    9.1  1943   11.0  1957   12.9  1943   16.2  1901   18.8  1949   20.0  1995   19.9  2025   17.4  1991   14.0  1908   10.6  1997    9.0  2024    8.36  2002   12.87  2024   19.17  2021   13.70  2001   13.04  1997
    8.4  1974    9.0  1914   10.9  1950   12.9  1914   16.0  1919   18.8  2006   19.8  2025   19.6  1984   17.4  1929   14.0  2005   10.5  2002    9.0  1971    8.35  1935   12.86  2014   19.14  2023   13.58  1945   13.03  2024
