Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Northern Ireland
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.7  1898    7.6  1998    8.6  1938   10.6  2011   12.9  2024   16.0  2023   17.0  2013   17.0  1995   14.2  2021   11.9  1969    8.8  1994    7.3  1934    6.25  1989    9.78  2025   15.40  1995   10.91  2021   10.17  2023
    6.4  1989    6.7  1945    8.2  1961   10.2  2007   12.3  2008   15.7  1887   16.7  2006   16.5  1947   14.2  2023   11.7  2001    8.7  2011    7.2  1988    5.98  1998    9.42  1893   15.35  2025   10.82  2011   10.09  2025
    6.3  1916    6.7  2023    8.2  1957    9.8  2025   12.1  2025   14.8  2018   16.5  2021   16.1  1997   14.2  2006   11.5  1995    8.4  1899    6.9  2015    5.97  2019    9.27  2024   15.14  2006   10.80  2006    9.83  2022
    6.3  1932    6.7  2019    8.1  2012    9.6  2014   12.0  2017   14.6  1893   16.4  1983   16.1  1955   13.9  1895   11.4  2006    8.1  2007    6.8  1953    5.79  2022    9.17  2017   15.09  2023   10.72  2022    9.77  2007
    6.2  1944    6.6  1961    8.1  1945    9.3  1944   12.0  1893   14.5  1970   16.3  1989   16.0  1899   13.9  1941   11.4  1968    8.1  2022    6.8  1898    5.72  1943    9.12  1945   15.02  1899   10.71  2001    9.66  2024
    6.1  1921    6.4  1903    7.9  1948    9.3  1893   11.8  2018   14.4  1940   16.0  2025   15.9  2025   13.9  1898   11.4  1921    8.0  2015    6.7  1921    5.71  1935    9.06  2011   15.01  2013   10.59  2023    9.63  2006
    6.1  2002    6.4  2024    7.5  1990    9.2  1943   11.8  2022   14.3  1976   15.9  1995   15.8  1983   13.8  1949   11.3  1959    7.9  2004    6.7  1974    5.68  2024    9.06  2014   15.00  2021   10.58  2007    9.58  2014
    6.0  2007    6.2  2012    7.5  2025    9.0  2003   11.8  2023   14.2  2010   15.8  1921   15.6  1975   13.7  1958   11.2  1978    7.9  1948    6.5  2023    5.65  2017    8.95  2007   14.98  1893   10.50  1978    9.57  2005
    5.9  2005    6.1  1993    7.2  2005    9.0  2020   11.8  1960   14.2  1960   15.7  1934   15.6  2003   13.6  2016   11.1  2005    7.9  1997    6.5  2024    5.64  1975    8.89  2023   14.95  2018   10.49  1995    9.55  1949
    5.7  1949    6.1  1943    7.2  1998    8.9  1945   11.7  1896   14.2  1899   15.7  2018   15.6  2022   13.6  1890   11.1  2007    7.8  2001    6.5  2018    5.57  2007    8.83  2022   14.94  1976   10.34  1945    9.54  2021
    5.6  1884    6.0  1918    7.2  2017    8.8  1955   11.6  1953   14.2  2016   15.7  2014   15.5  1893   13.5  1929   11.0  2022    7.8  2002    6.5  2016    5.56  2012    8.72  1961   14.93  2003   10.32  1958    9.53  1997
    5.5  2022    6.0  1896    7.2  1997    8.7  1894   11.6  2001   14.1  2025   15.6  2003   15.3  2004   13.4  1999   10.9  2021    7.7  1920    6.4  1971    5.56  1949    8.71  1999   14.90  1887   10.28  2014    9.48  2017
    5.5  2012    6.0  1926    7.1  1950    8.7  1949   11.5  1959   14.1  1896   15.6  2019   15.2  1984   13.3  2005   10.9  2023    7.6  1897    6.4  1954    5.53  1932    8.70  1959   14.88  1983   10.24  1959    9.45  1945
    5.5  1974    5.9  1891    7.0  2000    8.7  2009   11.3  1992   14.1  1891   15.5  1991   15.2  1976   13.3  2014   10.9  1971    7.6  2020    6.3  1905    5.49  2008    8.70  1960   14.81  2022   10.24  1949    9.43  2004
    5.4  1975    5.8  2011    7.0  1893    8.6  1987   11.3  1990   14.1  2006   15.5  1955   15.1  1916   13.3  1953   10.8  2017    7.6  1938    6.3  1931    5.40  2005    8.68  1990   14.60  2016   10.20  2005    9.40  1921
    5.4  1996    5.7  1939    6.8  2021    8.6  2023   11.3  2014   14.1  1992   15.5  1887   15.1  2019   13.2  1955   10.8  2013    7.6  2021    6.2  1983    5.36  2025    8.65  1997   14.56  1955   10.14  1921    9.39  2003
    5.4  1990    5.7  2022    6.8  2026    8.5  1896   11.3  1889   14.0  2005   15.5  2022   15.1  2012   13.2  1959   10.8  1908    7.6  1995    6.2  1900    5.35  2016    8.64  1952   14.52  1933   10.14  1971    9.39  2002
    5.3  1923    5.7  1949    6.8  1959    8.5  1952   11.3  1964   13.9  1950   15.5  1933   15.1  1990   13.2  2004   10.8  1977    7.5  1978    6.2  1942    5.32  1923    8.61  2003   14.52  1947   10.14  1999    9.36  2011
    5.3  2020    5.6  1897    6.8  2002    8.5  2019   11.2  1999   13.9  2004   15.5  1999   15.0  1991   13.1  2022   10.7  2011    7.5  1953    6.2  1924    5.30  1898    8.57  1896   14.52  1975   10.08  1898    9.35  1995
    5.3  1890    5.6  2025    6.7  1991    8.5  1997   11.2  1919   13.9  1905   15.4  1976   15.0  2016   13.1  1998   10.7  1947    7.5  1955    6.1  2021    5.28  1922    8.54  2020   14.51  2005   10.06  1953    9.35  2019
    5.3  1983    5.6  2002    6.7  2019    8.5  1999   11.2  1970   13.8  2014   15.4  1901   15.0  2013   13.1  1945   10.7  2009    7.5  1924    6.1  1956    5.23  2002    8.54  1943   14.43  2019   10.05  1947    9.32  1998
    5.3  1976    5.5  1923    6.7  2003    8.4  1926   11.2  2016   13.8  1889   15.0  1975   15.0  1959   13.1  1971   10.5  1949    7.5  2024    6.0  1918    5.15  2026    8.53  1948   14.40  1949   10.05  2024    9.32  1999
    5.3  1950    5.5  2008    6.6  2022    8.4  1960   11.2  1952   13.7  1949   15.0  2005   14.9  2021   13.1  2011   10.5  2024    7.5  1939    5.9  1945    5.12  2020    8.48  2002   14.38  1984    9.98  2025    9.32  2016
    5.2  1925    5.5  2026    6.6  2024    8.3  2004   11.1  1998   13.7  2017   14.9  1900   14.9  2023   13.0  2000   10.5  1945    7.4  1945    5.9  2025    5.11  1976    8.48  2009   14.36  1989    9.98  1997    9.30  1893
    5.2  2008    5.5  1914    6.6  1992    8.3  1933   11.1  2020   13.6  2009   14.9  1905   14.9  1911   13.0  1891   10.4  2025    7.4  1917    5.9  2013    5.10  1992    8.46  1957   14.33  1959    9.97  2009    9.29  1959
    5.2  1896    5.4  1920    6.6  1966    8.3  1946   11.0  1947   13.6  2003   14.8  1926   14.9  2002   13.0  1980   10.4  1989    7.4  1908    5.9  1997    5.08  1925    8.44  2004   14.33  1997    9.96  1941    9.28  2020
    5.2  2017    5.3  1946    6.6  1981    8.3  1993   10.9  1895   13.6  1966   14.8  1997   14.9  1933   12.9  1933   10.4  1996    7.3  1958    5.8  2004    5.04  2014    8.43  1992   14.32  2004    9.95  1968    9.23  1898
    5.1  1973    5.3  2000    6.5  1943    8.3  2024   10.9  1940   13.6  2021   14.8  2010   14.9  2020   12.9  1985   10.3  2014    7.2  2025    5.8  2007    5.04  1944    8.43  2008   14.28  2014    9.90  1994    9.20  1953
    5.1  1981    5.3  1953    6.4  1929    8.2  1914   10.9  1890   13.5  2020   14.8  1977   14.8  1944   12.9  1991   10.2  1990    7.2  1913    5.6  2006    5.01  1974    8.36  2012   14.20  2009    9.89  1948    9.18  2018
    5.0  1934    5.3  1928    6.4  1956    8.2  2017   10.9  2004   13.5  1988   14.8  1893   14.8  1906   12.8  2010   10.2  1954    7.2  2014    5.6  1977    5.00  1921    8.36  1998   14.18  2010    9.88  1920    9.17  1943
    5.0  1993    5.3  1997    6.4  1999    8.1  2002   10.8  1901   13.4  2007   14.8  1949   14.8  2000   12.8  2002   10.2  1979    7.2  2018    5.6  1991    5.00  1899    8.33  2019   14.04  2017    9.87  1951    9.17  1990
    5.0  2016    5.3  2017    6.4  1933    8.1  1948   10.8  1989   13.4  2022   14.8  1897   14.7  1936   12.8  1966   10.1  1965    7.2  1983    5.5  1998    4.99  1957    8.29  1938   14.01  1934    9.86  2015    9.10  1989
    4.9  2023    5.3  1921    6.3  2009    8.1  1961   10.7  1922   13.3  1895   14.8  1911   14.6  1949   12.8  2019   10.1  1920    7.2  2003    5.5  1987    4.96  1999    8.24  2005   14.00  2000    9.83  2004    9.07  2009
    4.9  1943    5.2  1959    6.3  1927    8.1  2010   10.7  1911   13.3  1959   14.8  1899   14.6  2006   12.8  1996   10.0  1963    7.1  1951    5.5  1994    4.95  1946    8.19  1944   13.98  2020    9.81  1908    9.05  2008
    4.9  1905    5.2  1908    6.3  2014    8.0  1898   10.7  1918   13.3  1900   14.8  1923   14.6  2008   12.7  2013   10.0  1999    7.1  1888    5.5  1912    4.95  2023    8.15  1933   13.97  2008    9.80  1938    9.03  1983
    4.9  1924    5.2  1992    6.3  2023    8.0  1995   10.7  2011   13.3  1941   14.7  1990   14.5  1937   12.7  1947   10.0  1941    7.0  1999    5.4  1941    4.93  1993    8.09  1991   13.95  1990    9.79  2013    9.02  2000
    4.8  2019    5.1  1995    6.3  1935    8.0  1982   10.6  2007   13.3  1957   14.7  1984   14.5  2005   12.7  1978   10.0  1958    7.0  1946    5.4  1975    4.88  1903    8.03  1950   13.94  1921    9.79  1890    8.99  1971
    4.8  2000    5.1  1990    6.2  1983    8.0  2022   10.6  1956   13.2  1995   14.7  1952   14.5  1884   12.7  2003   10.0  1985    7.0  1889    5.4  2019    4.86  2006    8.02  1949   13.93  1900    9.77  2020    8.99  1948
    4.8  2004    5.1  1999    6.2  1952    8.0  1912   10.6  1908   13.2  1934   14.7  1959   14.5  1945   12.6  1981    9.9  1962    6.8  1902    5.4  1972    4.86  1896    8.01  1981   13.90  1999    9.75  1955    8.98  2013
    4.8  1964    5.1  1894    6.2  1902    8.0  1937   10.6  2000   13.2  1932   14.7  2008   14.4  1981   12.6  1956    9.9  1951    6.8  1956    5.4  1932    4.84  1995    8.00  1912   13.89  1911    9.73  2002    8.97  1975
    4.8  1935    5.1  2007    6.2  1923    7.9  1942   10.5  2002   13.2  1982   14.6  2016   14.4  2024   12.6  2001    9.9  2016    6.8  1894    5.3  1948    4.84  2004    7.99  1940   13.88  1905    9.73  1913    8.96  1899
    4.8  1938    5.0  2021    6.2  1894    7.9  1980   10.5  1978   13.2  1933   14.6  2009   14.4  2009   12.6  1936    9.9  1972    6.8  1981    5.3  1910    4.82  1890    7.99  2000   13.87  1897    9.63  1998    8.91  2012
    4.8  1968    5.0  1989    6.1  1977    7.9  2018   10.5  1980   13.2  1921   14.5  1994   14.3  2001   12.6  1938    9.9  1910    6.8  2006    5.3  1955    4.81  1973    7.97  1956   13.86  1991    9.61  1899    8.91  1957
    4.8  1926    5.0  1935    6.1  2004    7.9  1964   10.5  2009   13.2  1984   14.5  1944   14.3  1969   12.6  1951    9.9  1898    6.8  1964    5.3  2005    4.80  1950    7.94  1890   13.85  1945    9.56  2016    8.90  2001
    4.7  2006    4.9  1922    6.1  1936    7.9  1988   10.5  1937   13.1  1993   14.5  1945   14.3  1926   12.5  1926    9.9  1975    6.8  1921    5.3  1985    4.80  1913    7.94  1988   13.83  1970    9.56  1946    8.90  1938
    4.7  1967    4.9  1971    6.1  1907    7.8  1959   10.5  2012   13.0  1947   14.5  1969   14.3  2018   12.5  2007    9.8  1890    6.8  1931    5.3  1980    4.74  1967    7.93  1993   13.83  1950    9.55  2017    8.89  1933
    4.7  1888    4.9  1927    6.1  2007    7.8  1996   10.4  2006   13.0  1963   14.5  1982   14.3  1973   12.5  1884    9.8  1913    6.7  1906    5.1  1894    4.73  1981    7.92  1939   13.83  2007    9.53  1989    8.83  1944
    4.7  1906    4.8  1887    6.0  2016    7.8  1940   10.4  1950   13.0  1986   14.5  1925   14.3  1918   12.5  1973    9.8  2015    6.7  1922    5.1  1889    4.73  1954    7.92  1964   13.83  1940    9.52  1956    8.82  2015
    4.6  1971    4.8  1938    6.0  1994    7.8  2005   10.4  1939   13.0  2013   14.4  2017   14.3  1999   12.5  1961    9.8  1927    6.7  2023    5.1  1951    4.71  2000    7.91  2018   13.82  1944    9.51  1916    8.82  1988
    4.6  1957    4.8  1967    6.0  1912    7.7  1984   10.4  1991   13.0  1925   14.4  1987   14.3  1935   12.5  2009    9.8  1925    6.7  2009    5.1  1922    4.70  1990    7.87  2016   13.80  1891    9.51  1983    8.82  1934
    4.6  1998    4.8  1974    5.9  2011    7.7  1939   10.3  1945   12.9  1943   14.4  1971   14.3  1939   12.5  2020    9.8  1897    6.7  1947    5.1  1949    4.68  1926    7.79  1895   13.80  1925    9.45  1897    8.74  1991
    4.6  1937    4.8  1934    5.9  1960    7.6  1957   10.2  1997   12.9  1968   14.4  1894   14.2  1898   12.5  1917    9.7  1914    6.6  1928    5.1  2003    4.68  1971    7.73  1946   13.77  1982    9.43  2003    8.73  1926
    4.6  1992    4.7  1982    5.9  1890    7.6  1900   10.2  1944   12.9  1973   14.4  2023   14.2  1998   12.4  1946    9.7  1997    6.5  1892    5.0  2011    4.63  1934    7.73  1889   13.76  1926    9.40  1970    8.73  1994
    4.6  1928    4.7  1913    5.9  1993    7.6  1974   10.2  1965   12.9  1975   14.3  2000   14.2  1914   12.4  1964    9.7  1943    6.5  2008    5.0  1888    4.62  1906    7.73  1982   13.76  1973    9.40  1996    8.72  1976
    4.5  1889    4.7  1885    5.8  1963    7.6  1985   10.2  2003   12.9  2000   14.3  1917   14.2  1970   12.4  1916    9.6  1970    6.5  1986    5.0  1897    4.60  1914    7.68  1926   13.76  1884    9.39  1979    8.70  1939
    4.5  2014    4.7  1975    5.8  1926    7.6  2015   10.2  1917   12.8  1906   14.3  1943   14.2  1940   12.4  1995    9.6  1916    6.5  1898    5.0  1984    4.55  1911    7.67  1894   13.76  1932    9.37  1969    8.70  1884
    4.4  2013    4.7  2009    5.8  1988    7.6  1976   10.2  1905   12.8  1939   14.3  1884   14.1  1917   12.4  1997    9.5  1886    6.5  1916    4.9  1957    4.55  1920    7.66  1953   13.74  2002    9.34  1963    8.69  1961
    4.3  1953    4.7  2014    5.7  1949    7.5  1975   10.2  1988   12.8  1890   14.3  1904   14.1  2007   12.4  1939    9.5  1994    6.5  1886    4.9  1891    4.55  1972    7.66  2010   13.74  1992    9.29  2018    8.69  1890
    4.3  1927    4.7  1962    5.7  1967    7.5  2008   10.1  1912   12.8  1953   14.3  1958   14.1  1980   12.3  1906    9.5  1986    6.5  1971    4.9  1947    4.53  1905    7.61  1935   13.72  1969    9.27  1902    8.68  1960
    4.3  1999    4.7  1980    5.7  1939    7.5  1981   10.0  1954   12.8  2002   14.2  1885   14.1  1996   12.3  1948    9.4  1948    6.4  1963    4.9  2002    4.53  1988    7.60  1954   13.65  1952    9.24  1943    8.68  1992
    4.3  1900    4.6  2004    5.7  1989    7.5  1972   10.0  1892   12.7  1930   14.2  2001   14.1  1942   12.3  1970    9.4  1998    6.4  1987    4.9  1902    4.53  1901    7.57  1927   13.65  1960    9.24  1933    8.67  1889
    4.2  1909    4.6  1884    5.7  1921    7.4  1915   10.0  1981   12.7  1897   14.2  1951   14.1  1897   12.3  1921    9.4  1953    6.4  1980    4.9  1986    4.51  1928    7.56  2001   13.63  1935    9.23  1964    8.65  1964
    4.2  2003    4.6  1976    5.6  1884    7.4  1967    9.9  1943   12.7  1965   14.2  1935   14.1  1989   12.2  1968    9.4  1983    6.4  1943    4.8  1936    4.48  1927    7.55  1942   13.62  1906    9.22  1906    8.64  1973
    4.2  1994    4.6  2020    5.6  2020    7.3  1963    9.9  2010   12.7  1914   14.2  1996   14.0  1927   12.2  1901    9.4  1957    6.4  1998    4.8  1959    4.48  1937    7.53  2006   13.61  1957    9.21  1929    8.62  1955
    4.2  2024    4.6  1899    5.6  1973    7.3  1992    9.9  1995   12.7  1942   14.2  1941   14.0  1952   12.2  2025    9.3  1960    6.3  1949    4.8  1893    4.46  1909    7.50  2021   13.60  2024    9.21  1939    8.62  1982
    4.2  1913    4.6  1966    5.6  1899    7.3  2006    9.9  1930   12.6  1989   14.1  1992   14.0  1953   12.2  1907    9.3  2010    6.3  1992    4.8  1943    4.45  2003    7.50  1980   13.60  1936    9.20  1991    8.62  1896
    4.2  1969    4.6  1948    5.6  2015    7.3  1954    9.9  1966   12.6  1936   14.1  1932   14.0  2017   12.2  1915    9.3  1988    6.3  1970    4.8  1973    4.43  1924    7.48  1995   13.60  1996    9.19  1980    8.58  1958
    4.1  1901    4.5  2006    5.5  1918    7.3  1895    9.9  1928   12.6  2008   14.1  1973   13.9  1932   12.2  1969    9.3  1933    6.3  1979    4.8  2017    4.39  1889    7.47  1918   13.60  2001    9.18  1886    8.56  1914
    4.1  1922    4.5  2005    5.5  1896    7.3  1947    9.9  1971   12.6  2019   14.0  1950   13.9  1925   12.2  1900    9.3  1928    6.2  1960    4.7  1966    4.34  1916    7.45  1966   13.58  1914    9.17  1990    8.55  1984
    4.1  1902    4.5  1909    5.5  1968    7.2  1930    9.9  1887   12.5  1904   14.0  1979   13.9  1968   12.2  1902    9.2  1938    6.2  1932    4.7  1967    4.32  1948    7.43  2015   13.58  1943    9.16  1914    8.53  1947
    4.1  2026    4.5  1912    5.5  1978    7.2  1965    9.8  1961   12.5  1945   14.0  2024   13.9  1987   12.1  2024    9.2  1946    6.2  1968    4.6  1908    4.30  1894    7.42  1929   13.58  1901    9.14  2000    8.53  1897
    4.1  1911    4.5  1905    5.5  1954    7.2  1991    9.8  2019   12.5  1996   14.0  1891   13.9  1919   12.1  1889    9.2  2020    6.1  2005    4.6  2000    4.29  1953    7.41  1976   13.56  1917    9.12  1961    8.52  1946
    4.0  1904    4.4  1958    5.5  1946    7.2  1921    9.8  1982   12.5  1920   13.9  1947   13.8  1958   12.1  1913    9.2  2018    6.1  1895    4.6  2014    4.29  1958    7.39  1921   13.54  1941    9.12  1960    8.51  1978
    4.0  1907    4.3  1893    5.5  2008    7.1  1990    9.8  1903   12.5  1884   13.9  1956   13.8  1895   12.1  1967    9.2  1961    6.1  1975    4.6  1911    4.27  1984    7.38  1989   13.53  1939    9.12  1975    8.51  1911
    4.0  2025    4.3  1964    5.4  1889    7.1  1904    9.8  1933   12.5  1898   13.9  2007   13.8  1886   12.0  1989    9.2  1956    6.1  1989    4.5  1970    4.26  1912    7.38  1987   13.52  1896    9.10  1924    8.50  1894
    4.0  1954    4.3  1984    5.4  1982    7.1  1958    9.8  1931   12.4  1961   13.9  1929   13.8  1909   12.0  1934    9.2  1984    6.1  1959    4.5  1928    4.26  1961    7.38  1994   13.51  2012    8.99  1884    8.49  1905
    4.0  1997    4.2  1911    5.3  1897    7.1  1938    9.8  1936   12.4  1915   13.9  1967   13.7  1957   12.0  2008    9.1  1936    6.1  1937    4.4  1913    4.24  1997    7.37  1974   13.50  1953    8.98  1928    8.49  1932
    4.0  1914    4.2  2003    5.3  1940    7.1  1919    9.7  1929   12.4  1931   13.9  1964   13.7  1938   12.0  1983    9.0  1982    6.1  1912    4.4  1929    4.21  1908    7.37  1963   13.48  1895    8.97  1889    8.48  1967
    4.0  1920    4.2  1957    5.2  1905    7.1  1971    9.7  2005   12.4  1935   13.8  1985   13.6  1977   12.0  2017    8.9  1930    6.0  1901    4.4  1885    4.21  2013    7.36  1914   13.47  1898    8.97  1954    8.47  1970
    3.9  1988    4.1  1898    5.2  1953    7.0  1890    9.7  1888   12.4  1910   13.8  1914   13.6  2015   11.9  1976    8.9  1899    6.0  1957    4.4  2020    4.15  1964    7.36  1978   13.45  1889    8.96  1888    8.47  1980
