Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Northern Ireland
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    4.3  1898    4.8  1998    5.4  1957    5.7  2011    9.0  2024   10.9  2023   12.2  2013   12.1  1997   10.7  2021    9.0  2001    5.9  1994    5.1  1934    3.47  1989    5.67  2024   11.47  2025    7.82  2011    6.67  2023
    3.8  1944    3.9  2023    5.1  1938    5.5  2014    8.4  1893   10.3  2025   12.1  2025   11.9  2025   10.5  2006    8.7  1969    5.8  1899    4.8  1988    3.28  2019    5.44  1945   11.04  2023    7.77  2021    6.55  2025
    3.6  1989    3.8  1993    5.0  1945    5.5  1943    8.1  2022   10.3  2005   12.0  2003   11.9  1995   10.4  2023    8.6  1968    5.7  2004    4.5  1953    3.22  1998    5.43  1893   10.91  2003    7.75  2001    6.30  2024
    3.6  1996    3.8  1945    4.7  1961    5.4  2007    7.6  2014   10.2  2016   11.9  1991   11.8  1955   10.4  1958    8.5  1978    5.7  2011    4.4  1954    3.14  2022    5.27  2014   10.88  1893    7.57  2022    6.27  2022
    3.3  1932    3.7  2012    4.6  1990    5.2  1944    7.5  1970   10.1  1966   11.9  2019   11.7  2004   10.2  2016    8.3  1995    5.4  2007    4.2  1931    3.06  1935    5.13  2025   10.87  2021    7.55  1978    6.18  2005
    3.1  2002    3.7  1961    4.3  2012    5.2  1894    7.5  1889   10.1  1893   11.9  2021   11.7  1893   10.1  1953    8.2  2006    5.1  2022    4.1  2023    2.97  2012    5.06  2017   10.84  2016    7.45  1958    6.13  1945
    3.1  2005    3.6  1903    4.2  1998    5.2  1949    7.4  2008   10.1  1970   11.8  1995   11.7  1990   10.1  1941    8.2  2005    5.1  1955    4.1  1905    2.90  1949    4.96  1992   10.83  1995    7.40  2006    6.11  2007
    3.1  1950    3.3  2024    4.0  2005    5.1  1945    7.4  1999   10.0  2004   11.7  1933   11.5  2008   10.0  2004    8.0  2025    5.0  1997    4.1  2018    2.88  1943    4.95  1999   10.78  2005    7.32  2007    6.11  1949
    3.0  2007    3.3  1896    3.8  1948    5.0  2025    7.4  1953   10.0  2017   11.7  2022   11.5  2016   10.0  1999    8.0  1959    5.0  1897    4.0  1956    2.86  2024    4.95  1961   10.75  2006    7.30  2023    6.03  1997
    3.0  1949    3.3  1926    3.7  1997    4.9  1937    7.2  2011   10.0  1887   11.7  1901   11.4  1983    9.9  2011    7.9  1921    5.0  2002    4.0  1898    2.83  1975    4.88  1960   10.72  2013    7.23  1995    6.02  2021
    3.0  1916    3.3  1918    3.7  2000    4.9  2019    7.2  1964    9.9  1976   11.6  1976   11.3  2021    9.9  1898    7.9  2022    5.0  2001    4.0  1921    2.81  2017    4.87  1998   10.71  2022    7.16  1945    6.01  2004
    3.0  2022    3.2  2019    3.7  1992    4.8  2017    7.2  1960    9.9  1960   11.6  2006   11.3  2013    9.9  1980    7.9  1977    5.0  1938    4.0  1974    2.76  1932    4.87  2023   10.63  1899    7.10  1953    6.00  1998
    2.9  2012    3.1  1943    3.7  2021    4.8  1896    7.2  1998    9.9  1992   11.5  1983   11.3  2012    9.9  1890    7.8  2011    4.9  1953    4.0  2024    2.73  2025    4.86  1952   10.60  2019    7.09  2025    6.00  2006
    2.9  1884    3.1  2025    3.6  2025    4.7  2023    7.2  2023    9.7  1950   11.4  1989   11.3  2019    9.8  2005    7.8  2023    4.9  2021    3.9  2015    2.62  1923    4.85  2011   10.58  1933    7.03  1999    5.99  2017
    2.9  1976    3.0  2026    3.5  1991    4.7  1893    7.0  1992    9.7  2010   11.3  2014   11.2  2023    9.8  1949    7.7  2021    4.9  2020    3.9  1971    2.57  2026    4.73  1990   10.58  2018    6.97  1949    5.98  2002
    2.9  1921    3.0  1946    3.5  1959    4.7  1987    7.0  2018    9.7  2018   11.3  2005   11.2  2020    9.7  1998    7.7  2017    4.9  1948    3.7  2021    2.57  2007    4.72  1997   10.58  2004    6.95  1968    5.98  2014
    2.8  1973    3.0  1939    3.5  2024    4.7  2004    6.9  1952    9.6  1891   11.3  2018   11.2  1906    9.7  1955    7.7  2013    4.9  1958    3.6  2016    2.53  2005    4.67  2022   10.52  1983    6.95  2004    5.94  2019
    2.7  1925    2.9  1897    3.4  2017    4.7  1999    6.9  2017    9.6  2014   11.3  1887   11.2  1947    9.6  2022    7.6  1971    4.9  2015    3.5  1983    2.50  1976    4.65  1957   10.41  1997    6.92  2005    5.91  1999
    2.6  1905    2.9  1949    3.4  2019    4.7  2009    6.8  1947    9.6  2003   11.2  1899   11.2  1959    9.6  1946    7.6  1908    4.9  1945    3.5  1900    2.48  1898    4.60  1943   10.39  1976    6.89  1946    5.82  1953
    2.6  2019    2.8  1923    3.3  1902    4.7  1993    6.8  2025    9.5  2020   11.2  1944   11.2  1975    9.6  1895    7.6  1949    4.8  1995    3.4  1945    2.45  1946    4.60  1959   10.37  1947    6.89  2024    5.79  2016
    2.6  1896    2.7  2022    3.3  1966    4.6  1997    6.8  2001    9.5  2022   11.2  1952   11.2  1991    9.5  1978    7.6  1989    4.8  1924    3.3  1924    2.41  1944    4.59  2019   10.35  2020    6.85  1951    5.77  2011
    2.5  1975    2.4  2002    3.3  1950    4.6  1933    6.7  1890    9.5  1993   11.2  2010   11.2  1899    9.5  1956    7.5  2007    4.7  2024    3.2  1977    2.40  1954    4.58  1991   10.31  1887    6.82  1947    5.75  2020
    2.5  2020    2.4  1953    3.3  1956    4.6  1926    6.6  1990    9.5  2007   11.2  1900   11.1  2006    9.5  1929    7.5  1990    4.6  1978    3.2  1997    2.40  2016    4.53  2002   10.30  1949    6.80  1898    5.73  1893
    2.5  1974    2.4  1928    3.2  1983    4.5  1952    6.6  1896    9.5  1896   11.2  1999   11.1  2003    9.4  2000    7.4  1947    4.6  1920    3.1  1918    2.38  1922    4.52  2007   10.30  1955    6.78  1948    5.73  1995
