Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   26.2  1945   26.6  1947   23.9  1937   16.7  2021    8.2  1979    1.4  1936    0.1  1954    0.5  1932    2.5  1986    9.4  1992   19.5  1985   24.8  2010    67.6  1963    37.7  1951     1.5  1936    23.4  1993   112.2  1979
   25.9  1979   25.6  1963   22.0  1931   14.6  1970    6.4  1995    1.2  1975    0.1  1943    0.3  1944    2.2  1974    8.4  1981   19.3  1969   23.9  1981    64.3  2010    36.9  1979     1.3  1964    21.6  1985   110.2  2010
   25.7  1963   24.3  1968   21.9  1969   14.3  1936    6.4  1996    1.1  1991    0.1  1965    0.3  1977    2.2  1954    7.8  1993   16.6  1996   23.7  1950    62.2  1951    36.7  1941     1.2  1975    20.2  1969   107.3  1969
   24.5  1940   24.3  1986   21.5  2013   14.2  1983    6.3  1935    1.0  1964    0.1  1935    0.3  1938    2.0  1972    7.6  1955   16.1  1965   22.2  1976    61.3  1947    36.0  2013     1.1  1991    19.5  1992   103.1  1941
   24.5  1959   23.7  1955   21.1  1955   14.1  1986    6.2  1955    0.8  1941    0.1  1936    0.2  1973    1.8  1942    7.5  1939   15.0  2010   22.2  2009    60.6  1979    35.1  1969     0.9  1957    19.3  1973   101.7  1955
   24.4  1952   23.1  1942   20.8  1941   13.7  1951    6.1  1968    0.8  1957    0.1  1973    0.2  1964    1.7  1993    6.9  1973   13.9  1993   21.1  1961    58.2  1936    34.9  1970     0.9  1977    19.0  2010   100.6  1942
   24.0  1985   22.6  1969   20.8  1979   13.7  1956    5.9  1948    0.8  1998    0.1  1958    0.2  1931    1.7  1932    6.7  2012   13.7  1952   21.0  1935    56.9  1941    33.1  1962     0.8  1941    18.6  1952    99.3  1981
   23.5  1984   21.8  1979   20.7  1962   13.2  1966    5.9  1982    0.7  1989    0.1  1962    0.2  1999    1.6  1975    6.7  2002   13.4  2016   20.1  1937    56.9  1977    32.9  1955     0.8  1998    18.0  1965    98.4  1951
   23.5  1941   21.5  1970   20.0  1970   12.9  1932    5.9  1942    0.6  1956    0.1  1957    0.1  1962    1.5  1940    6.6  2003   13.0  1966   19.6  1995    55.2  1952    32.6  1958     0.8  1932    17.8  2019    98.2  1965
   23.0  2021   21.4  1983   19.9  1947   12.4  1953    5.3  1938    0.6  1985    0.1  1956    0.1  1937    1.4  1943    5.8  1946   12.7  2019   18.9  1993    55.2  1940    32.1  1995     0.7  1956    17.2  1971    98.0  1968
   22.2  1942   21.3  2010   19.7  1958   11.8  2013    5.2  1941    0.6  1977    0.1  1966    0.1  1966    1.2  1957    5.6  1987   12.6  1944   18.5  1960    55.0  1942    31.7  1931     0.7  2012    17.0  1996    97.1  1985
   20.9  1987   20.8  1956   19.0  1987   11.2  1969    5.1  1951    0.5  2012    0.0  1955    0.1  1951    1.2  1979    5.4  1980   12.4  1971   18.5  1996    54.3  1986    30.6  1975     0.7  1989    16.9  2012    96.4  1963
   20.9  2010   20.2  1960   18.9  1951   11.0  1981    4.9  1994    0.5  1934    0.0  1939    0.1  2012    1.2  1991    5.4  1931   12.2  1973   18.3  1964    53.9  1956    30.4  1942     0.6  1962    16.5  1966    95.0  1947
   20.6  1978   19.9  1996   18.6  1995   10.9  1962    4.7  2012    0.5  1942    0.0  1950    0.1  1948    1.2  1952    5.2  1948   12.1  1977   18.2  1989    53.4  1970    30.2  1968     0.6  1934    15.8  1944    94.7  1986
