Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland
Areal series, starting in 1891
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.4  1928   23.9  1990   26.2  1903   22.0  1904   22.8  1906   24.1  1907   23.8  1988   24.9  1985   24.9  1950   27.2  1903   24.6  1939   26.6  1900    69.3  2014    57.6  1920    62.6  1907    68.5  1954   232.3  1903
   25.2  1900   23.1  2002   25.1  1994   21.5  1899   22.0  1925   21.8  1912   22.5  1953   24.8  1903   23.5  1899   25.3  1917   23.6  1951   25.6  1974    67.6  1894    55.8  1925    60.6  1985    66.0  1923   226.8  1923
   24.8  1921   23.1  2020   24.4  1897   20.7  1927   21.7  1986   20.5  2002   22.3  1920   23.8  1891   22.6  1954   25.0  1932   23.2  1938   25.4  1929    67.4  1916    55.6  1986    59.8  1946    65.1  1938   225.3  1900
   24.6  1993   23.1  2022   24.1  1905   20.2  1977   21.6  1924   19.4  1927   22.1  1940   23.7  1907   22.1  1918   24.9  1923   23.2  1992   25.4  2015    66.0  1995    55.5  1905    58.6  1924    64.4  1917   216.3  1916
   24.6  2008   22.8  2000   24.0  1921   19.7  1932   21.4  2011   19.4  1946   21.9  1924   23.2  1895   21.5  1980   24.8  1935   22.6  1970   25.3  2011    65.9  2016    55.4  1903    56.3  1903    64.2  1935   215.8  1906
   24.6  1975   22.5  1894   22.9  1992   19.7  1947   20.9  2003   19.1  1938   21.3  1900   22.7  1930   21.3  1946   24.6  1938   22.5  1954   25.0  1911    64.9  1920    55.4  1979    55.8  1895    63.7  1903   214.7  1928
   24.4  1990   22.3  2014   22.5  1913   19.4  1934   20.6  1902   19.0  1928   21.2  2015   22.7  1923   21.2  1974   24.4  1967   22.4  2015   25.0  1898    64.6  1937    55.3  1902    55.5  2017    63.0  2000   213.5  1905
   23.9  1983   22.2  1997   22.4  1967   19.0  1985   19.9  1894   18.9  2004   21.0  1915   22.4  1992   21.1  1891   23.8  1983   22.3  1986   24.6  1949    64.3  2000    54.7  1967    55.1  1950    61.7  1984   213.4  1954
   23.7  1994   21.9  1925   22.3  1914   19.0  2012   19.3  1967   18.7  1991   21.0  1931   22.0  1904   20.9  2011   23.7  1930   22.2  2000   24.5  1912    64.2  1922    54.6  1904    54.9  1923    61.5  1982   212.2  1938
   23.4  2016   21.6  1910   22.2  1912   18.9  1950   19.2  1945   18.6  1945   20.3  2023   21.9  1943   20.8  1923   23.6  1934   22.1  1959   24.5  1966    63.7  2020    54.2  1913    54.7  1928    60.9  1981   210.3  1904
