Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  302.8  1993  289.5  1990  248.4  1994  194.0  1947  188.6  2011  176.5  1872  191.2  1988  228.7  1985  265.1  1950  254.2  1935  260.4  2009  322.6  2015   736.6  2016   427.6  1986   479.1  1985   679.8  1981  1891.8  1990
  277.9  1928  277.3  2020  239.3  1990  163.1  1867  177.7  1986  155.8  1838  176.8  1940  223.5  1992  228.1  1981  249.3  1938  240.4  2006  306.9  1852   731.0  2014   413.9  1994   449.4  1877   617.1  1954  1862.9  2011
  275.2  2008  268.3  1997  210.5  1903  159.5  1904  152.7  1925  155.5  1938  167.4  1939  210.8  1861  200.2  1982  247.1  1983  239.8  2015  295.5  2013   675.4  1995   411.8  1967   439.1  2019   611.4  1982  1837.4  2015
  254.1  1975  259.3  1848  207.9  1967  147.6  1910  150.7  2015  152.8  2017  166.5  1985  207.9  2019  198.6  1869  247.0  1903  236.9  1938  277.1  1986   669.8  2000   408.5  1992   432.8  1846   609.8  1938  1801.7  2020
  253.2  1974  245.0  1894  207.6  1992  145.2  1934  143.6  1906  150.9  1877  164.9  2010  203.4  1962  195.6  1985  246.1  2014  235.1  1981  270.8  1999   669.7  2020   400.2  2015   425.5  2009   607.6  1984  1766.5  1872
  251.4  2016  243.6  2002  188.4  1979  143.0  2024  138.0  2003  144.5  1856  161.4  1846  200.3  2009  195.3  1872  242.5  1967  232.2  1877  262.2  1929   630.4  1990   391.8  1990   424.9  1948   584.6  1935  1748.7  1998
  250.8  2015  237.8  1989  186.5  1989  137.3  1949  132.8  1920  143.4  1907  158.6  1956  197.3  2024  194.7  1885  241.3  2020  230.8  1984  262.2  2011   630.1  2007   386.7  1913   417.4  1956   582.8  2006  1747.5  1877
  248.0  1852  234.4  1868  179.0  1876  136.0  1925  129.3  2007  143.0  1966  158.0  2023  195.2  1930  191.8  1995  241.3  1954  228.5  1986  260.8  2006   617.4  1894   382.4  1947   415.1  1861   577.4  1917  1742.6  1903
  244.8  1990  225.9  2022  178.9  1921  135.2  1994  125.3  1967  138.4  1980  154.6  2009  193.9  1903  187.8  1978  239.7  2001  226.3  1917  255.8  2023   590.7  2015   376.1  1925   408.8  2017   569.4  2011  1738.9  1999
  241.2  1983  221.5  2014  178.6  2019  134.2  1932  122.3  1922  138.2  1931  154.5  1953  193.5  1868  187.6  2011  236.1  2008  225.2  1982  251.2  1974   586.1  2024   375.4  1979   406.9  1872   564.7  2000  1738.3  2014
  240.0  2005  204.4  1995  174.2  1861  134.2  1977  121.6  1954  137.6  2002  151.3  1998  189.2  2004  187.4  1980  235.0  1998  222.1  1951  249.5  1949   584.5  1868   370.0  2011   403.8  1879   562.6  1872  1732.1  1938
  238.0  2007  201.3  1998  172.8  1978  134.2  1927  121.5  1963  134.0  1848  151.0  2015  187.8  2014  186.9  1839  234.8  2000  221.2  1991  246.9  1912   584.0  1989   364.0  1963   402.0  1903   554.0  2009  1731.2  1992
  234.3  1962  200.2  2000  171.8  1913  133.6  1950  121.3  2009  133.6  1948  150.6  1946  186.3  1923  185.5  1863  232.9  1917  219.0  1861  246.6  2024   576.5  2008   362.7  1920   400.3  1838   550.0  1980  1716.8  2008
  229.5  1921  199.6  1903  171.2  2015  129.6  1899  121.0  1916  131.2  2004  150.4  1873  185.3  1989  184.6  1935  226.5  2021  214.6  1979  243.6  1898   572.5  1853   361.4  1868   396.8  1988   546.1  2022  1701.2  2000
