Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland
Areal series, starting in 1910
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   55.6  1959   92.8  2018  157.2  2022  214.5  2021  270.2  2025  239.6  1940  240.9  1955  240.3  1947  140.3  1996  104.6  2003   68.1  1925   43.0  2001   172.8  1963   593.7  2025   616.3  1995   278.2  1959  1444.5  1955
   51.7  2001   91.8  2003  149.8  1929  206.5  2025  231.8  2000  233.6  1949  214.7  1989  219.1  1995  139.1  1959   99.5  1939   64.8  1989   40.8  1995   163.1  2018   520.4  2020   573.9  1955   275.0  2003  1399.4  2025
   50.8  1963   90.2  1963  143.0  2003  203.7  2020  225.1  1946  227.2  1957  202.6  2013  217.5  1976  137.1  1991   96.7  1998   63.4  1996   40.2  2010   158.6  2001   484.1  1942   544.0  1976   269.7  1996  1378.2  2018
   49.4  2025   89.0  1970  127.9  1953  203.2  1942  224.3  2018  224.5  2023  200.1  1990  180.3  2003  135.8  1987   96.1  1959   63.3  2016   37.4  1960   155.9  2003   484.1  1955   540.8  1911   264.3  1915  1369.6  2003
   48.6  2021   87.6  1960  124.9  2012  196.3  2015  222.8  1980  223.1  1970  191.9  1917  171.3  1997  135.2  1928   95.2  2016   59.3  1965   37.4  1957   149.8  1985   481.6  1948   520.9  1977   259.9  1971  1354.5  1995
   48.3  1965   82.4  1968  123.5  2007  188.5  1962  221.2  1948  220.9  1925  191.8  2014  170.7  1968  134.1  1933   93.4  1997   59.1  1988   37.4  1976   149.3  1959   481.4  2007   516.0  2018   258.2  1997  1321.0  1911
   47.4  2019   81.2  1975  121.3  1931  186.0  1974  221.1  1975  215.3  2018  191.3  1935  170.7  1938  134.1  1997   93.2  1922   58.8  2013   37.3  1935   148.8  1930   481.4  1929   511.5  1989   256.6  1998  1314.1  1975
   46.0  2024   81.2  2004  119.9  1923  180.2  1981  220.2  1935  215.2  1995  191.1  2006  167.9  1977  126.1  1971   91.1  1971   58.5  1976   37.2  2006   148.7  1968   470.1  2015   511.4  1975   255.4  1928  1309.4  1989
   45.9  2017   80.6  2013  119.9  1956  178.7  2007  218.7  1992  208.3  1975  185.1  1976  167.5  1911  125.9  2024   91.0  1972   57.4  1947   37.1  1961   146.3  1977   469.3  2008   500.7  1917   254.7  2016  1286.9  2009
   45.1  1991   79.2  1930  118.0  1948  175.5  1984  215.0  2020  207.7  1920  182.2  2018  164.4  1984  124.6  1960   90.7  2019   56.5  2003   36.9  1967   145.2  1960   464.0  2009   496.8  1949   253.7  1972  1278.9  1977
   44.9  2000   78.4  1979  117.8  2026  175.2  2011  212.7  2017  206.0  1915  182.1  1995  160.4  1955  124.2  2015   88.9  1915   55.7  1952   36.2  1920   144.1  2021   463.9  2001   496.5  1947   252.0  1987  1271.5  2023
   43.9  1977   78.3  1955  117.3  2017  175.0  1954  210.1  2001  205.5  1921  180.3  1911  159.3  1975  122.7  1934   88.2  1923   55.5  2017   35.1  1953   143.9  2019   460.6  2018   492.7  1969   249.5  1926  1257.7  2006
   43.7  2012   76.8  1985  117.1  2001  166.5  2006  210.0  2009  202.1  1936  179.7  1972  157.5  2022  122.2  2023   87.7  1973   55.3  2011   34.6  2007   143.4  1962   458.0  2017   488.0  1925   248.8  1923  1257.4  1959
   43.2  1952   75.8  2001  116.9  2025  166.2  1956  209.3  2008  201.8  2009  179.3  1982  153.3  1919  122.0  1915   87.3  1936   54.5  1961   34.5  1938   143.2  1970   455.5  1946   485.6  1933   248.7  1986  1255.9  1949
   42.5  2023   75.6  1986  115.4  1911  166.1  2003  208.0  1915  201.7  1939  179.1  1943  153.3  2025  119.9  1986   87.2  2007   54.0  1910   34.2  2014   142.1  2004   455.4  1980   485.4  2009   248.5  2010  1246.4  1919
   42.5  1985   75.1  2008  113.8  1970  165.5  1955  206.4  1911  200.1  1917  176.0  1971  153.1  1945  119.2  1919   87.0  1926   53.8  1998   33.3  1946   141.7  2015   454.0  1956   485.2  1919   247.2  2019  1245.4  1929
   41.8  1992   74.6  1950  113.4  1973  165.3  1914  206.2  1955  199.9  1967  174.7  1919  150.7  1983  118.9  1979   86.9  1981   53.6  2010   33.3  1970   139.5  2024   452.8  2016   485.0  2023   245.7  1919  1242.3  1915
   41.6  2009   74.2  2016  113.1  1933  165.0  2013  206.1  1951  199.8  1960  174.2  1983  149.0  1914  118.7  1949   86.9  1985   53.5  1926   33.2  1999   138.7  1975   449.4  2003   484.4  1921   244.6  1910  1239.1  2020
   41.6  1933   72.2  1957  112.3  1955  164.1  1921  205.5  1994  199.0  1930  172.4  1934  148.5  1933  118.2  2004   86.4  2008   53.4  1915   33.1  2004   138.7  1961   447.0  2012   482.4  1926   244.5  2012  1238.1  2010
   41.5  2015   72.0  1996  111.9  2009  161.7  2019  203.8  1942  197.4  1969  170.7  1926  148.5  1999  117.9  1955   86.3  2015   53.2  2005   33.0  1996   138.5  1979   446.3  2021   482.2  2003   244.1  2015  1233.8  1921
   41.3  1932   71.3  1973  109.4  2004  161.2  1957  203.7  2016  195.1  1933  170.4  1977  148.1  1926  117.8  1911   85.5  1986   53.1  1950   33.0  1929   138.1  2000   445.5  1974   475.6  1983   243.4  2023  1233.2  2022
   41.0  2011   71.3  1932  109.0  1910  160.9  1912  203.1  2012  192.9  1911  170.4  2021  146.8  1973  117.7  2025   84.6  1952   52.5  2018   32.9  1951   138.0  1952   445.3  1935   475.4  2006   242.9  1911  1232.9  2021
