Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Scotland
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    8.2  1989    8.7  1998   10.9  2012   13.6  2011   16.3  2024   19.4  2023   20.4  2006   20.7  1947   16.8  2006   13.6  1908   10.5  2011    8.5  2016    7.69  1989   12.91  2025   18.37  1995   12.84  2006   12.25  2025
    7.8  1932    8.5  2019   10.2  1948   13.3  2007   15.7  2025   18.8  1940   19.8  2013   20.2  1995   16.6  2023   13.6  1959    9.9  1994    8.3  2015    7.23  2017   11.76  2003   18.31  1976   12.73  1959   11.93  2022
    7.8  1916    8.1  1891   10.0  2003   13.2  2025   15.6  2018   18.1  1887   19.8  1955   19.4  1997   16.6  1895   13.5  1969    9.7  1899    8.3  1988    7.16  1932   11.67  1893   18.14  2003   12.56  2011   11.92  2003
    7.5  1898    7.9  2023    9.9  1938   12.4  2003   15.4  2017   18.0  1970   19.4  2018   19.2  1976   16.4  1959   13.1  2001    9.6  2022    8.1  1971    7.03  1998   11.58  2024   18.12  2006   12.49  2022   11.79  2023
    7.3  2020    7.7  2008    9.8  2025   12.2  1893   15.4  1896   17.8  2018   19.4  1901   19.1  1899   16.3  2021   13.0  1995    9.3  2020    7.8  1924    7.00  2007   11.56  2007   18.03  1955   12.42  2014   11.72  2014
    7.2  2007    7.3  1943    9.8  1929   11.8  2009   15.3  2008   17.6  1933   19.2  2021   19.1  1955   16.3  1906   12.9  2006    9.3  2003    7.6  2024    6.81  2019   11.55  2017   18.02  2025   12.41  2021   11.68  2006
    7.2  2022    7.2  1934    9.8  2022   11.8  2020   15.0  1919   17.3  1960   19.1  2014   19.1  1975   16.2  1958   12.9  1921    9.0  2014    7.6  1921    6.70  2005   11.49  2011   17.99  1933   12.30  1945   11.55  2007
    7.1  2005    7.2  1961    9.7  1945   11.7  2019   15.0  2001   17.3  1899   19.1  1983   18.8  2003   16.2  1949   12.8  1945    9.0  1953    7.6  2013    6.69  2008   11.43  2022   17.89  2023   12.07  1958   11.51  2024
    7.0  1923    7.2  1945    9.5  1961   11.7  1914   15.0  1992   17.3  1889   19.0  1976   18.6  1984   16.1  1933   12.8  2007    9.0  1997    7.5  1898    6.65  2020   11.39  1948   17.89  2021   12.02  1949   11.50  1997
    7.0  2002    7.1  1914    9.3  1957   11.6  1894   14.9  1960   17.2  1893   19.0  1989   18.5  2025   16.1  2014   12.5  2005    8.9  1948    7.5  1974    6.62  1949   11.26  2009   17.87  2018   11.98  1999   11.47  1959
    6.8  1974    7.1  2012    9.2  2026   11.5  1955   14.9  1901   17.1  1992   18.9  2025   18.4  1983   16.1  1898   12.5  2017    8.9  2021    7.5  1934    6.61  1975   11.23  2020   17.84  1899   11.98  1908   11.43  2004
    6.7  1921    7.1  1903    9.0  1997   11.5  2014   14.8  1940   17.1  2006   18.8  1934   18.1  2022   16.0  1890   12.4  2022    8.9  2018    7.5  1942    6.59  2022   11.19  2014   17.82  1947   11.98  1995   11.43  2020
    6.7  1944    7.1  2024    9.0  2017   11.4  1974   14.8  1895   17.0  1905   18.8  1933   18.0  1911   16.0  2016   12.4  2015    8.8  2015    7.4  1900    6.55  1943   11.12  1945   17.65  2022   11.97  2015   11.42  2011
    6.7  1990    6.9  1993    9.0  1933   11.2  1952   14.7  1959   17.0  2010   18.7  2003   17.9  2004   15.9  1941   12.4  1977    8.8  2001    7.4  2004    6.50  1992   11.10  1959   17.64  2013   11.94  1906   11.38  2005
    6.6  1983    6.9  1949    8.8  1953   11.2  1942   14.7  1889   16.9  2003   18.6  1995   17.8  1959   15.9  1999   12.2  1971    8.8  1978    7.4  1953    6.50  2014   11.05  2004   17.52  1997   11.90  2001   11.37  1949
    6.6  1890    6.9  1920    8.7  1894   11.1  1946   14.7  1911   16.9  2021   18.4  2019   17.6  1893   15.6  1971   12.2  1972    8.7  1955    7.2  1975    6.47  1935   10.96  2012   17.51  1975   11.89  2005   11.33  1945
    6.6  1975    6.8  1896    8.7  1893   11.0  1987   14.5  2023   16.7  2014   18.2  1991   17.6  2002   15.6  2002   12.1  2014    8.7  2006    7.2  2025    6.40  2025   10.94  1960   17.41  1983   11.83  1898   11.32  2017
    6.5  1934    6.8  1918    8.7  1950   11.0  1944   14.5  2020   16.7  1976   18.2  1984   17.6  1991   15.5  2003   12.1  2011    8.7  1920    7.1  1931    6.35  2016   10.94  1896   17.38  1984   11.81  1953   11.31  2019
    6.5  1957    6.8  1939    8.6  1990   10.9  2015   14.3  1978   16.7  1930   18.1  2022   17.6  1933   15.4  1945   12.1  1978    8.7  1938    7.1  1983    6.30  1976   10.89  1952   17.37  1887   11.80  2007   11.28  2021
    6.5  2000    6.8  1992    8.6  2007   10.9  1912   14.3  1980   16.7  1936   18.1  1997   17.6  1944   15.4  2022   12.1  1947    8.7  1913    7.1  1905    6.28  1925   10.89  2002   17.32  1911   11.75  2003   11.24  1953
    6.4  2017    6.7  2007    8.6  2014   10.9  2002   14.2  1990   16.6  1988   18.0  1982   17.5  2021   15.4  1955   12.0  1949    8.7  1894    7.0  1998    6.27  2002   10.86  1990   17.22  1893   11.70  2023   11.23  2018
    6.4  1949    6.7  2017    8.5  2000   10.8  1960   14.2  2000   16.6  2022   18.0  1926   17.4  1939   15.4  2005   12.0  2021    8.7  1945    7.0  1956    6.23  2012   10.83  1957   17.21  2014   11.70  2025   11.23  2009
    6.1  2008    6.7  1997    8.5  1991   10.8  1984   14.2  2004   16.6  2009   17.9  1911   17.4  1969   15.3  1996   12.0  2013    8.7  2004    7.0  2006    6.22  2024   10.77  2023   17.11  2019   11.68  1971   11.22  2016
    6.1  1925    6.6  2022    8.4  2005   10.8  2022   14.2  2016   16.6  2025   17.9  1994   17.4  2023   15.3  1998   12.0  1968    8.6  1951    6.9  1941    6.22  1957   10.77  2019   17.09  2009   11.67  2024   11.21  2002
    6.1  1905    6.5  2025    8.4  1973   10.8  1980   14.2  1952   16.6  1939   17.9  1999   17.4  1996   15.3  1907   12.0  1996    8.6  1995    6.8  2018    6.16  1934   10.76  1997   17.04  1934   11.65  2009   11.20  1933
