Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Scotland
Areal series, starting in 1884
Last updated 01-Apr-2026 11:35
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    3.2  1989    4.1  1998    4.1  1938    4.7  2011    8.5  2024    9.5  2023   11.2  2019   11.1  1997    9.7  2006    8.3  2001    5.1  1994    3.7  1934    2.50  1989    4.48  2024   10.23  2025    6.75  2011    5.21  2014
    2.9  1898    2.4  1993    3.6  1957    4.5  2007    6.9  2022    9.2  2014   11.1  2003   10.9  2004    9.6  2021    7.5  1969    4.8  2011    3.4  1988    2.09  1998    4.28  2014   10.12  2003    6.67  2022    5.13  2022
    2.4  1916    2.2  2023    3.4  1961    4.4  2014    6.3  1889    9.2  2003   11.1  1991   10.7  1975    9.5  2016    7.3  1908    4.6  1997    3.4  1971    1.74  1935    3.77  2011    9.86  2019    6.60  2006    5.08  2025
    2.2  2020    2.2  1918    3.3  1945    4.1  2004    6.2  2023    9.0  2025   11.0  2021   10.7  2025    9.2  1999    7.1  2022    4.5  1899    3.3  1924    1.73  1923    3.70  1961    9.81  2021    6.54  2021    4.95  2024
    2.2  1923    2.0  1903    3.2  2012    3.9  1943    6.2  1964    8.9  2017   11.0  2025   10.5  2019    9.0  1941    7.0  2005    4.4  2022    2.8  2016    1.71  2014    3.68  1999    9.79  2023    6.36  2001    4.87  2023
    2.2  2022    1.9  1896    3.0  1990    3.9  1944    6.2  2008    8.9  1966   11.0  1933   10.4  2002    9.0  1958    6.8  1995    4.0  1953    2.7  2024    1.70  1925    3.67  2017    9.78  1933    6.21  2014    4.84  2004
    2.0  1996    1.8  1945    2.8  1997    3.8  2009    6.1  2014    8.8  2020   11.0  2006   10.4  2008    9.0  2023    6.8  2006    4.0  2020    2.6  1900    1.66  1932    3.66  2007    9.76  2006    6.10  1953    4.84  2007
    1.9  2007    1.8  1943    2.5  2005    3.7  2003    6.1  1893    8.7  1976   10.8  2013   10.3  1991    8.9  2014    6.8  2011    3.8  2002    2.6  2015    1.63  2007    3.64  1945    9.61  2022    6.02  1978    4.83  2005
    1.9  1932    1.8  1934    2.4  2019    3.5  1933    6.1  1952    8.7  2005   10.6  2018   10.3  2023    8.8  1949    6.7  1978    3.8  1938    2.5  1974    1.59  2017    3.63  2004    9.55  2004    5.99  1999    4.83  2002
    1.6  1974    1.6  1961    2.4  2025    3.5  1949    6.0  1970    8.7  1992   10.5  1901   10.3  1959    8.8  2009    6.7  2017    3.7  2014    2.5  1931    1.41  2020    3.61  2025    9.52  2018    5.91  1908    4.80  2006
    1.6  2005    1.6  2012    2.4  2000    3.5  1960    6.0  2017    8.6  2004   10.5  2022   10.2  1995    8.7  2011    6.7  1921    3.7  1906    2.5  1905    1.37  2022    3.55  1992    9.50  2013    5.85  1949    4.78  2017
    1.5  1983    1.6  2019    2.3  2014    3.4  1999    6.0  1999    8.6  2002   10.5  2008   10.2  2009    8.7  1895    6.7  1959    3.6  1931    2.5  2013    1.29  1943    3.52  2003    9.43  2008    5.82  1945    4.76  1997
    1.5  1990    1.6  1939    2.2  2021    3.4  1926    5.9  2018    8.6  2016   10.4  1976   10.2  1990    8.6  2005    6.7  1977    3.6  1894    2.3  1956    1.25  1972    3.49  1952    9.42  2002    5.81  2009    4.73  2011
    1.5  1925    1.5  1990    2.1  1948    3.4  1896    5.9  1992    8.5  1960   10.3  1983   10.2  1969    8.6  1980    6.7  2013    3.6  1920    2.2  1898    1.18  1976    3.49  1960    9.42  1997    5.81  1995    4.68  2020
    1.4  1944    1.4  2026    2.1  1950    3.4  1937    5.8  1918    8.5  2022   10.2  1934   10.2  1955    8.6  2000    6.6  1968    3.6  2021    2.2  1953    1.15  1949    3.49  2002    9.36  2009    5.73  2005    4.66  2019
    1.4  1890    1.4  2024    2.0  2024    3.3  2019    5.8  1998    8.5  2010   10.1  1995   10.1  1893    8.6  1890    6.5  2021    3.5  2015    2.1  1921    1.15  2026    3.48  1997    9.34  2016    5.66  1958    4.63  1953
    1.4  1934    1.4  1926    2.0  1959    3.3  2025    5.7  2002    8.5  2007   10.1  2014   10.1  1947    8.6  1998    6.4  2025    3.5  1955    2.1  1910    1.14  2005    3.46  2009    9.29  2014    5.57  1959    4.63  1990
    1.4  1884    1.4  2014    2.0  1983    3.3  1961    5.7  1940    8.4  2006   10.1  1899   10.1  2003    8.5  1966    6.3  1949    3.5  2018    2.1  2025    1.12  1975    3.46  2022    9.29  1899    5.53  2007    4.61  1999
    1.3  2002    1.3  1914    2.0  1943    3.3  1987    5.6  1919    8.4  2018   10.0  1900   10.1  1917    8.5  1953    6.3  1979    3.5  1897    2.0  1975    1.11  2025    3.45  1938    9.27  1947    5.53  1951    4.56  1998
    1.3  1921    1.3  1967    1.9  1992    3.2  1993    5.6  2004    8.4  1970   10.0  1923   10.1  2013    8.5  2022    6.1  1996    3.4  1902    2.0  1942    1.08  1934    3.45  1933    9.27  2005    5.52  1938    4.53  2003
    1.2  2014    1.3  1923    1.9  1998    3.2  1894    5.6  1953    8.4  2021   10.0  1944   10.0  1983    8.3  1945    6.1  1990    3.4  1924    1.8  1997    0.98  1911    3.43  1959    9.26  1976    5.49  2025    4.52  1945
    1.2  1950    1.2  2017    1.8  1991    3.2  2017    5.6  1960    8.3  1896   10.0  1945   10.0  1933    8.3  2004    6.1  1962    3.4  1951    1.8  1954    0.97  2019    3.41  1943    9.24  1959    5.48  2004    4.51  1949
    1.1  2000    1.2  2007    1.8  2017    3.2  1964    5.6  2003    8.2  1933   10.0  2009   10.0  1996    8.3  1978    6.0  2024    3.4  1945    1.7  2006    0.85  1898    3.39  1990    9.20  2020    5.46  2017    4.48  2009
    1.1  1906    1.2  1992    1.7  1936    3.2  1898    5.6  2016    8.2  1940   10.0  1925   10.0  1911    8.2  1946    6.0  2014    3.4  2007    1.7  1948    0.84  2012    3.35  1964    9.19  1995    5.44  2020    4.48  2021
    1.0  1926    1.1  1891    1.7  1912    3.2  1997    5.5  1947    8.2  1988    9.9  1927   10.0  2021    8.2  1961    6.0  2007    3.3  2003    1.7  1911    0.83  1974    3.32  2019    9.18  2017    5.42  1997    4.47  2016
    1.0  1937    1.0  1920    1.7  2007    3.2  2002    5.5  2011    8.2  1950    9.9  2010    9.9  1942    8.2  1929    5.9  1943    3.3  2006    1.7  1922    0.83  2016    3.26  1957    9.17  1893    5.34  1968    4.44  1938
    1.0  1905    1.0  2025    1.7  2026    3.2  1996    5.4  1925    8.1  1947    9.8  1989    9.9  1897    8.1  1901    5.9  1989    3.3  2004    1.7  1941    0.82  1971    3.25  1991    9.16  1991    5.32  2023    4.42  1933
    1.0  1935    1.0  1949    1.7  1966    3.1  1945    5.4  2001    8.1  1993    9.8  1999    9.9  2020    8.1  1955    5.9  2009    3.3  1984    1.7  1932    0.80  1992    3.24  2005    9.15  1983    5.29  1994    4.42  2018
    1.0  1953    1.0  1921    1.6  1927    3.1  1946    5.4  1911    8.0  1963    9.8  1997    9.9  1918    8.1  2017    5.9  1999    3.2  1916    1.6  2018    0.79  1993    3.12  1998    9.09  1975    5.22  1913    4.40  2000
    1.0  1938    1.0  1974    1.6  1933    3.1  1952    5.4  1959    8.0  1893    9.8  2016    9.8  2006    8.1  1898    5.8  1958    3.2  1913    1.6  1977    0.70  1921    3.07  1893    9.04  2010    5.21  2015    4.39  1934
    0.9  1973    1.0  2022    1.6  1999    3.1  2018    5.4  1890    8.0  1899    9.8  1994    9.8  2022    8.1  1956    5.8  1898    3.1  1917    1.6  2019    0.70  1999    3.06  2023    9.03  1990    5.19  1920    4.37  1988
    0.9  1971    1.0  1908    1.6  1977    3.0  1914    5.3  1991    8.0  1953    9.7  1975    9.8  1939    8.1  1936    5.8  1960    3.1  1978    1.6  1888    0.69  2024    3.05  1896    8.98  1984    5.18  2013    4.34  1959
    0.9  1911    0.9  2011    1.6  1935    3.0  2005    5.3  1896    8.0  1984    9.7  2005    9.8  1899    8.0  2019    5.8  1945    3.1  2001    1.6  1983    0.67  1927    3.00  1993    8.97  2007    5.17  1941    4.34  1943
    0.9  1964    0.9  2000    1.6  2002    2.9  2024    5.3  1908    7.9  1982    9.7  1932    9.7  2024    8.0  1981    5.8  1953    3.0  1995    1.5  2002    0.67  1896    2.98  2000    8.94  1945    5.16  2000    4.30  1971
    0.8  2004    0.9  1971    1.5  2009    2.9  1959    5.3  1981    7.9  1965    9.6  1926    9.7  2012    8.0  2008    5.8  1947    3.0  1948    1.5  1984    0.67  1957    2.97  1944    8.94  1969    5.15  1956    4.30  2008
    0.8  1976    0.8  1997    1.5  1967    2.9  1955    5.2  1956    7.9  1889    9.6  1941    9.7  1895    8.0  2002    5.6  1961    3.0  1983    1.4  1893    0.64  1967    2.93  2012    8.91  1944    5.15  2018    4.25  1921
    0.8  1889    0.8  1982    1.4  1920    2.9  1930    5.2  1933    7.8  2019    9.6  2001    9.7  1936    7.9  1970    5.6  1951    3.0  1939    1.4  2004    0.64  1906    2.93  1912    8.91  1934    5.15  2024    4.23  1898
    0.8  1967    0.7  1976    1.4  1960    2.8  1992    5.2  1954    7.8  1887    9.6  1905    9.7  1884    7.9  1971    5.6  1886    2.9  1999    1.3  1945    0.63  1903    2.88  2008    8.91  1925    5.14  2002    4.22  1983
    0.7  2017    0.7  1953    1.4  1952    2.8  1982    5.2  1976    7.8  1959    9.6  2023    9.7  1949    7.9  2010    5.5  2023    2.9  1908    1.3  1929    0.61  1922    2.86  2018    8.89  1982    5.13  1898    4.22  1989
    0.7  1999    0.7  1989    1.3  1926    2.7  1976    5.2  1986    7.8  2009    9.6  1947    9.7  1944    7.9  1939    5.5  1971    2.8  1959    1.3  1918    0.60  1990    2.82  2020    8.89  2024    5.13  1899    4.20  2013
    0.7  1975    0.7  2002    1.3  2003    2.7  1980    5.1  2025    7.7  1980    9.6  1959    9.7  2016    7.8  1933    5.4  1975    2.8  1889    1.2  1980    0.59  1914    2.77  1920    8.84  1900    5.04  1955    4.18  1976
    0.7  1904    0.6  1887    1.3  1905    2.7  2022    5.1  1990    7.7  1900    9.6  1987    9.6  1970    7.8  1891    5.4  1985    2.8  2009    1.2  1926    0.59  1905    2.76  1976    8.81  1988    5.03  1984    4.17  2015
    0.7  2013    0.6  2008    1.2  1978    2.7  2023    5.1  2020    7.7  1905    9.6  1931    9.6  1935    7.8  1996    5.4  1986    2.7  1957    1.2  1998    0.58  1937    2.76  1939    8.81  1930    5.02  1971    4.14  1957
    0.7  1924    0.6  1980    1.2  1993    2.6  1948    5.1  1937    7.7  1935    9.6  1921    9.5  1930    7.8  1976    5.4  1913    2.7  1928    1.1  1994    0.56  2006    2.75  2016    8.81  1950    5.00  1890    4.14  1991
    0.7  1949    0.6  1946    1.2  2004    2.6  1991    5.0  1965    7.7  1912    9.5  1969    9.5  1980    7.7  2013    5.3  1965    2.7  1888    1.1  2020    0.56  1944    2.75  1926    8.80  1911    4.99  1906    4.12  1948
    0.7  2016    0.6  1924    1.2  2016    2.6  1904    5.0  1939    7.7  2024    9.5  1949    9.5  2018    7.7  1884    5.3  1910    2.7  1946    1.1  2023    0.55  2023    2.75  1889    8.80  1955    4.99  1983    4.06  1975
