Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland E
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.4  1940   27.8  1947   26.3  1937   18.6  2021    8.5  1979    1.5  1936    0.2  1943    0.7  1932    3.1  1986   11.7  1992   21.4  1969   26.1  2010    75.0  1963    42.0  1951     1.7  1936    28.6  1993   121.1  1979
   27.3  1945   27.0  1963   24.4  1931   16.8  1970    7.5  1935    1.5  1975    0.2  1954    0.5  1977    3.0  1954   10.4  1981   20.6  1985   25.8  1981    70.4  1947    41.2  1941     1.6  1975    24.4  1992   121.0  1942
   27.1  1963   26.5  1942   24.0  1941   16.1  1936    6.9  1995    1.0  1941    0.1  1958    0.5  1938    3.0  1972    9.3  1955   18.0  1996   25.7  1950    69.0  1951    39.5  1969     1.3  1964    23.3  1985   120.7  1969
   26.9  1942   25.7  1968   24.0  1969   15.7  1956    6.9  1955    1.0  1991    0.1  1956    0.3  1931    2.7  1974    9.3  1993   17.3  1965   24.8  1976    68.4  2010    39.1  1979     1.2  1977    22.5  1969   118.5  1941
   26.7  1979   25.0  1955   23.8  2013   15.0  1951    6.7  1968    1.0  1964    0.1  1936    0.3  1944    2.4  1993    7.9  2012   17.0  1993   24.0  1935    66.3  1936    38.5  2013     1.1  1932    21.9  1973   116.2  2010
   26.6  1952   25.0  1986   23.7  1955   14.4  1986    6.5  1942    0.9  1957    0.1  1935    0.3  1964    2.3  1940    7.7  1939   16.0  1942   23.9  2009    66.3  1942    38.4  1970     1.1  1941    21.1  2012   113.9  1951
   26.3  1959   23.6  1969   21.6  1962   14.4  1983    6.5  1996    0.8  1934    0.1  1939    0.3  1973    2.3  1942    7.1  2002   15.8  2016   22.1  1961    64.9  1979    38.1  1955     1.0  1957    21.0  1971   113.2  1955
   25.6  1941   23.3  1979   21.5  1947   14.2  1932    6.4  1982    0.7  1989    0.1  1965    0.2  1951    2.2  1932    7.1  1931   15.6  2013   21.9  1946    63.8  1940    37.1  1931     1.0  1934    20.3  1965   112.2  1981
   25.2  2021   23.3  1956   21.4  1979   14.2  1953    6.3  1938    0.7  1977    0.1  1973    0.2  1986    2.0  1943    7.1  1973   15.5  2010   21.9  1937    63.5  1977    36.1  1942     1.0  1991    20.2  1942   111.7  1965
   24.9  1984   23.2  1983   21.1  1970   13.9  1966    6.2  1948    0.6  1956    0.1  1950    0.2  2014    2.0  1975    6.8  1980   15.1  1944   21.3  1965    63.1  1952    35.5  1958     0.8  1956    19.9  1932   109.2  1936
   23.6  1985   22.5  1970   21.0  1951   13.4  1969    6.0  1951    0.6  1949    0.1  1955    0.2  1966    1.7  1979    6.7  1946   14.8  1966   21.2  1964    63.1  1941    34.9  1995     0.8  1962    19.7  1952   106.6  1937
   23.1  1987   22.2  2010   20.7  1958   12.7  1974    5.5  1984    0.6  1978    0.1  1962    0.2  1937    1.4  1931    6.6  1987   14.6  1952   21.2  1993    60.1  2011    34.5  1962     0.8  1989    19.7  1981   106.2  1947
   22.6  1978   21.8  1936   20.4  1987   12.0  1968    5.4  2012    0.6  1955    0.1  1957    0.2  1948    1.4  1939    6.5  1948   14.5  1973   21.1  1960    59.5  1956    33.5  1975     0.8  1955    19.6  1944   105.6  1968
   22.4  1997   21.7  2018   20.3  1934   11.9  1981    5.4  1941    0.6  1962    0.1  1961    0.2  1999    1.3  1935    6.4  2003   14.4  1971   20.9  1962    59.2  1970    33.2  1968     0.7  1949    19.5  1936   105.5  1962
   22.4  2010   21.7  1941   19.8  1995   11.9  2013    5.4  2010    0.5  1998    0.1  1966    0.2  2012    1.3  1957    5.8  2019   14.3  1972   20.8  1999    58.8  1994    32.8  1937     0.7  1938    19.4  2010   105.3  1986
   21.7  1951   21.6  1951   19.8  1965   11.8  1941    5.3  1994    0.5  1942    0.1  1952    0.2  1934    1.3  1991    5.7  1936   13.9  1950   20.6  1952    58.5  1991    32.8  1932     0.7  2012    19.3  1966   104.9  1958
   21.5  1991   21.6  1978   19.7  1942   11.7  1950    5.3  1977    0.5  1939    0.1  1974    0.2  1943    1.2  1944    5.7  1941   13.9  1998   20.5  2001    58.4  1959    32.5  1965     0.7  1951    19.2  1972   104.5  1970
   21.5  1956   21.5  1960   19.6  1975   11.5  1962    5.0  1975    0.5  1985    0.1  1948    0.1  1935    1.2  2012    5.7  1971   13.1  1961   20.4  1989    58.4  1965    32.1  1934     0.6  1973    18.9  1998   104.3  1985
   21.3  1965   20.9  1996   19.2  2018   11.3  1973    4.9  2021    0.5  2015    0.1  1938    0.1  1962    1.1  1947    5.7  1997   13.1  2005   20.2  1969    57.9  1968    31.3  2021     0.6  1978    18.7  1996   103.0  1952
   21.2  2009   20.7  1991   18.7  1949   11.1  1978    4.9  1958    0.5  2012    0.1  1937    0.1  1965    0.9  2007    5.6  1932   13.0  1979   19.5  1996    57.7  2018    31.3  1956     0.6  1939    18.3  2019   102.6  1963
   21.1  1948   20.5  1954   18.1  2006   11.1  1989    4.7  1945    0.5  1952    0.0  1949    0.1  1960    0.9  1977    5.3  2018   13.0  1962   19.4  1982    57.5  1987    30.3  1984     0.6  1952    18.0  1950   101.9  2013
   20.9  2011   20.3  1950   17.8  2001   11.0  2016    4.6  1957    0.4  1981    0.0  1992    0.1  1953    0.9  1948    5.2  2008   13.0  1977   19.3  1995    57.1  1986    29.7  1947     0.6  1954    17.5  1948   100.2  1940
