Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland E
Areal series, starting in 1891
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   25.0  1928   21.1  2002   23.6  1903   19.9  2012   22.9  1906   21.8  1907   22.1  1988   22.8  1985   20.5  1950   25.2  1903   22.6  1939   24.4  1900    61.5  2014    50.4  1979    56.8  1985    57.9  1935   208.5  1903
   23.2  2016   21.1  1923   21.8  1897   19.6  1899   21.3  1924   21.6  1912   21.8  2015   22.1  1903   20.0  1896   22.7  1932   22.3  2010   23.3  2015    61.0  1916    49.6  1905    55.5  1907    57.7  1954   204.6  1900
   22.5  2008   20.2  1990   21.2  1905   18.9  1934   20.6  1894   19.9  1991   21.3  1924   21.9  1891   19.8  1899   22.2  1960   22.2  1919   22.9  1915    60.8  2016    49.4  1983    52.5  1903    55.8  1900   196.4  1916
   22.1  1937   20.1  1916   21.1  1914   18.4  1998   20.6  1967   18.5  2002   21.2  1940   21.6  1895   19.1  1918   22.2  2020   22.2  1963   22.9  1959    56.5  1894    49.4  1903    51.7  1924    55.5  1903   191.3  1928
   21.9  1900   19.9  1925   20.6  1913   17.7  1932   20.3  1969   17.7  1935   21.0  1953   20.8  1917   18.9  1954   22.0  1917   22.1  1900   22.7  1911    55.3  1900    48.9  1899    51.2  2012    55.4  1938   190.5  1923
   21.9  2014   19.7  2014   19.7  1994   17.6  2024   19.9  1986   17.5  1927   20.8  1915   20.8  1960   18.4  1908   21.8  1907   21.4  1951   22.2  1934    55.3  1912    48.8  1947    51.0  1946    53.9  2000   187.7  1906
   21.6  1948   19.6  1904   19.5  1928   17.5  1905   19.4  1925   17.4  1948   20.5  1931   20.5  1910   17.9  1992   21.7  1935   21.1  1911   21.7  1896    55.2  1937    48.7  1986    50.5  1912    53.1  1960   185.4  2002
   21.5  1922   19.4  2020   19.4  1909   17.5  1904   19.3  1902   17.3  1928   19.7  2009   20.0  1956   17.7  1946   21.2  1906   20.5  2018   21.5  1929    54.7  1922    48.5  1916    50.4  2009    53.1  1905   183.8  1927
   21.2  1993   19.1  1894   19.4  1912   17.5  1985   18.9  2003   16.9  1896   19.5  1920   19.8  1943   17.5  1927   21.1  1916   20.3  1905   21.1  1978    54.1  1960    48.2  1920    50.2  1895    52.3  1984   183.4  1954
   21.0  1972   19.1  2022   18.7  2024   17.3  2008   18.8  1945   16.9  2004   19.4  1936   19.8  1930   17.4  2011   21.0  2021   20.3  1959   20.8  1912    54.0  1939    48.0  1963    49.7  2017    52.2  1923   181.0  2014
   21.0  1926   18.8  1910   18.6  2006   16.7  1920   18.0  1983   16.5  2012   19.3  2023   19.8  1992   17.3  1965   20.6  2022   20.2  1946   20.6  1901    53.8  2021    48.0  1904    49.6  1960    52.0  1982   180.5  1960
   20.5  1986   18.7  1915   18.4  2008   16.4  1898   17.9  1926   16.4  1946   19.2  1900   19.4  1941   17.3  1962   20.5  1976   20.2  2015   20.6  1919    53.8  1926    47.8  1925    49.6  1948    51.8  2022   179.3  1926
   20.4  1990   18.7  1941   18.4  1908   16.3  2004   17.1  1979   16.4  2017   19.1  1903   19.4  1923   17.3  1974   20.5  1892   20.0  1984   20.4  1949    53.7  2026    47.8  1932    49.5  1927    51.4  1980   178.7  1905
   20.3  1975   18.5  1918   18.3  2023   16.2  1975   16.9  2006   16.3  2020   18.7  1950   19.3  1904   17.2  2017   20.4  1967   20.0  1914   20.4  2023    53.3  1915    47.7  1906    49.3  1900    51.2  2010   178.6  2008
   20.2  2026   18.3  2011   18.3  1916   16.1  1977   16.8  2002   16.3  1947   18.6  1985   19.2  1897   17.1  1934   20.4  1938   19.9  2009   20.1  2020    53.0  1923    47.7  2024    49.2  2002    50.9  1927   178.4  1938
   20.2  1994   18.2  2026   18.2  1978   16.1  1925   16.8  2021   16.2  1966   18.4  1960   19.2  1951   16.9  1983   20.2  2001   19.7  1970   19.9  2013    52.7  1920    47.1  1902    48.1  2015    50.6  1950   177.9  1904
   20.1  1921   17.8  1966   18.2  1921   16.0  1947   16.7  1976   16.0  1987   17.9  1939   19.2  1907   16.9  1935   20.2  1900   19.7  2025   19.8  1898    52.5  1901    47.0  1913    47.8  1963    50.4  1928   177.7  2015
   20.1  1984   17.6  1997   18.1  1939   15.9  1959   16.7  2011   15.9  1938   17.8  1932   19.0  1928   16.8  1980   20.2  2004   19.5  1938   19.7  1910    52.4  1995    46.8  1909    47.7  2019    50.4  1974   177.4  2011
   19.8  2004   17.6  2000   18.1  1979   15.5  1927   16.7  1904   15.8  1897   17.7  2012   18.9  1906   16.7  1975   19.6  1954   19.4  1935   19.6  1986    52.0  1903    46.1  1934    47.5  1956    50.2  1892   177.0  1894
   19.8  1974   17.2  1937   18.0  1977   15.5  2016   16.6  1916   15.8  1892   17.6  1998   18.8  1963   16.7  2000   19.4  1961   19.2  1954   19.6  1999    51.8  1904    45.4  2006    47.2  1958    50.2  1932   176.7  1998
   19.6  1899   17.1  1914   17.6  1947   15.5  1992   16.6  1963   15.8  1944   17.5  1970   18.8  1905   16.6  1985   19.3  1996   19.1  1940   19.5  1938    51.1  1994    45.2  1967    47.2  1928    50.2  1944   176.4  2000
   19.1  1995   16.9  1931   17.6  1963   15.5  1910   16.3  2005   15.7  1916   17.5  2007   18.8  2008   16.6  1891   19.1  1909   18.9  2000   19.5  1966    50.9  2024    45.2  1926    47.2  1953    50.2  1930   176.4  1985
   19.1  1894   16.7  2021   17.6  1983   15.4  1900   16.0  2015   15.7  2016   17.4  2002   18.7  1912   16.2  1970   19.0  1930   18.9  1931   19.4  2011    50.7  1984    45.0  1908    47.0  1950    50.1  2011   176.2  1910
   19.1  1938   16.6  1903   17.5  1940   15.4  1909   16.0  1892   15.6  1900   17.2  1891   18.7  1927   16.0  1984   19.0  2014   18.9  2002   19.3  1954    50.7  2000    44.7  1897    46.4  1954    50.0  1970   175.5  2004
   19.0  1939   16.5  1926   17.5  1989   15.3  1935   15.9  1932   15.6  1963   17.1  2016   18.7  2019   15.9  1978   19.0  1995   18.9  1992   19.2  1956    50.4  1899    43.8  1977    46.4  2004    49.9  1917   175.5  1907
   18.9  1943   16.5  1958   17.4  1992   15.2  1979   15.9  1907   15.5  1945   17.0  1938   18.6  1948   15.9  1893   18.9  1982   18.8  2014   19.2  1985    50.2  1910    43.1  1914    46.3  2008    49.5  2006   175.4  1950
   18.8  1919   16.4  2007   17.0  1980   15.2  1961   15.8  1938   15.5  1972   17.0  1922   18.3  2009   15.8  1925   18.8  1923   18.7  1941   19.1  1914    49.9  2020    43.1  2005    46.1  1891    49.2  1939   175.3  2009
   18.7  2007   16.4  1951   16.8  1981   15.1  2000   15.5  1972   15.5  1985   17.0  1895   18.0  1958   15.8  1982   18.8  2006   18.7  1928   19.1  1955    49.5  1925    42.8  1927    46.0  1894    48.7  2001   175.3  1899
   18.6  1906   16.1  1922   16.8  1920   14.9  1950   15.5  2007   15.4  1998   16.9  1946   17.9  1892   15.7  1999   18.6  1928   18.7  1929   19.0  2012    49.4  2007    42.7  1985    46.0  1910    48.7  1896   175.2  1912
   18.6  1988   16.1  1893   16.3  2018   14.7  1931   15.5  2019   15.3  2019   16.8  2020   17.8  2014   15.7  1976   18.6  2002   18.7  1997   18.8  1916    49.4  1957    42.4  1898    45.9  2020    48.6  1963   174.8  1948
   18.4  1903   15.9  1935   16.2  1951   14.6  1970   15.4  2022   15.3  2011   16.7  1916   17.8  1894   15.6  1961   18.5  1934   18.6  1906   18.8  1965    49.4  1935    42.0  1894    45.6  1931    48.6  1906   174.1  1966
   18.1  1970   15.6  1995   16.1  1937   14.6  1901   15.2  1947   15.2  1931   16.6  1918   17.7  1946   15.6  1923   18.4  1895   18.4  1926   18.8  1899    49.2  1990    41.9  1969    45.4  1998    48.5  1919   173.9  1963
   18.1  1930   15.5  1950   15.9  1957   14.5  1965   15.1  1931   15.1  1997   16.6  1958   17.6  1954   15.5  1938   18.4  1998   18.3  1960   18.7  1974    49.1  2002    41.9  1992    45.3  1897    48.3  2017   173.8  1924
   18.0  2013   15.5  1939   15.8  1896   14.4  1903   15.1  1958   15.1  1999   16.5  1909   17.6  1924   15.5  1995   18.3  2000   18.3  1944   18.7  1895    49.1  1928    41.6  2008    45.3  1938    48.2  1992   172.3  2012
   18.0  1916   15.4  1955   15.8  1895   14.3  1951   14.9  1955   15.1  1990   16.1  2017   17.6  1950   15.5  1944   18.2  2011   18.1  1927   18.6  2022    49.1  1943    41.5  1972    44.9  1943    48.1  1926   171.7  1939
   18.0  1920   15.4  1989   15.7  1988   14.2  1923   14.9  1995   15.0  1980   15.9  1894   17.5  1962   15.5  1967   18.1  1983   17.9  1980   18.6  1923    48.8  1967    40.7  1907    44.9  1896    48.1  2018   171.6  1902
