Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland E
Areal series, starting in 1836
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  262.4  2016  223.3  1848  162.3  1903  148.5  1934  159.1  1906  162.1  1838  183.1  1940  206.2  1948  198.1  1950  253.7  2023  262.4  1984  268.2  2015   627.3  2016   369.8  1947   430.7  1877   528.3  1984  1605.8  1872
  231.6  2008  211.7  2020  154.9  1897  147.4  1998  149.3  1967  149.5  2017  174.0  1988  198.4  2004  195.1  1995  212.6  2020  232.9  1951  265.8  1876   580.5  2014   351.9  1913   424.6  1948   503.8  1872  1441.1  2002
  223.1  1993  204.4  1990  153.2  1994  146.0  1947  139.5  1986  144.2  1860  157.4  1846  197.0  1877  179.5  1981  211.5  1903  219.3  2009  260.0  1852   536.6  1877   337.2  2024   419.7  1985   495.1  1982  1426.3  1877
  206.0  1928  202.0  1894  151.0  1992  134.7  2012  138.6  1954  142.5  1848  151.9  2009  184.2  1985  176.6  1927  207.8  2002  195.5  1963  214.9  1929   501.4  1853   327.2  1909   404.2  1846   488.5  2023  1395.6  1903
  204.6  1974  190.8  1923  150.0  1913  133.2  2000  136.8  1925  141.7  1872  150.4  1867  182.1  1930  169.2  1872  207.3  1932  190.2  2022  214.3  2013   472.0  1915   323.2  1934   404.0  2012   480.4  1954  1390.3  1916
  203.2  1852  185.8  1997  146.9  1851  129.7  2024  134.1  1924  141.0  2012  148.9  1958  179.4  1910  167.9  1839  199.4  2004  189.8  1888  212.6  2023   465.6  1848   316.0  1979   385.6  1956   479.8  2000  1363.0  2000
  198.0  2014  171.1  2002  139.9  1979  125.4  1871  133.8  1969  139.5  1966  148.5  2015  172.2  1874  166.9  1856  199.0  1976  188.1  1872  211.3  1914   464.4  1903   315.4  1925   382.1  1879   477.2  2022  1356.9  2014
  190.4  1937  168.1  2014  138.9  1908  125.1  1898  132.9  2021  135.6  1948  146.5  1836  171.9  1992  165.3  1869  196.7  1982  185.0  1946  201.0  1978   458.0  1894   314.8  1993   376.7  2004   460.1  1935  1355.1  2023
  184.6  2026  167.5  1915  138.4  1928  122.3  1867  124.8  1945  129.6  1997  144.1  1985  168.4  1956  157.6  1985  189.0  1954  184.6  1954  199.4  1915   452.9  1990   312.3  1986   369.3  2011   459.0  1995  1347.4  2015
  179.7  1984  156.4  1903  138.2  1909  115.1  1935  124.4  1847  128.6  1931  143.6  2010  165.4  1861  154.9  2000  184.3  1846  183.1  2002  194.4  1986   444.5  1916   304.3  1967   366.9  2007   457.4  1981  1345.7  2011
