Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland E
Areal series, starting in 1910
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   68.1  1959  102.4  1970  159.3  2022  223.1  2021  267.7  2025  255.6  1940  253.7  1955  235.1  1947  152.1  1997  114.7  2003   80.9  2013   54.7  2006   193.9  2015   585.5  2025   632.3  1995   303.3  1986  1504.7  1955
   61.7  2023   96.0  2018  156.2  1929  214.6  2015  230.2  2001  230.0  1949  230.6  1989  226.5  1995  148.2  1959  113.1  1998   78.4  1996   49.6  1967   188.3  2018   542.2  2020   589.6  1955   300.1  2003  1485.4  2025
   61.4  2022   94.7  1973  155.3  2003  200.8  2020  228.5  2018  229.8  1957  218.6  1976  205.0  1976  147.2  1987  106.8  1986   75.4  2017   49.4  2014   184.3  2019   512.9  2015   583.2  1976   294.2  1959  1472.0  2003
   61.1  2019   93.7  1999  146.0  2012  199.9  1942  225.4  2020  218.2  1925  214.9  2006  192.0  2003  144.9  1991  106.7  2007   74.9  2016   48.4  2004   182.6  2000   495.1  2009   571.6  1911   293.9  1996  1471.6  2018
   60.8  2000   93.2  1960  143.9  1953  192.8  1914  223.8  2000  213.5  1930  214.6  1935  184.7  1975  138.3  1979  106.5  1997   71.4  1947   46.8  1957   179.4  2022   494.7  2007   553.9  2018   288.8  1997  1446.6  1995
   59.9  2012   92.8  2003  142.7  2026  189.3  2007  223.3  2009  213.3  1995  211.8  2013  178.7  2025  137.9  1986  103.8  1981   71.2  1925   46.7  1999   175.3  1999   492.3  1955   552.2  1989   287.0  1923  1410.9  1989
   59.2  1992   91.8  2004  139.2  2009  186.9  2011  221.8  1980  213.3  1970  208.0  2014  173.5  1933  136.5  1928  103.0  1926   71.1  1988   46.3  2001   175.3  2001   488.8  1948   548.1  1933   285.4  1971  1392.5  2015
   59.1  2017   89.8  2020  139.0  1933  186.6  2025  220.1  1992  212.9  1921  207.9  1990  172.8  1911  135.9  1996  102.3  1923   70.7  1976   46.0  1976   170.5  1949   485.1  2011   547.8  1975   284.5  1926  1385.0  1911
   58.7  1932   89.8  2022  131.2  2025  184.5  2006  217.6  1975  212.8  1996  202.5  2018  172.7  2022  135.5  1911  101.8  1985   70.6  2006   45.4  1975   170.4  1952   481.8  2017   528.0  1996   278.0  2012  1381.7  1975
   58.3  2015   88.2  1946  128.8  2007  182.5  1981  211.4  1971  212.6  1975  196.4  1911  168.7  1919  135.0  1955  101.0  2008   70.6  1973   45.3  1951   170.2  1963   477.8  1982   528.0  1969   276.5  1955  1380.6  2022
   57.2  2025   86.6  1950  128.6  1973  177.6  1921  209.7  1948  212.5  2018  193.8  1972  166.6  1984  134.8  1933   99.9  1958   70.6  1989   44.8  1994   168.8  2020   477.4  1942   527.1  2006   274.6  1998  1375.1  2006
   55.1  1962   86.2  2015  127.3  1970  175.2  1990  208.4  1946  212.4  2023  192.7  1982  165.5  1977  134.6  1919   99.5  1959   68.4  2008   43.8  1974   167.6  2004   475.7  2001   523.1  1977   274.3  1919  1361.0  1949
   53.2  1965   86.2  1963  125.7  1948  175.0  1984  207.3  1935  211.7  1933  192.5  1995  164.8  2015  133.6  1934   99.2  1967   65.5  1998   43.8  2010   167.2  1995   472.1  2003   522.1  1919   273.3  1915  1357.3  2009
   53.1  2001   86.1  1989  123.7  1967  173.5  1962  206.4  1911  208.8  1920  191.4  1971  163.3  1983  133.2  1971   98.6  1956   65.3  2005   43.4  2018   167.1  2007   471.4  1921   521.9  2003   273.2  1981  1353.8  1921
   52.4  1931   85.6  1949  123.4  2017  171.6  1954  205.8  2017  207.9  1915  190.5  1984  162.9  1997  132.3  1963   98.5  1931   64.4  2000   42.5  2017   166.3  1973   465.0  1929   513.8  1949   272.2  2007  1350.3  2019
   52.4  1991   84.5  2008  123.0  2019  171.1  1955  205.0  1955  207.5  1917  190.5  1917  162.7  1955  130.6  2023   97.9  1971   64.1  1969   42.1  1970   165.7  1968   464.1  1990   513.3  1947   270.0  2016  1344.8  2020
