Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Scotland E
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    8.2  1989    8.9  1998   11.7  2012   14.1  2011   16.1  2024   19.5  1940   21.4  2006   20.9  1995   17.3  1895   13.7  1969   10.3  2011    8.3  2015    7.64  1989   13.00  2025   18.95  1976   13.02  2006   12.41  2025
    7.9  1916    8.5  2019   10.5  1938   13.8  2007   16.0  2025   19.1  2023   20.7  2013   20.6  1947   17.3  2006   13.5  1908    9.8  1994    8.2  1988    6.86  2017   11.89  2011   18.94  2006   12.68  1959   12.10  2022
    7.6  1932    8.0  1891   10.1  2003   13.1  2025   16.0  2018   18.9  1887   20.4  1955   20.0  1975   17.1  2023   13.3  1959    9.5  1899    8.2  2016    6.79  1932   11.84  1893   18.83  1995   12.66  2011   12.03  2003
    7.5  1898    7.8  2023   10.1  1948   12.5  1914   15.8  1896   18.1  1933   20.3  2018   19.6  1997   16.8  2021   13.3  1995    9.2  2022    8.0  1971    6.78  1998   11.83  2003   18.79  2025   12.56  2021   11.83  2006
    7.2  2020    7.6  2008   10.0  1961   12.1  2003   15.4  2017   18.1  2018   20.0  1989   19.5  1955   16.7  1959   13.2  2001    9.2  2020    7.6  1924    6.72  2007   11.83  2017   18.74  1933   12.45  2022   11.78  2023
    7.2  2007    7.4  1943    9.9  1945   12.0  1955   15.3  2001   17.9  1889   20.0  1901   19.4  2025   16.7  1890   13.2  1921    9.2  2003    7.5  2024    6.54  2019   11.73  2007   18.65  2003   12.44  2014   11.77  2014
    7.1  2005    7.4  1934    9.9  2025   12.0  1893   15.1  1911   17.9  1960   19.9  1983   19.3  1976   16.6  1898   13.1  2006    8.9  1978    7.5  1921    6.50  2005   11.47  2022   18.59  2022   12.21  1945   11.65  2007
    6.9  2022    7.1  2024    9.9  1929   11.9  1946   15.0  2020   17.7  2006   19.8  1976   19.3  2003   16.5  2016   12.9  1945    8.8  1953    7.4  1974    6.45  2020   11.47  2020   18.49  2018   12.12  1999   11.59  2024
    6.9  1923    7.1  1945    9.7  2026   11.9  2009   14.9  1895   17.7  1899   19.7  2014   19.3  1983   16.5  1906   12.8  2007    8.8  2021    7.4  1898    6.38  1975   11.46  2009   18.43  1955   12.01  2007   11.56  1997
    6.5  1921    7.1  1914    9.6  2022   11.8  2020   14.9  1960   17.7  1950   19.6  2021   19.1  1899   16.4  1949   12.8  2017    8.8  2014    7.3  2013    6.33  2022   11.44  2024   18.37  2013   12.01  1995   11.53  2004
    6.5  1975    7.1  1961    9.5  1997   11.6  2015   14.8  1940   17.6  1976   19.6  1933   19.0  2022   16.4  1999   12.6  2022    8.8  2001    7.2  1900    6.33  2008   11.42  1896   18.35  1887   11.98  2001   11.52  2005
    6.5  1983    7.0  1993    9.3  2017   11.5  1943   14.7  2023   17.6  1970   19.6  1934   19.0  1984   16.3  1933   12.4  1978    8.7  2006    7.2  1975    6.26  2014   11.33  1948   18.30  2021   11.94  2015   11.52  2011
    6.5  1990    7.0  1903    9.2  1893   11.4  1952   14.7  1992   17.6  1992   19.5  2022   18.6  1959   16.3  2014   12.4  2005    8.6  2004    7.1  1942    6.26  1949   11.29  1945   18.26  1975   11.93  2005   11.50  2020
    6.5  1890    7.0  2012    9.2  1953   11.4  2014   14.6  2004   17.5  1893   19.5  2025   18.5  1933   16.1  2003   12.3  1971    8.6  1913    7.0  2004    6.22  1943   11.27  2014   18.22  1899   11.93  1906   11.49  1959
    6.4  1974    6.9  1920    9.1  1990   11.4  1987   14.6  1889   17.5  2021   19.3  1984   18.4  1991   16.1  1941   12.3  2014    8.6  2015    7.0  1934    6.17  2016   11.22  2004   18.12  1984   11.93  2003   11.43  2017
    6.4  1944    6.7  1949    9.1  1957   11.3  1912   14.6  2008   17.5  2010   19.2  2003   18.4  1893   16.0  1958   12.3  2015    8.6  2018    6.9  2025    6.11  1976   11.16  1990   18.08  1983   11.91  1958   11.43  1949
    6.4  2002    6.7  1918    9.1  1894   11.2  2019   14.5  1919   17.4  2025   19.2  1995   18.3  1911   15.9  2005   12.3  2011    8.6  1997    6.9  1953    6.11  1992   11.07  1997   18.05  2023   11.91  1949   11.37  1921
    6.3  2000    6.6  1992    9.0  1933   11.2  1949   14.4  1901   17.4  2003   19.1  2019   18.1  1996   15.9  1955   12.2  1977    8.5  1999    6.8  1983    6.09  1935   11.07  1938   18.03  1911   11.86  1898   11.36  1945
    6.3  1957    6.6  1997    8.9  2000   11.2  2010   14.4  1959   17.2  1939   19.1  1911   18.1  2002   15.9  1971   12.2  1972    8.5  1948    6.8  1905    6.04  2025   11.00  2012   17.98  1947   11.86  2025   11.34  2021
    6.2  1934    6.6  1939    8.9  1950   11.1  1896   14.4  1893   17.2  1930   18.9  1887   18.1  2013   15.8  1929   12.2  1996    8.5  1917    6.7  1956    6.01  2024   10.98  1943   17.75  1959   11.83  1978   11.34  2019
    6.1  1949    6.6  2007    8.9  1973   11.1  1960   14.4  1952   17.1  2022   18.9  1905   18.1  1935   15.7  1907   12.1  1968    8.5  1986    6.7  1931    5.99  2012   10.96  1961   17.67  1989   11.82  2009   11.31  2018
