Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Scotland E
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    5.5  1989    6.4  1998    7.2  1938    9.1  2011   12.2  2024   13.9  2023   16.0  2006   15.3  1975   13.3  2006   10.6  2001    7.3  2011    5.5  1988    4.85  1989    8.09  2025   14.32  2025    9.59  2006    8.53  2025
    4.8  1916    4.8  2023    7.1  2012    8.9  2007   10.7  2018   13.6  1940   15.7  2013   15.3  1995   13.1  2021   10.4  1969    7.1  1994    5.5  1971    4.24  1998    7.85  2024   14.19  2003    9.51  2011    8.38  2022
    4.8  1898    4.6  2019    6.5  1961    8.0  2025   10.5  2017   13.1  1887   15.4  2018   15.2  1997   12.9  2016   10.0  1908    6.5  2022    5.2  2015    3.85  1932    7.58  2014   14.15  2006    9.33  2021    8.28  2014
    4.4  1932    4.4  1993    6.3  1945    7.6  1943   10.4  2025   13.1  1976   15.3  2021   15.1  1947   12.8  2023    9.9  1995    6.5  1899    5.1  1924    3.83  2017    7.53  2017   14.08  1933    9.31  2022    8.09  2023
    4.3  2020    4.4  1943    6.1  1957    7.6  2014   10.3  2022   13.1  2003   15.2  1933   14.8  2025   12.7  1999    9.8  2006    6.3  1997    5.1  1934    3.78  2007    7.52  2011   13.99  2022    9.21  2014    8.07  2024
    4.2  2007    4.2  1918    6.0  1990    7.6  2009   10.3  1896   13.0  2018   15.1  1901   14.6  1955   12.7  1895    9.7  1959    6.3  2020    5.0  2016    3.74  2014    7.52  2007   13.96  2021    8.97  2001    8.06  2006
    4.1  1923    4.2  1945    5.8  1997    7.5  2003   10.2  2023   13.0  2025   15.1  1983   14.5  1983   12.4  2014    9.7  1921    6.2  2014    4.8  2024    3.61  2020    7.41  2003   13.91  1976    8.84  1999    8.03  2003
    4.1  2005    4.1  1934    5.8  2025    7.4  1914   10.1  2008   13.0  2014   15.1  2025   14.5  2003   12.4  1890    9.6  2017    6.0  1953    4.8  1974    3.61  1935    7.24  2022   13.84  2018    8.84  1959    7.97  2005
    4.1  2022    4.1  1903    5.7  1948    7.3  2004   10.1  1889   13.0  1960   15.1  2019   14.3  2004   12.4  1949    9.5  2022    6.0  2018    4.6  1900    3.53  2005    7.20  2004   13.77  2013    8.76  1978    7.96  2004
    3.9  1983    4.1  1961    5.5  2000    7.3  1946   10.0  2001   13.0  1992   15.0  2022   14.3  1959   12.3  1958    9.5  2005    5.9  2003    4.5  2013    3.52  1975    7.18  2009   13.77  1995    8.73  1995    7.96  1997
    3.8  1990    4.1  1891    5.5  2026    7.2  1944   10.0  1911   12.9  1933   14.9  2003   14.3  2022   12.3  1941    9.4  1978    5.8  2021    4.4  1921    3.49  2022    7.17  1945   13.67  2023    8.67  1945    7.96  2007
    3.8  1974    4.1  2024    5.4  2003    7.2  1949   10.0  1992   12.9  2006   14.8  1989   14.3  2002   12.1  1898    9.4  2011    5.8  1978    4.4  1898    3.48  1925    7.16  1893   13.56  1975    8.63  1953    7.87  2020
