Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Scotland E
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    2.8  1989    3.9  1998    4.0  1938    4.1  2011    8.3  2024    9.1  2014   11.1  2021   10.9  1997    9.4  2006    8.1  2001    4.5  1994    3.2  1934    2.06  1989    4.33  2024    9.95  2025    6.41  2011    4.86  2014
    2.1  1898    1.8  1993    3.0  1957    4.0  2007    6.5  2022    9.0  2003   11.0  2019   10.8  2004    9.3  2021    7.1  1969    4.4  2011    3.0  1971    1.75  1998    3.96  2014    9.91  2003    6.24  2022    4.72  2022
    1.8  1996    1.8  1918    3.0  1990    3.9  2014    6.0  2014    9.0  2023   10.9  1991   10.6  1975    9.3  2016    6.6  2005    4.2  1997    2.9  1988    1.20  2014    3.39  1961    9.76  2021    6.20  2006    4.71  2025
    1.8  1916    1.7  2023    3.0  1961    3.7  1943    5.8  2008    8.9  2017   10.9  2003   10.6  2002    9.0  1999    6.6  2022    3.9  2022    2.6  1924    1.17  1935    3.38  2007    9.65  2019    6.15  2021    4.63  2024
    1.5  2020    1.4  1990    2.6  1945    3.7  2004    5.8  1964    8.7  1976   10.8  2013   10.4  2025    8.7  1958    6.6  2011    3.6  2014    2.2  2015    0.99  1925    3.35  1999    9.54  2006    6.03  2014    4.49  2005
    1.5  1923    1.4  2026    2.5  2012    3.4  1944    5.8  2017    8.6  2025   10.8  1933   10.4  2008    8.7  2014    6.5  1995    3.4  1899    2.2  2024    0.99  1923    3.28  2017    9.52  2022    6.01  2001    4.48  2002
    1.3  1983    1.3  1903    2.4  2005    3.3  2009    5.7  2023    8.6  1966   10.7  2025   10.3  2019    8.6  1998    6.5  1908    3.4  2018    2.2  1974    0.94  1932    3.27  2004    9.52  2023    5.73  1978    4.48  2023
    1.3  1932    1.3  1943    2.2  1997    3.3  1949    5.7  1889    8.6  2005   10.7  2006   10.2  2023    8.5  2023    6.5  2006    3.4  2020    2.0  1900    0.94  1972    3.24  2025    9.45  1933    5.63  1999    4.46  2004
    1.2  2007    1.3  1945    2.1  2000    3.2  1933    5.7  1952    8.6  2020   10.6  2022   10.1  1990    8.5  1941    6.5  2013    3.4  1984    1.9  2016    0.88  2007    3.23  1992    9.32  2018    5.52  1953    4.42  1997
    1.2  1990    1.2  1939    2.0  2019    3.1  1964    5.7  1999    8.5  1992   10.6  2018   10.0  2009    8.4  1980    6.5  1978    3.3  1953    1.8  2025    0.87  2017    3.22  2011    9.32  2004    5.51  1995    4.39  2006
    1.2  2022    1.2  1961    1.9  2014    3.1  1960    5.7  1893    8.5  2004   10.4  1983   10.0  1959    8.3  1949    6.4  2017    3.2  2002    1.8  2013    0.87  2026    3.21  1938    9.31  2002    5.33  2009    4.38  1990
    1.2  1974    1.1  1896    1.9  2021    3.1  1896    5.6  1970    8.3  2021   10.3  2008   10.0  1969    8.3  1953    6.3  1921    3.2  1938    1.8  1905    0.81  2020    3.17  1990    9.31  2013    5.27  2005    4.35  2007
    1.1  2005    1.1  2014    1.9  2024    3.1  1999    5.6  2002    8.3  2006   10.3  1901   10.0  1991    8.3  2000    6.2  1959    3.1  1931    1.7  2002    0.69  1976    3.14  2002    9.30  2008    5.23  1949    4.35  2017
    1.0  1884    1.0  1914    1.8  2025    3.0  1961    5.6  2018    8.3  2007   10.1  1934    9.9  2020    8.3  2011    6.2  1977    3.1  1920    1.7  1956    0.67  1975    3.11  1997    9.26  1997    5.16  1945    4.33  2020
    0.8  1934    1.0  1934    1.8  1992    2.9  1987    5.6  1918    8.3  2022    9.9  1900    9.8  1983    8.2  2022    6.1  2021    3.0  1951    1.7  1910    0.64  2022    3.11  1945    9.14  2009    5.16  1908    4.29  2011
    0.7  2014    1.0  2024    1.7  1983    2.9  2025    5.6  2003    8.2  2002    9.8  1923    9.8  2013    8.2  1966    6.1  1968    3.0  1906    1.5  1931    0.62  1943    3.07  1960    9.10  2016    5.15  2025    4.26  1999
    0.7  1890    0.9  2012    1.6  1950    2.9  2003    5.5  1953    8.2  1960    9.8  1976    9.8  2021    8.2  2009    6.1  2025    3.0  2021    1.5  1921    0.55  2005    3.06  1943    9.08  2005    5.10  2004    4.24  2019
    0.7  1944    0.9  2017    1.5  1959    2.9  1996    5.5  1998    8.2  1896    9.8  1945    9.8  1917    8.2  2005    6.1  1979    2.9  1897    1.5  1898    0.51  2025    3.06  1964    9.05  2020    5.06  1959    4.23  1998
    0.6  1925    0.8  1923    1.5  2007    2.9  1997    5.5  1992    8.2  2016    9.8  1999    9.8  2003    8.2  1890    5.9  1990    2.9  1945    1.5  1997    0.47  1934    3.05  2003    9.05  1947    5.04  1938    4.14  2021
    0.6  1921    0.7  1967    1.5  1943    2.9  1993    5.4  2004    8.1  2018    9.7  1899    9.8  1996    8.2  1895    5.8  2014    2.9  2015    1.5  1932    0.38  2016    3.04  2022    9.03  2017    5.03  1951    4.13  1953
    0.5  1938    0.7  2007    1.5  1998    2.9  1937    5.3  2016    8.1  2010    9.7  1995    9.8  1942    7.9  1936    5.8  1960    2.8  2007    1.4  1953    0.34  1974    3.03  1959    9.01  1983    5.02  2020    4.12  2003
