Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland N
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   26.8  1945   25.8  1947   22.6  1937   16.9  2021    9.0  1979    1.7  1964    0.1  1965    0.7  1932    1.7  1993    8.2  1992   19.8  1969   24.0  1981    63.2  2010    39.0  1979     2.0  1964    22.6  1985   114.0  1979
   25.7  1979   24.3  1963   22.2  1979   15.5  1986    7.5  1968    1.6  1936    0.1  1943    0.6  1944    1.7  1974    8.0  1981   19.6  1985   24.0  2010    62.2  1963    38.5  1951     1.7  1936    20.9  1969   110.8  2010
   24.6  1984   24.3  1968   21.7  1931   15.0  1983    7.5  1955    1.4  1991    0.1  1973    0.4  1973    1.7  1975    7.8  1973   16.9  1996   22.9  1950    61.4  1951    37.4  2013     1.4  1991    20.1  1993   106.4  1969
   24.1  1963   24.0  1986   21.2  1969   15.0  1951    7.2  1995    1.3  1975    0.1  1935    0.3  1999    1.7  1991    7.4  2003   15.9  1965   22.2  1976    58.7  1936    37.2  1941     1.3  1975    19.9  2010   102.3  1968
   24.0  1952   23.4  1955   21.0  1970   14.7  1970    7.2  1996    1.3  1998    0.1  1936    0.3  1938    1.7  1954    7.1  2012   15.6  2010   21.6  1995    58.4  1979    36.1  1970     1.3  1998    19.7  1973   101.8  1981
   24.0  1959   23.2  1969   20.8  1962   14.5  1966    7.0  1982    1.0  1957    0.1  1954    0.3  1977    1.6  1952    7.0  2002   13.7  2019   21.4  2009    58.0  1977    35.4  1962     1.1  2012    18.9  2019   100.4  1985
   23.2  2021   22.1  1970   20.4  1941   13.5  2013    6.3  1948    0.9  2012    0.1  1962    0.3  1962    1.6  1986    6.8  1939   13.5  1952   21.0  1961    57.8  1947    34.3  1969     1.1  1977    18.8  1952    99.4  1941
   22.9  1985   21.6  1983   20.3  2013   13.5  1956    6.3  1994    0.9  1985    0.1  1966    0.2  1964    1.6  1942    6.7  1987   13.3  1944   21.0  1935    56.3  1986    33.9  1995     1.1  1957    18.7  1992    98.7  1951
   22.3  1941   21.2  1979   19.9  1947   13.3  1936    6.1  1942    0.8  1942    0.1  2004    0.2  1937    1.6  1957    6.6  1946   12.8  1966   19.6  1965    55.1  1941    33.4  1958     0.9  1985    17.5  1965    98.6  1970
   21.5  1940   21.0  2010   19.8  1987   13.1  1932    5.9  1935    0.8  1941    0.1  1957    0.2  1966    1.6  1972    6.4  1993   12.7  1961   19.6  1993    54.7  1994    31.9  1968     0.9  1932    17.5  2012    98.0  1986
   21.3  1948   20.9  1942   19.6  1958   13.0  1953    5.8  2019    0.8  1977    0.1  2000    0.2  2012    1.4  1935    5.9  1955   12.3  1977   19.5  1996    54.3  1966    30.9  1975     0.9  1956    17.3  1996    97.8  1965
   20.9  1978   19.6  1960   19.2  1995   12.6  1962    5.6  1941    0.8  1956    0.0  1958    0.2  1931    1.3  2020    5.6  1948   12.1  1979   19.4  1937    53.7  1970    30.4  1932     0.8  1942    16.1  1966    97.6  1963
   20.8  2010   19.4  1996   18.6  1951   12.2  1981    5.1  2012    0.7  1978    0.0  1955    0.2  2016    1.3  1960    5.4  1980   12.0  1993   18.4  2022    53.5  1969    30.3  1931     0.8  1941    16.0  1944    97.2  1955
   20.6  1936   19.1  1991   18.1  1965   11.9  1973    5.0  1938    0.7  2015    0.0  1960    0.2  1948    1.1  1989    5.2  2019   12.0  2023   18.2  1968    53.4  1968    29.7  1955     0.8  1978    16.0  1980    95.8  1995
   20.4  1939   19.0  1951   17.7  1934   11.5  2012    5.0  1951    0.7  1989    0.0  1952    0.2  1951    1.1  1984    5.0  1949   12.0  2016   18.2  1999    53.2  1959    29.2  1942     0.8  1951    16.0  1998    95.1  1966
