Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland N
Areal series, starting in 1891
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.1  1928   25.8  1990   28.0  1994   26.2  1927   23.9  2011   26.0  1907   24.2  1940   26.7  1907   27.0  1899   28.4  1923   25.9  1939   28.8  1974    74.3  1894    63.2  1979    68.5  1907    75.4  1923   252.2  1923
   27.6  1983   25.2  1931   26.9  1967   24.1  1904   23.7  1902   21.9  1919   23.9  1953   25.8  1923   26.9  1950   28.2  1917   25.5  1947   28.5  1898    73.8  1995    62.8  1920    66.6  1946    75.2  1917   244.3  1903
   27.1  1923   24.9  2022   26.8  1921   24.0  1977   23.1  1906   21.8  1927   23.4  1988   25.7  1903   24.9  1918   27.1  1903   25.3  2017   27.5  1966    72.6  2000    61.6  1906    63.9  1923    74.1  1954   242.3  1900
   26.8  1993   24.8  2000   26.0  1903   23.9  1899   21.9  1925   21.5  1946   23.2  1900   25.2  1891   24.3  1932   27.0  1929   25.0  1899   27.5  1929    72.4  1916    61.6  1902    62.8  1924    70.3  1929   242.0  1898
   26.7  1900   24.7  2020   25.9  1897   22.8  1949   21.7  1986   21.5  1912   23.0  1920   24.9  1985   23.7  1982   26.7  1932   24.8  1986   27.4  1900    70.4  1920    61.3  1925    62.0  1985    69.7  1899   239.1  1905
   26.6  2007   24.5  2002   25.5  1992   22.4  1950   21.3  2003   21.0  1938   22.7  2016   24.8  1904   23.6  1923   26.7  1983   24.8  2000   27.2  2011    70.3  1931    60.7  1898    61.5  1895    69.5  1893   235.4  1906
   26.2  2015   24.4  1894   25.1  1905   22.2  1934   21.2  1923   20.8  1922   22.5  1924   24.2  1941   23.5  1974   26.6  1967   24.7  1992   26.7  1980    70.2  1999    60.4  1970    60.7  1922    69.4  1974   234.8  1907
   26.1  1921   24.4  1997   24.7  1896   22.1  1947   21.2  1894   20.7  2002   22.3  1915   24.2  1930   23.5  1954   26.5  1935   24.5  1938   26.6  1901    70.1  2014    60.2  1934    59.4  1903    69.2  1981   233.9  1916
   26.0  1975   24.2  1989   24.3  2008   21.8  1932   21.2  1924   20.7  2004   22.0  1946   24.0  1892   23.5  2018   26.5  1938   24.5  1954   26.2  1893    70.1  2020    60.0  1967    59.2  1928    69.1  2017   233.6  1938
   25.8  1995   23.9  1898   24.3  1989   21.7  1910   21.0  2015   19.9  1945   21.7  1895   23.8  1929   23.5  1893   26.3  1934   24.4  1991   25.7  1949    70.0  1989    59.6  1905    59.1  1929    68.4  1984   233.5  1893
   25.8  1892   23.8  1988   24.1  1983   21.6  1970   20.4  1963   19.9  1896   21.7  1909   23.4  1895   23.3  1891   26.2  1892   24.4  1917   25.7  1986    68.8  1898    59.1  1927    59.0  1950    68.3  1938   232.1  1922
   25.4  2004   23.7  1903   24.1  1966   21.4  1915   20.4  1945   19.7  1994   21.6  2010   23.2  1992   23.2  1978   26.2  1942   24.3  1940   25.6  1954    68.7  1937    59.1  1903    58.6  1896    67.7  1982   231.8  1954
   25.4  1938   23.6  1999   23.8  1990   21.4  1985   20.3  1920   19.4  1928   21.2  1939   23.2  1962   23.1  1980   26.1  1954   24.3  1970   25.6  1915    68.0  2005    59.0  2006    58.0  1918    67.2  1905   230.4  1950
   25.3  1949   23.3  1925   23.7  1902   21.3  1900   20.3  1916   19.2  1991   21.2  1932   23.1  1946   23.0  2011   26.0  1893   24.0  1951   25.6  2013    67.8  2015    58.7  1986    57.7  2017    67.1  1903   229.8  1967
   25.3  1994   23.2  1908   23.6  1988   21.3  1943   20.3  1979   19.2  1972   21.2  1903   22.8  1924   22.8  1984   26.0  1981   24.0  1979   25.5  1993    67.6  1892    58.4  1921    56.6  1952    67.0  1935   229.8  2017
   25.2  1944   23.0  1995   23.5  1979   21.2  1919   20.2  2022   19.0  2017   21.1  1891   22.8  1918   22.7  1927   25.8  2008   24.0  2021   25.4  2015    67.2  2016    58.4  1916    56.5  1891    66.7  1932   229.7  1926
   25.1  1990   22.8  1998   23.4  1913   21.1  2012   20.2  1921   18.9  1929   21.1  1936   22.7  1951   22.6  1917   25.3  1930   23.9  1971   25.3  1999    66.8  1922    57.9  1992    56.5  1894    66.6  1950   229.4  1928
   25.1  1916   22.7  1905   23.2  1914   21.1  1917   20.1  1926   18.6  1952   21.1  1974   22.6  1982   22.6  1948   25.2  1921   23.8  1944   25.3  1919    66.5  1945    57.5  1904    56.4  1938    66.5  1978   228.7  1943
   25.0  1962   22.1  2024   23.1  1978   21.1  1951   19.6  1892   18.5  2008   20.9  1950   22.5  1960   22.3  1985   25.1  1900   23.7  1906   25.2  1951    66.1  2024    56.7  1897    55.9  1930    66.4  2000   228.7  1934
   24.9  2005   22.1  2014   23.0  1970   20.7  1975   19.5  1955   18.5  1980   20.8  1928   22.4  1988   22.2  1935   25.1  2000   23.7  1972   25.0  1994    65.9  1943    56.7  1899    55.6  1961    66.3  1980   228.7  1925
   24.8  1927   22.1  1943   23.0  1995   20.5  1959   19.4  1934   18.4  1947   20.8  2015   22.4  2024   22.2  1946   24.9  1984   23.6  1981   25.0  1923    65.6  2012    56.6  1922    55.3  2019    66.1  1970   228.1  2004
   24.8  1920   21.9  1918   22.8  1895   20.5  2006   19.0  2005   18.2  1966   20.7  1931   22.0  2017   22.2  1925   24.8  1961   23.6  1943   24.9  2014    65.6  1952    56.5  1995    55.1  2015    65.1  1919   227.5  1904
   24.7  1981   21.7  1945   22.7  1912   20.3  1920   19.0  1898   18.1  1965   20.7  1902   21.9  1989   21.8  2012   24.8  1905   23.6  1928   24.8  1912    65.3  1974    56.3  1926    54.8  1953    64.8  1986   227.2  1998
   24.7  2023   21.7  1916   22.7  1968   20.2  1896   19.0  2007   18.0  2025   20.7  1985   21.9  1934   21.8  1947   24.7  1996   23.5  1903   24.7  1921    65.3  1967    56.3  1913    54.6  1980    64.8  1930   226.4  1896
   24.5  2008   21.6  1937   22.7  2019   20.0  2004   19.0  2006   17.9  2024   20.6  1923   21.8  2014   21.5  1942   24.5  2017   23.5  1923   24.6  1911    65.1  1925    56.3  2015    54.6  1900    64.6  1892   225.7  1892
   24.3  1931   21.5  1946   22.5  1938   19.9  1922   18.9  1958   17.8  1935   20.6  1942   21.8  1894   21.4  1975   24.4  1909   23.4  1919   24.6  1918    65.0  2007    55.9  1932    54.5  2024    64.2  1900   225.1  2015
   23.7  1976   21.1  1906   22.5  2009   19.8  1964   18.8  1904   17.7  1901   20.5  2023   21.8  2009   21.2  1897   24.0  2020   23.4  1912   24.4  2017    64.9  1908    55.1  1994    54.4  1960    64.0  1944   225.1  1979
   23.7  1958   21.0  1933   22.2  1925   19.7  1898   18.7  1922   17.6  1926   20.5  2009   21.8  1893   21.1  1892   23.4  1906   23.3  2001   24.3  2024    64.5  1900    54.6  1909    54.4  1927    63.6  1943   224.2  1927
   23.7  1894   20.9  1910   22.2  1920   19.7  1931   18.2  1908   17.6  1931   20.5  1938   21.8  1961   20.8  1896   23.4  2001   23.3  1905   24.2  2020    64.4  1981    54.6  1949    54.1  1956    63.6  1942   223.8  1949
   23.6  1898   20.9  1939   21.9  1898   19.7  1992   18.1  1913   17.6  1923   20.4  1970   21.7  1943   20.8  1919   23.3  1955   23.2  1982   24.2  1936    64.4  1923    54.4  1908    53.9  1943    63.3  1927   223.2  1952
   23.6  2020   20.5  1893   21.8  1906   19.7  1994   17.9  2009   17.5  1924   20.0  1894   21.6  1950   20.8  1908   23.3  1974   23.1  2006   24.1  1967    64.2  1958    54.3  1943    53.8  1951    63.2  1992   223.1  2020
   23.5  1906   20.4  1992   21.4  1986   19.4  1979   17.9  1976   17.4  1916   20.0  1922   21.5  1905   20.8  1987   23.2  1989   23.1  1978   24.0  1910    64.1  1907    54.1  1907    53.8  1940    63.1  2004   223.0  1918
   23.5  1974   20.4  1935   21.3  1939   19.3  1916   17.9  1931   17.3  1943   20.0  2007   21.4  1958   20.8  1983   23.0  1895   23.1  1969   23.9  1906    63.6  2022    53.8  1963    53.8  1912    63.0  1926   223.0  1990
   23.3  1999   20.4  1915   21.3  1940   19.1  2016   17.8  2002   17.3  1944   19.8  1905   21.4  1910   20.7  1957   22.9  2022   23.1  1910   23.8  1952    63.6  1906    53.7  1917    53.6  1902    62.7  1934   222.9  1899
   23.1  1984   20.4  1920   21.1  1899   18.9  1933   17.8  1995   17.2  2019   19.8  1998   21.2  1956   20.7  1929   22.9  1995   23.1  2015   23.8  1942    63.5  1918    53.3  1910    53.5  2009    62.6  1947   222.8  1931
   22.9  1937   20.3  1914   21.0  1908   18.9  2024   17.8  1966   17.1  1961   19.6  1993   20.8  2019   20.5  1934   22.9  2021   23.0  1973   23.8  1973    63.5  1903    52.9  2009    53.4  1998    62.4  2008   222.7  1902
   22.8  1957   20.2  1922   21.0  2015   18.9  1965   17.7  1897   17.0  1981   19.5  2020   20.8  1898   20.4  1940   22.8  1998   22.9  1913   23.6  1955    63.4  1949    52.8  1896    53.1  1954    62.3  2021   222.5  1917
   22.8  1956   20.0  1958   20.8  1998   18.9  1905   17.7  1956   16.9  1948   19.4  1954   20.7  1917   20.3  2004   22.8  1980   22.9  1914   23.6  2004    63.3  1910    52.8  1977    53.1  1892    62.2  1918   222.4  1921
