Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland N
Areal series, starting in 1836
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  351.7  1993  327.5  1990  345.7  1990  220.3  1947  214.8  2011  180.1  1872  199.6  1940  236.1  2014  278.4  1950  293.3  1983  309.6  1981  333.1  2024   790.5  2000   525.3  1990   463.9  2019   803.9  1981  2219.7  1990
  308.3  1983  316.9  1989  303.3  1994  205.2  1904  174.1  1986  177.0  1877  189.2  1939  232.3  1992  235.1  1995  279.0  2014  283.8  1917  327.1  2013   782.6  1989   506.0  1994   447.4  1985   718.1  1917  1979.7  1992
  302.2  2015  310.2  1997  303.0  1967  193.8  1927  165.8  2015  158.3  1938  183.8  1946  228.0  1868  235.0  1863  277.5  1935  281.5  1977  325.5  1898   779.4  1995   490.3  1967   444.6  1877   662.1  1980  1971.0  2011
  297.3  2005  307.4  1868  224.0  1979  189.4  1910  161.0  1922  158.2  1856  179.5  1988  225.2  1962  233.0  1981  275.9  2001  262.3  1991  324.3  2015   759.0  2020   460.5  2015   437.8  1946   651.1  1978  1960.7  2015
  295.8  2007  291.0  2020  217.9  1992  176.1  1977  156.7  2007  156.2  1966  174.1  1956  221.9  2019  227.0  2018  275.6  1917  261.9  1986  315.8  1974   735.3  2016   445.9  1986   432.1  1903   646.9  1938  1958.7  1999
  288.1  1928  287.3  1848  212.1  1876  174.8  1950  149.6  1958  151.0  1907  167.2  1918  216.9  1903  223.5  1982  275.0  1938  259.2  1861  311.7  2011   733.0  1868   444.5  1992   420.4  1861   633.0  1982  1939.9  2020
  284.3  2008  286.5  1998  210.1  1882  168.9  1867  149.6  2003  147.9  1838  163.8  2010  216.4  1985  217.3  1980  267.6  2008  258.7  1978  311.2  1966   724.1  2007   429.6  1979   419.4  1918   628.3  2006  1936.6  1938
  273.8  1863  267.3  2002  208.7  1903  168.8  1919  146.7  2022  145.1  1919  162.8  1970  213.0  1861  216.2  1978  265.4  1890  256.0  2006  308.0  1852   723.2  2014   427.8  2011   419.1  1956   618.1  1970  1914.4  1998
  272.6  1989  252.2  1894  208.1  1989  168.0  1994  137.5  1923  141.7  1862  159.0  1871  198.0  1989  214.6  1899  264.5  1970  252.6  1973  299.6  1949   707.7  2015   404.1  1997   415.4  1938   617.6  1984  1889.9  2004
  270.4  1995  247.3  2022  205.4  1861  166.0  1934  136.8  1963  141.0  2017  158.1  1881  194.8  1982  213.2  2004  261.3  1981  250.6  1979  295.5  2006   689.1  1990   401.9  2006   413.4  1890   614.0  1893  1860.4  1863
  268.0  1975  244.8  2000  202.5  2015  160.7  1951  133.7  2013  140.9  1980  157.1  1959  192.3  2024  208.3  1935  261.0  1967  250.5  1982  295.1  1986   682.5  1894   399.1  2009   411.0  1957   613.7  1935  1846.4  1868
  266.1  1932  238.8  1995  201.0  1938  157.6  1943  130.4  1925  139.8  1944  152.8  1938  190.4  1930  205.3  1885  254.7  2020  247.3  1992  291.8  1999   679.2  2005   392.1  1977   408.7  2024   604.6  1991  1843.3  2008
  265.8  1916  234.8  1920  200.0  1966  156.1  1949  124.7  2009  136.2  1848  152.8  2016  188.0  1863  203.7  2011  249.8  2000  247.1  1938  288.4  1983   674.4  2012   391.2  1999   407.6  1838   600.8  1869  1839.3  1903
  265.0  1890  218.5  1903  197.6  1986  155.8  1863  124.2  1920  136.1  1994  152.2  1953  186.2  1941  203.5  1893  246.6  1874  242.4  1947  281.4  1900   660.3  1993   390.6  1910   403.7  1961   600.8  1954  1832.4  2014
  264.0  1921  214.5  2014  197.5  2009  154.3  1915  124.1  2006  135.6  2004  150.2  1936  182.2  1988  202.0  1869  246.5  1954  241.1  1877  274.8  1912   658.4  2002   386.1  2007   403.2  2017   598.0  1977  1826.7  2005
  263.7  1976  209.1  1898  194.6  1968  153.7  1932  124.0  1962  134.5  1990  149.8  1903  181.9  2009  200.7  1990  245.4  1862  237.0  1869  274.1  1954   655.6  2008   381.2  2005   400.2  1988   596.0  1995  1814.9  1967
  260.0  1990  207.3  2008  193.8  2019  153.2  2006  123.9  1906  131.8  1999  148.5  2023  181.2  1889  199.0  1947  242.8  1998  236.1  2009  274.1  1921   655.4  1998   380.8  1934   399.2  1872   595.7  2001  1805.1  2024
  259.7  2020  206.8  1992  191.2  2026  140.7  2013  123.6  1964  131.0  1946  147.5  1957  177.6  1923  196.6  1872  240.3  1929  234.3  1953  270.1  1994   655.0  2024   380.5  1903   398.8  1846   591.3  2011  1802.0  2006
  255.1  1868  203.6  1869  189.7  1988  139.8  1965  123.4  1966  129.0  1927  147.2  1985  174.0  2005  195.7  1892  237.9  1996  232.7  1913  263.7  1980   647.8  1999   377.0  1882   396.8  2009   586.7  1872  1799.4  1898
  254.9  1852  201.1  1850  189.0  2008  139.6  1899  122.2  1884  128.1  1945  146.3  1879  173.0  1957  193.6  1969  237.0  1942  232.3  1999  259.8  2014   633.2  1920   376.4  1925   396.5  1962   582.6  1950  1793.8  2007
  254.2  1962  193.8  1943  189.0  1921  136.8  1975  121.4  1840  126.1  2002  146.1  1856  172.7  1874  192.1  1992  236.4  1934  231.5  1996  258.8  2023   625.5  1975   375.2  1913   392.1  1980   582.6  1992  1787.8  1994
  254.0  2000  191.0  1935  187.8  1997  133.9  2024  120.2  1862  124.9  1972  146.0  1858  169.1  1929  190.2  1839  236.0  1903  230.0  2015  258.6  1863   621.9  1984   373.3  1920   390.8  1923   580.3  1874  1786.7  2000
  248.3  1999  188.7  2024  185.2  1859  133.7  1985  119.8  1944  124.7  2020  144.8  1998  168.2  1894  189.7  1878  235.6  2006  229.9  1940  249.7  1893   610.8  1863   370.4  1966   388.7  1873   579.1  2004  1780.0  1986
