Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland N
Areal series, starting in 1910
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   51.2  2001   95.4  1975  154.0  2022  210.2  2025  256.5  2025  234.7  1970  212.0  1955  232.8  1947  139.3  1996  104.8  2016   62.0  1925   39.1  1995   151.5  1963   565.2  2025   577.9  1995   270.1  1959  1319.6  1955
   46.3  1963   93.7  2003  141.7  1929  210.0  1942  225.4  2008  224.9  1920  187.1  1990  210.7  1976  133.9  1959   99.9  1939   57.8  2011   38.2  1920   147.6  1930   484.7  2020   539.8  1955   256.0  2003  1311.0  2025
   42.2  1991   91.0  2018  137.8  1923  200.6  2020  223.5  1994  224.2  2023  185.0  1917  203.6  1995  131.1  1928   99.0  1915   56.2  1989   34.8  1960   146.3  2003   484.5  1942   486.4  2009   248.3  2016  1307.2  2018
   41.4  1941   90.9  1986  131.3  1931  197.1  2021  220.0  1992  224.2  1949  183.4  2013  179.5  1997  126.0  2024   93.6  1959   54.2  1993   33.8  1972   145.2  1947   479.1  2008   486.4  1947   246.1  1928  1255.7  2003
   41.3  2021   86.8  1968  126.0  1953  193.8  1962  219.6  2018  220.6  2009  180.1  1995  178.3  1938  125.1  1933   92.7  2003   54.1  2018   33.0  2007   143.1  1985   477.3  1929   485.4  1917   242.8  1996  1234.4  2009
   41.2  1947   86.4  1930  125.6  2003  188.7  1974  218.5  2000  213.3  1940  172.9  2014  178.0  1968  122.2  1987   91.5  1973   54.0  2003   32.6  1961   139.9  2001   475.2  1948   483.1  1911   241.4  1915  1225.5  1995
   39.5  1929   83.4  1963  124.0  1935  175.4  1954  218.4  1948  212.5  1936  172.7  1989  166.8  2003  121.8  1997   86.9  1971   53.5  1926   31.3  2001   138.7  1959   471.3  2018   480.8  1976   238.1  1998  1216.5  2023
   39.4  2025   81.4  1959  123.9  1956  174.6  2015  216.4  1946  205.0  2018  170.3  1983  159.3  1977  121.8  1960   86.7  1946   51.9  1968   31.0  1953   138.1  2018   458.3  2007   477.0  1997   233.1  1939  1202.9  1911
   39.1  1977   79.6  1979  120.0  2007  172.0  1984  213.6  1951  202.4  1915  170.2  1935  154.3  1944  120.5  1971   85.9  1936   51.1  2016   30.5  1957   137.0  1975   447.4  2009   469.2  2018   232.9  1971  1177.2  1989
   38.2  2009   79.6  1960  120.0  1954  170.4  1981  209.7  2009  200.9  1925  169.8  1926  153.1  1966  118.1  2023   85.7  1965   50.9  1976   29.3  1977   135.4  2021   446.9  1935   467.4  1968   231.4  1997  1171.5  1975
   37.0  2017   79.2  1985  119.4  2017  166.6  2023  209.0  1935  200.1  1934  168.2  1972  152.8  1984  117.8  1934   85.4  1922   49.9  1958   29.2  1946   134.5  1977   444.4  1974   466.1  2023   230.8  2023  1169.4  1959
   37.0  1961   78.6  2025  119.0  1948  164.1  2007  205.0  2017  196.9  1967  165.1  1911  150.7  2004  117.7  2025   85.4  1972   49.0  1965   28.9  1943   133.2  1960   443.6  2001   464.7  1920   229.7  2024  1167.3  1977
   37.0  1952   77.9  2013  118.8  2001  162.7  1929  204.0  1915  194.2  1995  164.6  1982  150.6  1999  117.6  1991   84.1  1975   48.5  1961   28.8  1935   133.0  1986   443.1  1955   462.1  1977   228.7  1958  1163.3  1947
   37.0  1925   76.0  1955  116.8  1911  161.8  2013  203.0  2012  192.6  1957  162.1  2006  150.6  1950  116.3  2004   84.0  2015   47.2  1918   28.8  1927   131.9  1961   435.8  2015   456.8  1921   227.9  1926  1154.5  2016
