Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Scotland N
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    8.2  1989    8.5  1998   10.2  2012   13.0  2025   16.1  2024   18.9  2023   19.4  2006   20.1  1947   16.5  2006   13.3  1908   10.5  2011    8.5  2016    7.46  1989   12.38  2025   17.55  2003   12.37  1959   11.83  2025
    7.8  1932    8.4  1891   10.1  1948   12.9  2011   15.0  2018   17.7  1970   18.8  1901   19.1  1995   16.0  1958   13.3  1959    9.6  1899    8.0  1988    7.27  2017   11.46  2003   17.46  1976   12.35  2006   11.57  2003
    7.5  1916    8.4  2019    9.7  2003   12.7  2007   15.0  2008   17.6  1940   18.6  2013   19.0  1997   15.9  1906   13.1  1969    9.6  1994    7.9  1971    7.17  1932   11.23  2024   17.42  1995   12.22  2011   11.35  2022
    7.3  1898    7.8  2023    9.5  1929   12.3  2003   15.0  2017   17.2  1887   18.6  1955   18.9  1899   15.9  1895   12.6  2001    9.5  2022    7.7  2015    6.87  1998   11.15  1893   17.39  1899   12.06  2022   11.26  2014
    7.2  2020    7.6  2008    9.5  2022   12.0  1894   14.7  1901   16.9  2018   18.5  2018   18.4  1976   15.8  2023   12.5  1995    9.1  2020    7.5  1934    6.76  2007   11.03  1948   17.33  1947   11.99  1945   11.24  2023
    7.1  2022    7.2  2012    9.5  2025   11.8  1893   14.7  1992   16.8  1933   18.4  2025   18.2  1955   15.8  1898   12.4  2007    9.0  2003    7.5  1924    6.64  1992   10.99  2007   17.30  2023   11.92  1958   11.16  2006
    7.0  2002    7.1  1896    9.4  1938   11.8  2019   14.7  2025   16.7  1899   18.3  2014   18.0  2003   15.8  1959   12.4  1945    9.0  1948    7.4  1942    6.62  2019   10.91  2011   17.28  2025   11.92  2014   11.07  1997
    6.8  1923    7.0  1934    9.4  1945   11.5  2009   14.7  1889   16.7  1905   18.2  2003   18.0  1975   15.5  2021   12.3  2005    8.9  1997    7.4  2024    6.53  1949   10.91  2022   17.22  1955   11.86  2021   11.05  2024
    6.8  2005    7.0  1961    9.2  1957   11.3  1974   14.6  1919   16.5  1893   18.1  1976   17.8  1984   15.5  1901   12.3  2006    8.8  1902    7.3  2004    6.52  2008   10.89  2017   17.19  1933   11.77  1898   11.03  1959
    6.8  2007    6.9  1943    9.1  1961   11.1  2014   14.6  1896   16.5  1889   18.1  2021   17.6  2025   15.5  1890   12.2  1921    8.8  2018    7.3  1931    6.44  2020   10.86  2009   17.13  2006   11.69  1949   10.98  2007
    6.7  1974    6.9  1914    8.7  2026   11.1  2020   14.5  1940   16.4  2003   18.0  1933   17.4  2004   15.5  2014   12.2  1977    8.8  1953    7.3  2013    6.43  2005   10.77  2014   17.02  1997   11.68  1908   10.97  2011
    6.6  2017    6.8  1939    8.7  1933   10.9  1942   14.5  1960   16.3  1960   17.9  1995   17.2  1983   15.4  1949   12.2  2015    8.8  2014    7.2  1900    6.43  1943   10.67  1959   17.01  2021   11.68  1906   10.95  2004
    6.5  1890    6.8  1945    8.6  1953   10.9  1955   14.2  1895   16.3  2006   17.8  1983   17.2  1944   15.4  1933   12.1  1898    8.7  1920    7.2  1953    6.39  1935   10.65  1960   16.99  2018   11.60  1953   10.93  2020
    6.4  1992    6.7  1949    8.5  1997   10.8  1914   14.2  2001   16.2  2021   17.8  1991   17.0  1897   15.4  1941   12.0  2022    8.7  1894    7.2  1921    6.35  2025   10.61  1945   16.71  2013   11.57  2015   10.92  1945
    6.4  1934    6.7  1993    8.4  1959   10.7  2002   14.1  1947   16.1  1936   17.6  1997   16.9  1991   15.4  2016   12.0  2017    8.7  1931    7.1  1974    6.32  1975   10.57  2002   16.63  2022   11.55  2005   10.86  2017
    6.4  1957    6.7  1992    8.4  1894   10.7  1952   13.9  1959   16.1  2022   17.6  1989   16.9  1911   15.2  1999   11.9  1972    8.7  1945    7.1  2025    6.31  2022   10.56  2004   16.61  1893   11.54  1999   10.86  2005
    6.4  1964    6.7  2025    8.3  2017   10.6  1944   13.8  1978   16.1  1992   17.6  2019   16.9  2022   15.1  2002   11.8  1947    8.7  1955    7.0  2006    6.25  2014   10.54  2020   16.48  2009   11.45  1995   10.85  2019
    6.3  1990    6.7  1903    8.3  2014   10.6  1987   13.8  1937   15.9  2009   17.5  1994   16.9  1893   15.0  1971   11.8  1971    8.5  2021    7.0  1898    6.18  1934   10.45  1952   16.47  2014   11.39  2024   10.84  1953
    6.3  2000    6.7  1918    8.2  1991   10.5  2023   13.7  2000   15.9  1930   17.5  1934   16.8  2012   15.0  1998   11.8  1920    8.5  1913    7.0  1975    6.15  2006   10.45  1957   16.44  1975   11.30  2001   10.84  2002
    6.3  1921    6.6  1959    8.2  2007   10.5  1984   13.7  1980   15.9  1969   17.3  1897   16.8  1938   15.0  2003   11.7  2011    8.5  1908    7.0  1998    6.12  1890   10.34  2019   16.42  1887   11.30  2025   10.84  2009
    6.3  1944    6.6  1920    8.1  1923   10.4  1921   13.7  2023   15.9  2014   17.3  2008   16.8  2002   14.9  1996   11.7  2016    8.5  2024    6.9  1905    6.08  1925   10.32  2012   16.40  1897   11.30  2003   10.82  1949
    6.3  1889    6.6  2017    8.1  1893   10.3  1926   13.6  1911   15.8  2010   17.2  1982   16.8  1939   14.9  1945   11.7  1949    8.5  1958    6.9  1983    6.08  1976   10.30  1961   16.34  1983   11.29  1951   10.80  1933
    6.3  1905    6.6  1887    8.1  1950   10.3  2004   13.6  2020   15.8  2025   17.2  2009   16.8  1884   14.9  1934   11.6  2024    8.4  2015    6.8  1956    6.05  2012   10.27  1933   16.31  1984   11.28  1971   10.78  2018
    6.2  1983    6.5  1921    8.1  1935   10.3  1957   13.6  1990   15.8  1986   17.0  1947   16.8  1959   14.8  1955   11.6  1943    8.4  1938    6.8  1941    6.03  1957   10.22  1896   16.28  2019   11.27  1997   10.76  2016
    6.2  2006    6.5  2007    8.1  2005   10.2  2022   13.5  1893   15.7  1976   17.0  1999   16.8  2023   14.8  1939   11.6  1985    8.3  2001    6.8  1948    6.03  1923   10.22  1990   16.26  1901   11.23  1920   10.73  2021
    6.1  1935    6.4  2024    8.0  2000   10.2  1946   13.5  1890   15.7  1900   17.0  1894   16.7  2020   14.7  1907   11.5  1996    8.3  2004    6.8  1991    6.01  2002   10.21  1974   16.25  1969   11.23  1899   10.67  2008
    6.1  1949    6.4  1932    8.0  1990   10.1  2015   13.5  1952   15.7  2020   17.0  1926   16.7  2021   14.7  1953   11.5  1897    8.3  1995    6.7  1972    6.01  1921   10.14  1938   16.17  1911   11.20  1902   10.64  1971
    6.1  1975    6.4  1926    8.0  1973   10.1  1999   13.4  2016   15.6  1988   16.9  2022   16.7  1933   14.7  2022   11.5  2014    8.3  2006    6.7  1984    5.97  1911   10.13  2023   16.15  1936   11.20  1941   10.59  1898
    6.1  1950    6.3  2003    8.0  2004   10.1  1960   13.4  2004   15.6  1968   16.8  1925   16.7  1969   14.6  1903   11.5  2013    8.2  1999    6.7  2018    5.96  1974   10.10  2008   16.12  1959   11.19  2007   10.57  1999
    6.0  1925    6.3  2011    7.9  1927   10.1  1949   13.4  1981   15.6  1906   16.8  1990   16.5  1937   14.6  2005   11.5  2021    8.2  1951    6.7  1888    5.94  2016   10.09  1992   16.11  1934   11.17  2016   10.55  2000
    6.0  1938    6.3  1997    7.9  1943   10.0  1980   13.4  1918   15.4  1939   16.8  1984   16.5  2013   14.6  2025   11.5  1965    8.2  1889    6.5  1932    5.87  1972   10.08  2000   16.06  1950   11.16  1913   10.54  1938
    5.8  1953    6.3  1953    7.9  2024   10.0  2018   13.4  1988   15.4  1959   16.8  1945   16.5  1999   14.6  2000   11.5  2025    8.2  1978    6.5  2019    5.81  2004   10.08  1946   16.05  1905   11.13  2009   10.52  1934
    5.8  1973    6.3  1982    7.8  2009   10.0  2005   13.3  2009   15.4  1963   16.7  1917   16.5  2016   14.6  1936   11.5  1951    8.2  2002    6.5  1911    5.80  2024   10.07  1929   16.04  1945   11.10  2020   10.52  1921
    5.8  1998    6.2  1928    7.8  2021   10.0  1943   13.3  2002   15.4  1895   16.7  1911   16.5  1935   14.6  2004   11.5  1968    8.2  1897    6.5  1997    5.79  2023   10.05  1894   16.01  2008   11.06  2023   10.50  1893
    5.8  1937    6.1  1927    7.7  2002    9.9  1912   13.3  1971   15.4  1891   16.7  1935   16.5  1945   14.6  1900   11.4  1975    8.2  1924    6.5  1954    5.79  1973   10.04  1999   15.99  1949   11.04  1938   10.49  1990
    5.8  2008    6.1  1971    7.7  1910    9.9  1937   13.1  1946   15.4  1934   16.7  1905   16.5  2000   14.5  1884   11.4  1979    8.1  1906    6.5  1945    5.79  1971   10.03  1997   15.97  2004   10.97  1955   10.48  2015
    5.8  1896    6.1  1899    7.7  2016    9.9  1945   13.0  1948   15.4  1966   16.7  1949   16.5  1996   14.5  2011   11.3  2009    8.1  1986    6.4  2005    5.75  1914   10.01  2018   15.96  1982   10.96  1901   10.45  1948
    5.7  1996    6.1  2000    7.7  1963    9.9  2010   13.0  2022   15.4  2016   16.6  1927   16.5  1950   14.5  1961   11.3  1978    8.1  1983    6.4  1977    5.74  1909   10.00  1940   15.94  1900   10.94  2004   10.45  1899
    5.7  1971    6.0  1967    7.6  1956    9.9  1961   12.9  1982   15.3  1920   16.6  1904   16.5  2019   14.4  2019   11.3  1958    8.0  1959    6.4  1893    5.72  1946    9.99  1943   15.90  1917   10.93  2013   10.42  1995
    5.7  2023    6.0  1989    7.5  2019    9.9  1948   12.9  2014   15.3  1949   16.5  1887   16.3  1917   14.4  1981   11.3  1953    8.0  2007    6.4  1910    5.71  1905    9.98  1981   15.89  1935   10.93  1890   10.42  1989
    5.7  1911    6.0  2022    7.5  1993    9.9  1954   12.9  1953   15.3  1953   16.5  1899   16.3  2009   14.3  2009   11.3  1913    8.0  1949    6.4  1994    5.70  1999    9.97  1901   15.88  2020   10.92  2002   10.42  1901
    5.6  1926    6.0  1990    7.4  1972    9.8  1901   12.9  1964   15.3  2005   16.4  1950   16.3  1906   14.3  1904   11.3  1962    8.0  1939    6.3  1889    5.70  1944    9.95  1895   15.85  1906   10.89  1994   10.41  2013
    5.6  1993    5.9  2014    7.4  1977    9.8  1898   12.8  1936   15.2  1950   16.4  1893   16.3  1973   14.3  1980   11.3  1963    8.0  1892    6.3  2007    5.69  1896    9.88  2005   15.85  1991   10.86  1978   10.38  1943
    5.5  2004    5.9  2004    7.4  1960    9.8  1996   12.8  1998   15.2  1982   16.4  1977   16.3  1936   14.2  1938   11.2  1999    7.9  1964    6.3  1908    5.69  1927    9.85  1953   15.83  1970   10.84  1897   10.38  1975
    5.5  2014    5.9  1962    7.4  1936    9.8  1997   12.8  1999   15.2  1995   16.4  1921   16.2  2008   14.2  2020   11.1  1899    7.9  1917    6.2  1894    5.69  1993    9.84  1971   15.81  2016   10.84  2018   10.37  1976
    5.5  1976    5.9  1938    7.4  1907    9.7  1981   12.7  1929   15.1  1941   16.3  1944   16.2  1932   14.2  1991   11.1  1886    7.8  1946    6.1  1936    5.68  1898    9.83  1890   15.80  1926   10.83  1933   10.36  1998
    5.5  2009    5.9  1911    7.4  2015    9.7  1933   12.7  1989   15.1  1932   16.3  2023   16.2  1926   14.2  1967   11.0  1990    7.8  1916    6.0  1922    5.66  1899    9.78  2016   15.79  1940   10.83  1947   10.33  1957
    5.5  2012    5.8  1964    7.3  1999    9.7  1895   12.7  2012   15.1  1975   16.2  1941   16.1  1898   14.2  2013   11.0  1906    7.8  2025    6.0  1980    5.63  1964    9.74  1991   15.78  2005   10.81  1907   10.33  1939
    5.5  1906    5.8  1908    7.3  2011    9.7  2024   12.6  1954   15.1  2002   16.2  1975   16.1  1914   14.2  1956   10.9  2000    7.8  1956    6.0  1987    5.63  2003    9.71  1954   15.77  2002   10.80  2000   10.32  1991
    5.5  1981    5.8  2006    7.2  1998    9.7  1993   12.6  1939   15.1  1957   16.2  2011   16.1  1970   14.2  1951   10.9  1989    7.7  2009    6.0  1912    5.60  1889    9.69  1942   15.76  1999   10.78  1939   10.29  1911
