Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Scotland N
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    5.6  1989    6.1  1998    6.8  2012    8.8  2011   12.1  2024   14.1  2023   15.0  2006   15.0  1947   12.9  2006   10.4  1908    7.4  2011    5.5  1988    4.83  1989    7.92  2025   13.71  2003    9.33  2006    8.31  2025
    5.0  1898    5.1  2019    6.6  1938    8.6  2007   10.5  1889   12.9  1970   14.6  2025   14.9  1997   12.4  2021   10.2  2001    7.2  1994    5.5  1971    4.56  1932    7.62  2024   13.56  2025    9.30  2011    8.14  2022
    4.8  2022    5.0  1891    6.5  1945    8.1  2003   10.3  2018   12.8  1940   14.5  2013   14.6  1995   12.4  1958   10.0  1969    7.1  1899    5.5  2016    4.38  1998    7.44  2003   13.41  1933    9.22  2022    8.11  2014
    4.8  1932    4.8  2023    6.3  1957    8.1  2025   10.3  2008   12.6  2003   14.5  1933   14.4  1899   12.3  2023    9.8  1959    6.8  1997    5.5  1934    4.34  2017    7.36  2014   13.37  2023    9.12  2021    7.96  2003
    4.8  2020    4.7  1934    6.2  1961    7.7  2009   10.2  2017   12.4  2018   14.5  1901   14.2  1955   12.2  2016    9.3  1995    6.7  2022    5.3  1924    4.21  2007    7.32  2011   13.31  2006    8.91  2014    7.86  2023
    4.8  1916    4.6  1993    6.2  1948    7.7  2014   10.1  1940   12.4  1887   14.5  2003   14.1  1975   12.2  1895    9.3  2006    6.4  2020    4.9  1931    4.04  1935    7.20  2007   13.24  1899    8.88  1945    7.86  2006
    4.5  1923    4.4  1896    6.0  2025    7.6  2019   10.0  1992   12.4  1933   14.4  2021   14.0  2025   12.1  1941    9.3  2005    6.4  1902    4.9  2024    3.92  1992    7.14  2017   13.22  1976    8.86  1908    7.83  2007
    4.4  2007    4.4  2012    5.6  1997    7.5  1894   10.0  1919   12.4  2014   14.3  2018   14.0  2004   12.1  2014    9.3  2022    6.3  1953    4.8  2015    3.92  1923    7.13  1945   13.22  2021    8.85  1959    7.82  2024
    4.3  2002    4.3  1918    5.6  2003    7.2  1944    9.9  1960   12.2  1899   14.3  1991   14.0  2003   12.0  1949    9.3  1921    6.2  2021    4.8  2013    3.89  2014    7.06  2009   13.14  1995    8.81  1953    7.80  1997
    4.2  2005    4.3  1943    5.4  1933    7.2  2004    9.8  2023   12.2  1905   14.2  2019   13.5  1976   11.9  1890    9.3  2007    6.2  1931    4.7  1942    3.87  1925    7.04  2022   13.14  1947    8.74  1958    7.76  2004
