Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Scotland N
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    3.1  1989    3.8  1998    3.8  1938    4.8  2011    8.2  2024    9.4  2023   11.0  1933   10.8  1997    9.4  2006    7.9  2001    4.8  1994    3.6  1934    2.24  1989    4.10  2024   10.03  2025    6.53  2022    5.04  2014
    2.7  1898    2.6  1993    3.6  1945    4.6  2007    6.6  2022    9.2  2014   11.0  2019   10.5  2004    9.4  2021    7.6  1908    4.6  1997    3.3  1924    1.99  1998    4.08  2014   10.02  2003    6.46  2011    5.00  2022
    2.4  2022    2.2  1934    3.5  1957    4.2  2014    6.4  1889    9.1  2003   10.9  2025   10.4  2025    9.1  2016    7.1  1969    4.5  2011    3.2  1988    1.92  1923    3.83  2011    9.76  1933    6.42  2021    4.89  2025
    2.3  1923    2.0  1896    3.4  2012    4.0  2003    6.3  2023    8.7  2025   10.9  2006   10.3  1975    8.9  2014    6.8  2022    4.4  1899    3.2  1971    1.91  1932    3.70  1945    9.68  2006    6.37  2006    4.74  2007
    2.2  2020    1.9  2023    3.3  1961    4.0  2004    6.0  1952    8.7  1966   10.9  2003   10.2  1955    8.9  1941    6.5  2017    4.1  2022    2.7  2016    1.76  1935    3.58  2004    9.55  2021    6.17  2001    4.70  2005
    2.2  1916    1.9  1918    2.8  1997    3.9  2009    6.0  1964    8.5  2020   10.8  1991   10.2  1959    8.8  2009    6.5  2005    3.8  1953    2.6  1931    1.75  1925    3.55  1933    9.53  2019    6.11  1953    4.69  2002
    1.9  2007    1.8  2019    2.6  2025    3.8  1944    5.8  2018    8.5  2002   10.7  2021   10.2  1995    8.8  1958    6.5  1959    3.8  2020    2.5  2024    1.65  2007    3.54  2025    9.52  2023    6.07  1908    4.68  2024
    1.8  1932    1.7  1903    2.5  1990    3.7  1926    5.8  1940    8.4  2017   10.4  2013   10.1  1991    8.8  2023    6.4  2006    3.8  2021    2.4  1975    1.52  2017    3.53  2003    9.33  2022    5.97  2014    4.67  2004
    1.7  1996    1.7  2012    2.4  2005    3.6  1943    5.8  2017    8.4  2016   10.4  2018   10.1  2002    8.7  1999    6.4  1977    3.8  1924    2.3  2013    1.50  2014    3.50  2007    9.30  2013    5.90  1945    4.66  2006
    1.7  2002    1.7  1945    2.3  1948    3.5  2019    5.8  1970    8.3  2010   10.3  1976   10.1  1947    8.6  2011    6.4  1921    3.8  1931    2.3  1905    1.38  1934    3.47  2017    9.28  2004    5.90  1999    4.64  2017
    1.6  1925    1.6  1943    2.3  2014    3.5  1960    5.8  1893    8.3  2004   10.3  1901   10.1  1969    8.6  2022    6.3  1962    3.7  1955    2.2  1948    1.27  2022    3.47  1999    9.28  2018    5.75  1949    4.64  1953
    1.6  2005    1.6  1891    2.2  2019    3.5  1933    5.8  2008    8.3  1970   10.2  2008   10.1  2003    8.6  1895    6.3  1995    3.7  1902    2.1  1953    1.26  1943    3.46  1952    9.20  2014    5.70  2009    4.63  1997
