Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland W
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   26.4  1963   26.3  1947   23.2  1937   14.3  2021    6.8  1979    0.9  1936    0.1  1954    0.2  1932    3.0  1986    8.7  1992   18.3  1985   24.6  2010    67.2  1963    32.1  1951     1.0  1936    22.3  1993   103.2  2010
   25.9  1985   26.1  1963   23.0  1955   13.8  1936    5.5  1935    0.9  1991    0.0  1965    0.1  1964    2.3  1974    8.2  1939   16.5  1969   22.8  1950    61.6  2010    31.7  1979     0.9  1991    18.6  1985   100.3  1979
   25.4  1979   23.9  1986   20.7  2013   13.2  1983    5.2  1996    0.7  1975    0.0  1958    0.1  1977    2.1  1932    8.0  1993   15.1  1965   21.9  1981    59.4  1979    31.7  2013     0.7  1975    17.4  2010    95.8  1955
   24.5  1940   23.0  1968   20.5  1969   12.2  1970    5.1  1948    0.5  1989    0.0  1957    0.1  1944    1.9  1954    7.9  1955   14.8  1996   21.4  2009    56.4  1947    31.6  1969     0.5  1989    17.0  1952    94.4  1969
   24.0  1945   22.7  1955   19.9  1931   11.9  1956    4.9  1942    0.5  1941    0.0  1935    0.0  1956    1.8  1943    6.7  1981   13.6  2010   20.3  1961    56.2  1951    31.5  1955     0.5  1941    16.7  1969    92.6  1942
   23.3  1959   22.7  1942   19.5  1962   11.8  1986    4.9  1995    0.4  1962    0.0  1992    0.0  1999    1.7  1942    5.8  2003   13.2  1993   19.6  1976    52.8  1941    31.3  1941     0.4  1962    16.1  1965    91.7  1941
   22.9  1941   21.0  1979   18.6  1958   11.1  1932    4.6  1938    0.4  1957    0.0  1952    0.0  1986    1.6  1972    5.7  2002   13.1  1952   19.2  1937    52.4  1940    29.6  1970     0.4  1957    16.0  1973    88.4  1963
   22.6  1952   20.8  1956   18.2  1979   10.7  1951    4.5  1941    0.3  1998    0.0  1936    0.0  1937    1.5  1940    5.6  1973   12.8  2016   18.0  1935    52.3  1942    28.7  1962     0.3  1956    15.7  2019    85.2  1985
   21.4  1942   20.8  2010   18.1  1947   10.7  1966    4.3  1945    0.3  1956    0.0  1938    0.0  1938    1.2  1975    5.0  1931   12.2  1942   17.3  1995    51.0  1956    28.4  1958     0.3  1998    15.5  1942    84.7  1947
   20.9  1987   20.6  1969   18.1  1941    9.8  1968    4.3  1975    0.3  1985    0.0  1956    0.0  1989    1.2  2020    4.9  2012   11.8  1937   16.9  2001    49.9  1952    27.9  1931     0.3  1932    15.4  1971    84.4  1968
   20.6  1984   19.9  1960   17.3  1970    9.7  1953    4.2  1951    0.2  1964    0.0  2000    0.0  1966    1.1  1993    4.1  1980   11.7  2019   16.5  2008    49.9  1965    27.1  1975     0.3  1964    15.4  1992    84.2  1965
   20.6  2021   19.5  1996   17.2  1951    9.5  2013    3.9  1955    0.2  1952    0.0  1966    0.0  1943    1.0  2007    4.1  2018   11.5  1966   16.5  1960    49.0  1936    26.6  1995     0.3  1985    15.0  1996    83.8  1952
   19.4  2010   19.5  1970   16.5  1987    9.4  1969    3.8  1982    0.2  1978    0.0  1962    0.0  1969    1.0  1936    4.1  1941   11.3  1971   16.4  1989    48.6  1986    26.2  1932     0.2  1954    14.7  1937    82.0  1981
   18.7  1997   19.3  1983   16.5  1995    8.8  1941    3.8  1984    0.1  1969    0.0  1943    0.0  1931    1.0  1931    4.0  2019   10.8  1947   16.2  1968    48.5  2011    25.8  1942     0.2  1952    14.1  1966    81.7  1937
   18.2  1939   19.0  1991   16.1  2001    8.5  1998    3.6  1968    0.1  1932    0.0  1964    0.0  1993    0.9  1979    4.0  1997   10.8  1977   16.0  1996    48.4  1977    25.7  1937     0.2  1969    13.6  1972    81.6  1951
   18.0  1978   17.4  1941   16.0  1942    8.5  1989    3.5  2010    0.1  1946    0.0  1999    0.0  1953    0.8  1952    3.6  1946   10.6  2005   15.6  1964    48.2  1968    24.8  1968     0.2  1978    13.3  1936    79.7  1996
   17.7  1960   17.3  1978   16.0  1975    8.5  1978    3.5  2021    0.1  1939    0.0  1986    0.0  1987    0.7  2010    3.5  2008   10.6  1934   15.6  1993    47.0  1970    23.4  2001     0.1  1977    12.9  2016    79.5  1940
   17.5  1956   16.9  1951   15.1  1934    8.4  1938    3.4  2012    0.1  1942    0.0  1971    0.0  1968    0.7  1939    3.5  1971   10.4  2013   15.6  1969    46.8  1955    23.3  2021     0.1  1946    12.6  1980    79.2  1986
   17.4  1965   16.8  1965   15.0  2018    8.3  2000    3.4  1977    0.1  2012    0.0  1976    0.0  1962    0.6  1964    3.3  1948   10.3  1973   15.4  1952    46.5  1969    22.9  1934     0.1  1939    12.3  1934    78.2  1970
   17.2  2011   16.7  2013   14.7  1965    8.3  1981    3.2  1946    0.1  2001    0.0  1961    0.0  1957    0.6  1957    3.3  1983   10.2  1972   15.3  1946    46.5  1991    22.6  1947     0.1  1986    12.2  1962    77.2  1962
   17.2  1977   16.7  1981   14.5  2006    8.2  2012    3.2  1932    0.1  1955    0.0  1937    0.0  1935    0.6  1995    3.1  1952   10.2  1962   15.3  1933    46.4  1959    22.3  1936     0.1  1942    12.1  1933    76.7  1936
   17.1  1980   16.5  2018   13.7  1980    8.1  1962    3.1  1967    0.1  1974    0.0  1968    0.0  1965    0.6  1971    3.1  1932   10.0  1933   15.3  2022    46.1  1987    22.2  1956     0.1  2012    11.8  1955    76.6  1987
   17.0  1933   16.5  1944   13.7  1985    8.1  2016    2.9  2020    0.1  1934    0.0  1939    0.0  1992    0.6  1947    3.0  2010    9.7  1950   14.9  2017    45.6  1985    22.2  1996     0.1  1955    11.7  2012    76.5  2001
   16.9  1955   16.4  1987   12.9  1940    8.1  1973    2.8  1997    0.1  1961    0.0  1955    0.0  1934    0.6  2012    3.0  1974    9.4  1936   14.7  1962    44.6  2018    21.4  1965     0.1  2001    11.6  1947    76.0  1995
   16.7  1986   16.3  1952   12.6  1946    7.9  1950    2.7  1958    0.1  1986    0.0  1993    0.0  1951    0.5  1935    3.0  1936    9.0  2024   14.2  1982    43.8  1996    21.3  1986     0.1  1934    11.5  1932    75.4  1958
   16.5  1995   15.9  1954   12.6  2010    7.3  1994    2.6  2005    0.1  2009    0.0  1996    0.0  2012    0.5  1988    2.8  1937    9.0  1990   14.1  1999    43.2  2009    21.3  1953     0.1  1974    11.4  1941    74.7  2013
   16.4  1951   15.6  1994   12.2  1944    7.2  1934    2.5  1994    0.1  1977    0.0  1949    0.0  2004    0.5  1944    2.8  1987    8.8  1944   13.0  1978    43.2  1994    21.2  1984     0.1  1999    11.4  1944    74.1  1950
   16.3  1966   15.0  2016   12.2  1996    7.1  1958    2.5  1957    0.1  1987    0.0  1995    0.0  1998    0.5  1948    2.8  1988    8.7  2025   13.0  1939    42.9  1960    21.1  2010     0.1  1961    11.4  1974    74.1  1956
   16.1  1936   15.0  2001   12.2  1949    7.1  1984    2.3  1943    0.1  1953    0.0  2015    0.0  1933    0.4  2025    2.8  1998    8.6  2017   12.8  1967    42.4  2021    20.3  2006     0.1  1937    11.3  1950    71.7  1966
   15.9  2001   15.0  1936   11.9  1932    6.9  1977    2.2  1944    0.1  1971    0.0  1998    0.0  2014    0.4  1991    2.6  1966    8.6  1943   12.7  1992    42.3  2001    20.3  1973     0.1  1987    11.2  2008    71.0  1960
   15.8  1946   14.9  1958   11.6  1976    6.9  1975    2.2  2019    0.1  1954    0.0  1973    0.0  1982    0.4  1960    2.5  1964    8.5  1980   12.7  1963    42.3  2013    20.3  1983     0.1  2009    11.2  1977    70.1  1973
