Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland W
Areal series, starting in 1891
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.0  1928   25.6  1910   29.4  1903   24.0  1904   24.9  1925   24.2  1907   26.1  1988   27.2  1985   26.9  1950   29.4  1903   25.7  1992   29.0  2011    76.7  2014    60.5  1920    62.8  1985    72.5  1954   241.6  1903
   28.0  1921   25.6  2000   27.1  1994   20.6  1949   23.8  1986   22.6  1912   24.5  1920   26.6  1903   25.2  1954   26.9  1923   25.7  1986   28.7  1974    70.9  1922    59.3  1913    62.5  1907    71.1  1938   231.5  1923
   28.0  1990   25.5  2014   26.5  1921   20.4  1947   23.0  2011   22.4  2002   22.3  1960   24.7  1895   24.4  1980   26.8  1938   25.6  1938   28.2  1911    70.7  1920    58.9  1986    60.5  1924    68.2  2000   227.0  2011
   27.4  1975   25.4  1990   25.8  1905   20.1  1899   22.7  1924   20.5  1928   22.3  1953   24.5  1943   23.9  1946   26.5  1930   25.4  1951   28.1  1912    70.7  1894    58.2  1947    60.1  1946    68.0  1923   224.7  1900
   27.1  2008   25.1  2020   25.4  1992   19.8  1964   22.5  2003   20.4  1935   22.0  1923   24.4  1907   23.5  1934   26.3  2011   24.9  1939   28.0  1900    70.0  1995    58.0  1904    58.7  2017    68.0  1903   221.8  1904
   26.8  1900   24.8  2022   25.2  1897   19.7  1996   22.4  1906   20.4  1972   22.0  1924   24.3  2009   23.1  1891   25.9  1935   24.4  1913   27.8  2015    70.0  2020    57.7  1967    58.7  1950    67.0  1935   221.3  1920
   25.9  1920   24.6  1918   24.6  1912   19.5  1977   21.3  1967   20.4  1947   21.8  1931   24.0  1891   22.8  1923   25.9  1983   24.3  1931   27.6  1949    69.8  2016    57.0  1925    57.3  1927    66.4  2011   221.0  1954
   25.8  1974   24.3  1997   23.8  1967   19.4  1992   20.6  1920   20.1  1945   21.6  1939   24.0  1992   22.8  1899   25.7  1906   24.1  1979   27.0  1929    69.1  1937    56.7  1903    57.3  1943    65.1  1917   219.9  1928
   25.7  2014   23.9  1945   23.8  1902   19.0  1959   20.1  1947   20.0  1931   21.6  1985   23.9  1930   22.7  1908   25.6  1967   24.0  2015   26.3  1986    67.8  2000    56.5  1992    56.8  1928    63.5  1950   219.6  1938
   25.7  2016   23.9  1914   23.3  1983   18.9  1932   19.9  1976   19.8  1938   21.5  2010   23.4  1950   22.6  1948   25.5  2022   23.9  2002   26.2  1919    67.5  1916    56.2  1905    56.3  1903    63.3  1981   219.5  1906
   25.7  1983   23.5  1894   23.2  1995   18.9  1994   19.5  1963   19.6  1946   21.2  2015   22.9  2024   22.1  1974   25.5  1934   23.9  1959   25.9  1951    67.4  1974    55.5  1902    55.8  2012    63.3  1982   218.9  1943
   25.6  1927   23.4  2002   23.2  1913   18.7  1950   19.3  2015   19.5  1948   21.2  2023   22.8  2008   21.9  2011   25.5  2001   23.9  1929   25.8  1966    65.3  1943    55.4  1963    55.5  1923    63.3  2006   216.0  1905
   25.6  1916   23.2  1937   22.8  1989   18.7  1927   19.3  2022   19.3  1943   20.9  2020   22.8  1924   21.7  1978   25.0  1901   23.4  1970   25.8  1959    65.1  1975    54.1  1921    54.6  2008    62.9  1979   215.7  1990
   25.4  1993   22.7  1989   22.7  1978   18.7  1925   19.0  2009   19.0  2017   20.9  1900   22.6  1929   21.7  1942   25.0  1932   23.3  1954   25.8  1898    64.0  1923    52.9  1983    54.6  2020    62.7  1970   215.1  1967
   25.3  1948   22.6  1995   22.6  1986   18.5  1943   19.0  1916   18.9  1980   20.9  1950   22.3  2019   21.7  1892   24.8  1917   23.3  1953   25.6  1954    64.0  2012    51.9  1897    54.5  1900    62.6  2017   214.8  2017
   25.3  1994   22.5  1939   22.5  1920   18.5  1910   19.0  1908   18.6  2004   20.6  2009   22.3  1962   21.4  1918   24.8  2000   23.1  2009   25.5  2013    63.5  1999    51.9  2009    54.5  2002    62.6  1984   214.5  2020
   25.2  1906   22.1  1925   22.4  1914   18.2  1961   19.0  2002   18.5  1994   20.5  1940   22.1  1923   21.3  1961   24.4  2021   23.0  1982   25.4  1921    63.5  1925    51.6  1994    54.4  2009    62.0  1891   213.8  1916
   25.2  1930   22.1  2011   22.0  1988   18.0  1905   18.8  1981   18.5  2025   20.4  1932   21.9  1989   21.3  2000   24.2  1996   22.6  2022   25.4  1934    63.4  1990    51.6  2006    54.1  1930    61.8  1900   213.4  2014
   24.5  1984   21.8  1903   22.0  1896   17.8  1913   18.4  1907   18.2  1927   20.1  1922   21.9  1917   21.1  2016   24.1  1916   22.5  2006   25.2  2023    63.1  1994    51.5  2014    54.1  1922    61.7  2022   213.4  1994
   24.5  1938   21.6  1922   21.5  2008   17.7  2024   18.3  1913   18.0  1896   20.0  1946   21.8  1905   21.1  1896   24.0  1995   22.4  1944   25.0  1993    62.7  1931    50.9  1934    54.0  1895    60.3  1948   213.0  1992
   24.5  1988   21.6  1923   21.2  2019   17.6  1985   18.3  1904   17.8  1944   20.0  1993   21.4  1906   20.9  1975   24.0  1954   22.3  1974   25.0  1918    62.6  2024    50.7  2002    53.3  1954    59.9  1992   213.0  1934
   24.1  2004   21.2  1931   20.9  1957   17.5  1920   18.2  1921   17.7  1897   19.7  1974   21.4  1941   20.7  1927   23.9  2017   22.2  1960   24.8  1999    62.1  1906    50.5  1908    53.1  1988    59.7  1918   212.5  1924
   23.9  1922   21.1  2024   20.8  1895   17.3  1898   18.2  1892   17.6  2020   19.6  1936   21.4  1910   20.7  1999   23.9  1984   22.1  2012   24.7  1956    62.1  1918    50.1  1979    53.1  1912    59.6  1967   212.3  1950
   23.6  1962   21.0  1935   20.7  1990   17.1  1915   18.1  1945   17.6  1900   19.6  2012   21.4  1897   20.6  1970   23.6  1928   22.1  2000   24.5  1994    61.9  1912    50.0  1907    52.8  2015    59.6  1934   212.3  2008
   23.6  1999   21.0  1992   20.1  1963   17.0  1900   18.1  2007   17.5  1990   19.5  1905   21.2  1988   20.5  1955   23.6  1907   22.1  1940   24.4  1893    61.8  1950    49.7  1914    52.7  1960    59.5  2012   212.2  1907
   23.5  2007   20.5  1908   19.9  1940   16.9  2018   18.0  2006   17.4  1919   19.4  1915   21.2  1927   20.4  2012   23.5  1929   21.9  1916   24.3  1910    61.4  2022    49.5  1995    52.6  1897    59.5  1980   211.9  1948
   23.5  1926   20.5  1998   19.9  1927   16.9  2006   17.6  1902   17.0  1965   19.4  2017   21.2  1904   20.4  1983   23.5  1900   21.9  1991   24.0  1942    61.4  1913    49.3  1927    52.5  2019    59.4  1929   209.9  1974
   23.2  1934   20.1  1905   19.7  2026   16.9  2004   17.5  1964   17.0  2011   19.3  2016   21.1  2018   20.3  1924   23.0  1989   21.6  1949   24.0  1980    61.4  1900    49.2  2024    52.4  1956    59.2  2001   209.8  1918
   23.0  2015   19.7  1915   19.5  2023   16.7  1931   17.4  1931   16.7  1991   19.2  1970   20.7  1982   20.2  1982   22.9  2014   21.4  1981   23.6  1915    61.4  1984    49.1  1899    52.4  1948    59.1  1978   209.8  1927
   23.0  1995   19.7  1926   19.5  2024   16.6  1965   17.4  1926   16.5  1913   19.1  1942   20.7  1951   20.2  1992   22.6  1998   21.4  1998   23.5  2014    61.3  1989    48.7  1966    52.4  1904    58.9  2004   209.4  2002
   22.9  1944   19.7  1898   19.5  1966   16.5  1916   17.4  1972   16.4  1954   19.1  1909   20.6  1892   20.1  1985   22.5  1893   21.4  1946   23.4  1965    61.3  1926    48.6  1906    52.0  1931    58.8  1963   209.2  2015
   22.9  2020   19.6  1949   19.4  1981   16.5  1919   17.4  1966   16.4  1966   18.9  2002   20.5  1946   20.1  2004   22.3  2008   21.3  1935   23.4  1936    61.1  2015    48.0  2015    51.8  1998    58.6  1961   208.9  1999
   22.8  1904   19.5  1974   19.4  1977   16.5  1990   17.3  1894   16.3  2019   18.8  1998   20.4  1918   20.1  2018   22.3  2020   21.3  1903   23.4  1923    61.1  1967    47.8  1977    51.7  2024    58.5  1974   208.3  1998
   22.8  1894   19.2  1893   19.2  1939   16.4  2008   17.3  2014   16.2  2012   18.7  1903   20.4  1942   20.0  2006   22.1  1909   21.0  1994   23.0  2004    60.9  1910    47.8  1990    51.7  1980    58.4  1943   208.3  1988
   22.6  1923   19.1  2026   19.0  2017   16.4  1972   17.2  1934   16.0  1998   18.5  1967   20.4  2017   19.9  1981   22.0  2013   21.0  1969   22.9  1924    60.6  2008    47.4  1972    51.6  1929    58.3  1928   208.2  2009
   22.5  1937   19.1  1943   19.0  1908   16.4  1894   16.9  1983   15.9  1959   18.5  1895   20.3  1956   19.8  1917   22.0  1981   20.9  2003   22.3  1901    60.6  1949    47.4  1894    51.5  1896    58.2  1944   207.7  2004
   22.2  1943   18.8  1999   18.9  2014   16.2  1901   16.7  1973   15.7  1924   18.3  1954   20.3  1921   19.8  1935   22.0  1963   20.9  1914   22.3  1916    60.5  1903    47.3  1999    51.3  1920    57.8  2020   207.2  2000
   22.2  1924   18.6  1920   18.9  1997   16.2  1975   16.4  1979   15.6  1981   18.0  1956   20.1  1961   19.5  1987   21.9  1942   20.8  2025   22.1  1973    60.5  1899    47.1  1949    51.1  1938    57.5  1916   207.1  1931
   22.1  1969   18.5  1958   18.7  1938   16.1  1909   16.3  1999   15.4  2007   17.9  1927   20.1  2012   19.4  2019   21.8  1961   20.8  2001   22.1  1984    60.4  1935    47.1  1943    51.1  1958    57.5  1932   206.5  1908
   22.0  1951   18.4  1950   18.6  2009   16.1  1999   16.1  1938   15.2  1952   17.9  1906   19.9  1990   19.3  1984   21.7  1948   20.7  1900   22.1  2019    60.3  1998    46.8  1916    51.0  1918    57.0  1892   205.7  2012
   22.0  1981   18.3  1906   18.4  1987   16.0  1934   16.1  2005   15.2  1999   17.9  1902   19.8  1957   19.2  1962   21.6  1949   20.5  1978   22.1  1906    60.0  1957    46.4  1926    49.8  1974    57.0  1930   205.6  1921
   21.8  1899   18.3  1928   18.1  1982   15.9  1948   16.0  1903   15.2  2008   17.9  1918   19.7  1934   19.0  2017   21.5  1918   20.5  1906   22.0  2020    59.8  2007    46.4  2011    49.6  2023    57.0  1977   204.5  1912
   21.8  2018   18.3  1911   18.0  1907   15.8  1963   15.8  1958   15.1  1892   17.7  1896   19.7  1928   18.8  1938   21.3  1943   20.5  2020   22.0  1985    58.7  1939    46.2  1940    49.6  1905    56.8  1899   204.0  1949
   21.8  2023   18.3  1961   18.0  1979   15.8  1993   15.8  1969   15.1  1963   17.7  1947   19.6  1901   18.8  1943   21.0  1950   20.5  1917   22.0  1908    58.5  1958    46.1  1976    49.4  1990    56.6  2021   203.6  1898
   21.6  1949   18.2  1916   17.8  1980   15.7  1940   15.7  1965   15.1  1894   17.6  1938   19.1  1898   18.5  1925   20.8  2006   20.3  1928   21.7  1955    58.4  1945    46.0  1964    49.4  1953    56.6  2025   203.6  1926
   21.6  1976   17.8  1967   17.7  1934   15.6  1979   15.3  1995   15.0  1922   17.5  1958   19.0  2014   18.5  1947   20.8  1990   20.0  1963   21.6  1983    58.4  1898    45.9  1989    49.4  1963    56.4  2018   201.5  1979
   21.4  1892   17.8  1951   17.6  1947   15.5  2005   15.2  2013   15.0  1997   17.4  1904   19.0  1922   18.4  1979   20.5  1891   19.9  1904   21.4  1982    58.2  1908    45.8  1910    49.3  2004    56.3  1906   200.6  1951
   21.2  1931   17.7  2017   17.4  2015   15.5  2013   15.1  1923   15.0  1987   17.3  1981   18.9  1960   18.2  1932   20.3  1979   19.8  1894   21.3  1891    58.1  1981    45.4  1965    49.1  1910    56.3  2008   200.5  1910
   20.9  1932   17.6  1960   17.2  1968   15.4  1998   15.1  1955   14.9  1958   17.2  1930   18.9  1963   18.1  1953   20.3  1987   19.8  1972   21.1  1998    58.1  1904    45.3  1898    48.9  1906    55.9  1927   200.3  2024
   20.8  2002   17.4  1973   17.1  1928   15.3  1896   14.9  1956   14.9  2022   16.8  1992   18.8  2000   18.1  1964   20.2  1976   19.7  1926   21.1  1896    58.0  1915    45.2  2005    48.6  2016    55.8  1987   200.2  1902
   20.8  1903   17.4  1988   16.7  2006   15.3  2014   14.8  1943   14.7  1929   16.8  1937   18.8  1958   18.1  1919   20.2  1982   19.7  2017   21.0  2024    57.9  1914    44.9  1932    48.6  1944    55.7  1901   199.7  1986
   20.7  1957   17.4  1904   16.6  2002   15.2  1911   14.7  1910   14.6  1901   16.7  2007   18.7  1893   17.9  1988   20.1  1986   19.7  1905   21.0  1997    57.8  1905    44.9  1957    48.5  1894    55.6  1953   199.6  1935
   20.5  1918   17.1  1946   16.5  1993   15.2  1924   14.6  2021   14.6  2003   16.7  1928   18.6  1954   17.9  1893   20.1  2004   19.6  1977   21.0  1914    57.8  1911    44.9  1993    48.3  1942    55.6  2009   198.8  2022
   20.4  1919   17.0  1996   16.5  1959   15.1  2002   14.5  1933   14.4  2015   16.6  2008   18.5  1948   17.9  1897   20.0  1977   19.6  1899   20.9  1952    57.5  1901    44.8  1959    48.3  2007    55.4  1983   198.8  1982
   20.4  1936   16.8  1977   16.5  1998   15.0  1970   14.4  1974   14.4  1950   16.6  1933   18.5  2011   17.7  1900   19.8  1968   19.3  1984   20.8  2012    57.4  1988    44.5  1912    48.2  1936    55.3  1940   198.7  1944
   20.2  1942   16.8  1966   16.4  1930   14.9  2012   14.4  1929   14.3  2024   16.4  2003   17.8  1933   17.6  1957   19.7  1921   19.3  1996   20.7  2006    57.4  1960    44.2  1981    48.0  1952    55.0  1998   198.2  1897
   20.2  1909   16.7  1897   16.1  1933   14.7  1937   14.3  1900   14.3  1898   16.2  1934   17.8  1894   17.6  1926   19.6  1957   19.1  2007   20.4  1928    57.3  1927    43.7  1970    48.0  1935    54.6  1893   197.8  1894
   20.2  1978   16.4  1954   16.0  1942   14.7  2001   14.2  1949   14.1  1956   16.2  1951   17.8  1974   17.6  1967   19.4  2005   19.1  2018   20.4  1957    57.3  1924    43.7  1909    47.7  1992    53.9  1986   197.5  1946
   20.2  1913   16.3  2016   16.0  1991   14.6  1935   14.2  1922   14.1  1985   15.9  1921   17.7  1912   17.5  2025   19.1  1944   18.9  1936   20.3  1960    57.2  1952    43.6  1988    47.6  1891    53.9  1926   197.5  2023
   19.9  1956   16.2  1982   16.0  1936   14.6  1953   14.0  1970   13.9  2005   15.8  1979   17.5  1925   17.5  1956   19.1  1988   18.7  1997   20.3  1944    57.1  2002    43.5  2008    47.6  1951    53.7  2005   197.4  1925
   19.9  1986   16.1  1972   15.9  1951   14.5  1923   14.0  1898   13.9  1976   15.8  1893   17.5  1953   17.5  1920   19.0  1912   18.7  1971   20.3  1907    56.3  1946    43.4  1933    47.5  2011    53.7  1999   196.2  1930
   19.8  2009   16.0  1980   15.8  1899   14.5  2016   13.7  1968   13.8  1961   15.7  1941   17.5  1926   17.4  1968   18.8  1970   18.7  2004   20.3  1930    56.3  1892    43.4  1945    47.2  1934    53.5  1949   195.4  1922
   19.7  1946   16.0  2008   15.8  1904   14.5  1991   13.6  1971   13.8  1904   15.7  1894   17.2  1980   17.4  1937   18.7  1958   18.6  1947   20.2  1958    56.1  1921    43.1  1924    47.1  2025    53.1  2013   194.7  1914
   19.7  1958   15.8  1900   15.8  2020   14.5  1895   13.6  1914   13.7  1969   15.6  1910   17.2  1952   17.4  1977   18.6  2009   18.4  1923   20.1  2021    55.4  2018    42.9  2003    47.1  1902    52.7  1994   194.4  1913
   19.5  1898   15.8  1933   15.5  1926   14.4  1960   13.5  1942   13.7  2016   15.6  1908   17.2  1936   17.3  1903   18.3  2025   18.4  1891   20.0  1938    55.4  2005    42.4  1950    47.0  1961    52.6  1904   194.4  1961
   19.4  1902   15.7  2012   15.4  1976   14.4  1951   13.4  1897   13.6  1937   15.6  1980   17.1  2015   17.3  2005   18.2  1980   18.4  1943   20.0  1932    55.2  2026    42.3  1931    46.6  1892    52.4  1905   194.0  2019
   19.3  2012   15.7  1971   15.1  1917   14.3  2009   13.4  1944   13.6  1916   15.6  1952   17.1  1998   17.1  1965   18.2  1952   18.3  1930   19.9  1931    54.8  1930    42.1  1968    46.5  1994    52.3  1908   193.9  1891
   19.3  2005   15.6  2007   15.1  2007   14.3  1944   13.4  1909   13.6  2001   15.5  1986   17.0  2004   16.9  2008   17.8  1904   18.3  2011   19.9  1922    54.6  2021    41.9  1917    46.3  1909    52.2  1995   193.7  1981
