Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland W
Areal series, starting in 1836
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  342.5  1928  330.8  1990  277.3  1994  210.8  1947  227.7  2011  209.6  1872  226.6  1988  294.6  1985  320.3  1950  308.8  1995  338.6  2009  380.3  2015   906.7  2014   528.6  1986   588.5  1985   789.0  1954  2280.2  2011
  322.9  1993  330.2  2020  265.4  1903  199.9  1867  224.4  1986  187.3  1938  217.8  1985  294.4  2024  274.5  1981  308.5  1983  328.4  2015  357.5  1852   858.5  2016   491.0  1992   538.4  2009   765.8  2011  2203.9  2015
  319.8  1975  301.0  1997  255.6  1992  183.5  1949  200.9  1925  182.9  2002  214.7  1846  293.1  2009  268.7  1985  301.4  1903  314.6  2006  348.8  1929   801.8  2020   470.8  2015   512.8  1846   752.3  1981  2139.9  1990
  317.0  1974  290.4  2002  240.3  1990  180.2  1972  176.4  2015  177.0  2012  212.0  1836  267.8  1992  247.4  1980  299.9  1938  299.2  1877  342.8  1986   796.0  1995   469.3  1963   509.5  2012   741.5  1938  2132.5  2020
  310.2  2008  289.4  2014  232.9  1921  178.0  1991  172.8  1920  175.9  1931  191.4  2023  257.4  1861  239.7  1978  299.2  1935  294.7  1938  341.3  2013   786.1  2000   463.1  1994   499.5  2020   708.7  1982  2072.2  1877
  301.8  1990  281.9  1894  224.3  1989  170.8  1925  161.5  1976  173.3  2017  189.7  2010  245.6  2019  238.2  2011  299.2  1967  290.7  1986  335.3  1999   743.5  1990   451.0  1947   497.0  2019   698.2  2006  2041.5  1954
  294.7  1866  277.6  2022  217.8  2019  170.4  2024  157.1  2003  170.6  1856  188.9  1882  239.0  1989  237.4  1885  293.9  2011  282.0  1890  329.5  2011   718.7  2015   450.9  1868   496.1  2017   687.9  2000  2026.7  2014
  292.8  1962  261.1  1848  216.9  1978  168.6  1904  154.2  1906  161.4  1912  188.7  1953  237.0  1962  230.7  1869  293.7  2008  270.7  1982  309.0  2006   710.0  2007   443.7  1993   494.9  1998   681.1  1984  2018.3  1872
  291.6  2015  254.5  1868  216.7  1963  164.1  1993  153.9  1892  160.7  1928  183.1  1873  226.2  1923  227.3  1954  291.8  1954  269.8  1954  305.5  1994   701.5  1894   442.9  1925   482.1  1872   680.6  1935  2002.4  1992
  287.9  1852  239.6  1989  216.6  1868  149.4  1994  149.9  1967  160.5  1838  183.1  2020  225.6  1910  226.4  1982  290.4  1998  267.2  1931  304.5  1993   688.1  1877   441.2  1913   479.9  1948   662.3  1977  2001.7  1928
  287.2  1877  236.3  1995  212.8  1986  148.5  1992  148.5  2002  156.5  1980  179.8  1998  223.3  1903  224.7  1923  288.8  2000  266.6  1979  301.8  1912   681.9  1920   428.9  1920   477.9  1861   653.6  1917  2001.1  1938
  279.3  1921  235.3  1850  206.6  2015  144.0  1960  145.6  1963  154.8  1897  178.1  2015  220.8  2004  222.4  1872  288.0  1943  262.4  1939  299.1  2023   681.2  2012   427.9  2011   477.9  1877   651.6  2022  1999.5  1999
