Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland W
Areal series, starting in 1910
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   69.0  1959  103.7  1963  159.8  2022  229.2  2021  291.6  2025  271.9  1957  266.8  1955  256.3  1947  155.3  1991  110.6  1939   73.9  1990   55.5  2001   204.9  1963   641.7  2025   651.7  1995   285.8  1915  1550.3  1955
   63.2  1963  102.1  1970  154.2  1929  223.2  2025  263.7  1975  258.6  1940  255.1  1989  240.4  1976  146.4  1996  109.9  2003   73.5  1965   54.8  2010   170.2  2018   545.7  2020   603.8  1955   282.4  1952  1435.8  1975
   62.0  1965   94.4  2004  153.7  2003  211.2  2020  258.6  2000  251.4  1925  219.0  2013  232.5  1995  145.6  1933  104.5  1922   73.2  1925   50.1  1995   169.6  2003   531.0  1955   598.8  1977   282.2  1972  1430.8  1995
   54.9  2021   92.3  1960  132.8  1955  206.3  2015  255.0  1946  250.4  1949  214.2  1984  194.3  1911  143.0  1986   99.8  1997   72.5  1947   48.1  1967   166.7  1965   519.7  1980   588.0  1976   281.6  2010  1426.6  2025
   54.7  2025   91.7  2018  128.9  1911  204.1  1974  254.7  1980  245.9  1995  209.4  1990  186.2  2003  142.1  1987   98.1  1972   72.4  1952   45.7  1935   166.0  2001   516.2  1975   586.1  1911   279.9  1996  1414.0  2003
   54.2  2000   89.7  1955  127.6  1956  197.3  1962  249.4  1935  238.2  2023  205.3  2006  184.5  1955  139.3  1928   97.4  2019   70.4  1915   44.8  1976   162.8  2004   505.0  1929   564.5  1989   273.3  2003  1412.7  1911
   53.7  2010   88.1  2003  126.9  2025  197.3  1942  237.2  1948  237.4  1975  202.7  1917  182.1  1977  139.0  2015   96.2  1998   70.3  1989   43.4  1938   158.9  1968   499.9  1946   560.9  1975   272.5  1987  1399.9  1977
   53.6  1945   85.6  1996  125.9  2001  191.2  1981  237.0  2020  235.7  1939  200.3  2014  177.8  1984  136.5  1959   96.1  1959   69.7  1996   42.3  1996   158.7  1978   499.8  1956   543.8  1949   272.1  1959  1383.5  2010
   53.4  2024   85.1  1932  125.0  1922  187.5  2011  231.3  1955  232.8  2018  200.1  2011  176.5  2022  135.8  1915   95.3  1993   67.5  1988   42.3  1970   157.6  1970   498.4  2007   543.5  1984   271.0  1986  1379.9  1989
   51.0  2001   83.2  2013  124.4  1970  187.2  2007  230.9  2017  232.2  1960  199.9  1977  175.9  1983  135.1  1972   93.0  2008   67.2  2016   41.8  1965   156.4  1996   490.9  1942   538.9  2018   270.3  1991  1373.5  2018
   49.7  1985   81.0  1968  123.8  1975  185.1  1956  229.2  1984  222.2  1921  198.8  1934  171.6  1968  134.8  1960   92.9  2016   65.1  2010   41.8  1989   156.0  2010   486.7  1915   529.0  1925   269.1  1971  1368.1  1915
