Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Scotland W
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    8.3  1989    8.9  1998   11.1  2012   14.0  2011   16.8  2024   20.5  2023   20.8  2006   21.6  1947   17.2  2023   14.2  1959   10.9  2011    9.1  2015    8.05  1989   13.55  2025   19.21  1995   13.33  2006   12.67  2025
    8.3  1916    8.8  2019   10.4  1948   13.7  2007   16.7  2025   19.7  1940   20.6  1955   21.0  1995   17.0  1933   14.2  1908   10.4  1994    8.9  2016    7.63  2007   12.22  2024   18.81  1976   13.27  1959   12.57  2023
    8.2  1932    8.3  2023   10.3  2022   13.6  2025   16.4  2008   19.0  2018   20.4  2021   20.0  1976   16.9  1949   13.9  1969   10.2  2022    8.8  1988    7.56  2017   12.20  1893   18.73  1955   13.15  2022   12.55  2022
    8.0  2007    8.0  2008   10.3  2025   13.1  2003   16.3  1959   18.7  1970   20.4  2013   19.8  1955   16.9  2006   13.7  2006    9.9  1899    8.4  1971    7.55  1932   12.16  2017   18.66  2021   13.10  2014   12.32  2014
    7.7  1898    7.8  2024   10.2  1929   12.9  1893   16.1  1919   18.4  1887   19.9  1989   19.7  1997   16.9  1959   13.6  1921    9.8  2003    8.4  1921    7.50  1998   12.16  2007   18.59  2006   13.01  2021   12.30  2003
    7.7  2005    7.7  1945   10.2  2003   12.7  2020   16.1  2017   18.3  1933   19.9  1983   19.6  1975   16.9  1958   13.6  2001    9.8  2020    8.3  1898    7.34  2019   12.11  2003   18.56  2023   12.92  2011   12.25  2006
    7.6  2002    7.7  1891    9.9  1945   12.4  1974   16.0  2018   18.3  1960   19.8  1934   19.4  1899   16.9  2014   13.5  1995    9.7  2014    8.3  1924    7.32  2008   12.11  2022   18.43  2018   12.82  1945   12.24  2007
    7.6  2020    7.7  1943    9.8  1938   12.3  2019   16.0  1896   18.1  2010   19.7  2018   19.3  2003   16.8  2021   13.1  2007    9.6  2015    8.3  2013    7.29  2005   11.96  1948   18.42  2003   12.66  1995   12.08  1949
    7.5  1921    7.6  1903    9.8  1957   12.2  2014   15.9  2001   18.1  1992   19.7  1901   19.2  1984   16.7  1895   13.1  1945    9.5  2021    8.2  1974    7.26  1975   11.94  2020   18.32  1947   12.63  2001   12.07  1959
    7.5  2022    7.6  1961    9.6  2017   12.2  2009   15.8  1901   17.9  1893   19.5  2014   19.2  1983   16.5  1906   12.9  2022    9.5  2001    8.1  1953    7.26  2022   11.90  1959   18.31  1933   12.62  1908   12.06  2024
    7.5  1923    7.6  1914    9.5  2026   12.2  1914   15.7  1911   17.8  2009   19.4  1976   19.0  1911   16.5  1941   12.9  2005    9.5  1997    8.1  2024    7.15  2020   11.88  2011   18.23  2025   12.61  1949   12.05  1997
    7.5  1944    7.5  2022    9.4  1961   11.9  1955   15.7  1992   17.7  1949   19.2  1995   18.9  2025   16.3  2022   12.9  2017    9.5  1953    8.1  1942    7.13  1949   11.81  2012   18.20  1975   12.56  2015   12.03  2020
    7.3  1990    7.4  2002    9.3  1933   11.9  1942   15.6  1960   17.7  1899   19.0  2025   18.9  2022   16.2  1999   12.9  1977    9.4  2007    8.0  1934    7.11  2016   11.74  2023   18.17  1983   12.50  2023   11.99  2021
    7.3  1974    7.3  1949    9.2  1997   11.8  2022   15.5  2023   17.7  1905   18.9  1921   18.7  2004   16.2  2016   12.8  2015    9.4  1938    7.9  2004    7.09  2014   11.71  2014   18.14  2013   12.45  1999   11.98  2004
    7.2  1975    7.3  1997    9.2  2005   11.8  1912   15.4  1980   17.7  1957   18.9  1984   18.4  1916   16.1  1945   12.8  2014    9.4  2006    7.8  1900    7.08  1943   11.64  1945   18.13  1911   12.45  1958   11.95  2005
    7.2  1983    7.3  1934    9.1  1950   11.7  1894   15.3  1895   17.7  1932   18.9  1933   18.3  1959   16.1  2002   12.7  2013    9.4  1978    7.7  2025    7.07  2002   11.62  1960   18.06  1899   12.40  2007   11.92  2011
