Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Scotland W
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.1  1989    6.7  1998    7.4  2012    9.6  2011   12.8  2024   15.2  2023   15.9  2006   16.1  1947   13.6  2006   11.2  2001    8.3  1994    6.5  1988    5.66  1989    8.80  2025   14.47  1995   10.31  2006    9.17  2025
    5.9  1898    5.7  2023    7.1  1938    9.3  2007   11.7  2008   14.1  1940   15.8  2013   15.9  1995   13.4  2021   11.2  1969    8.2  2011    6.3  2015    5.03  1998    8.66  2024   14.44  2023   10.19  2011    9.12  2022
    5.8  1916    5.6  2019    7.0  1957    8.8  2025   11.2  2017   13.9  1970   15.8  2021   15.6  1997   13.4  2023   11.0  1908    7.9  1899    6.2  1924    5.03  2007    8.25  2014   14.43  2025   10.19  2022    9.10  2023
    5.3  2007    5.3  2024    6.8  1945    8.6  2014   11.2  1919   13.9  2018   15.4  1983   15.4  1975   13.2  1949   10.8  1959    7.7  2022    6.2  2016    4.97  2017    8.23  2017   14.37  2003   10.04  2021    9.02  2014
    5.3  1932    5.2  1903    6.7  1961    8.5  2003   11.2  2018   13.6  1992   15.3  1901   15.1  1955   13.2  1958   10.7  1995    7.2  2020    6.2  1971    4.80  2014    8.12  2007   14.36  2021    9.88  2014    8.83  2007
    5.2  2020    5.2  1918    6.6  1948    8.2  2009   11.1  1959   13.6  1960   15.3  2018   15.1  2004   13.2  2016   10.6  2006    7.2  1997    6.2  1934    4.77  2022    8.07  2022   14.25  2006    9.77  2001    8.81  2024
    5.2  2022    5.1  1945    6.5  2025    8.0  2019   11.1  2025   13.5  2010   15.2  1976   15.1  2025   13.0  1941   10.6  1921    7.2  1953    6.1  1898    4.76  1932    8.04  2011   14.23  1976    9.73  1959    8.80  2006
    5.1  1923    5.1  1961    6.3  1990    8.0  1893   11.1  1992   13.4  1933   15.1  1934   14.8  1899   13.0  1999   10.4  2022    7.1  1938    6.0  1900    4.71  2020    7.99  2003   14.17  2018    9.59  1949    8.69  2004
    4.9  1990    5.1  1943    6.2  1997    8.0  2020   11.1  2023   13.4  2020   15.1  1991   14.8  2003   13.0  1895   10.4  2005    7.1  2015    5.8  1974    4.69  1975    7.96  1959   14.17  1933    9.58  1978    8.65  2003
    4.9  1921    5.0  1993    6.1  2017    7.9  1944   10.9  1896   13.3  1887   15.1  2025   14.7  1983   12.9  2014   10.3  1978    7.1  2003    5.8  2013    4.63  1925    7.96  1893   14.06  2019    9.58  1945    8.64  1997
    4.9  1944    4.8  2022    6.0  2005    7.8  1943   10.8  2022   13.3  2014   15.1  2019   14.6  1911   12.6  1890   10.2  1977    7.0  2014    5.7  2024    4.58  1935    7.84  1945   14.03  1947    9.53  1995    8.64  1949
    4.9  2002    4.8  1914    6.0  2000    7.8  2004   10.8  1960   13.3  2016   15.1  1955   14.6  2019   12.6  2005   10.2  1968    6.8  1894    5.6  1921    4.58  2019    7.79  2009   14.00  2022    9.52  1908    8.63  2020
    4.9  2005    4.7  2008    5.9  2022    7.8  1894   10.8  2001   13.2  2003   15.1  2003   14.6  1984   12.5  1933   10.1  2017    6.8  1897    5.5  1905    4.53  1943    7.78  1960   13.98  2013    9.44  1999    8.62  2005
    4.8  1983    4.7  1990    5.9  2003    7.8  1914   10.8  1889   13.2  1899   15.0  1989   14.6  2022   12.5  1898   10.1  2013    6.8  1978    5.5  1953    4.53  1949    7.76  1961   13.95  1899    9.41  1958    8.60  2011
    4.7  1974    4.7  2017    5.9  1998    7.7  1960   10.8  1911   13.1  1893   15.0  1933   14.5  1976   12.5  2022   10.1  2011    6.7  1920    5.4  1931    4.49  2005    7.76  2004   13.91  1955    9.37  1953    8.59  2017
    4.6  1975    4.6  2012    5.8  1950    7.7  1952   10.7  1893   13.1  2025   15.0  1995   14.5  2002   12.5  1998   10.0  2021    6.7  2004    5.3  1942    4.45  2016    7.76  1952   13.91  1997    9.35  2005    8.58  2019
    4.5  1925    4.6  1934    5.8  2014    7.7  1955   10.6  1952   13.1  2006   14.9  2014   14.4  1959   12.5  1945    9.9  2007    6.7  2002    5.3  1956    4.44  1923    7.75  1999   13.90  1983    9.32  2023    8.51  2002
    4.4  1884    4.6  1896    5.8  2024    7.6  1926   10.6  1964   13.1  2009   14.6  2022   14.3  2023   12.4  2000    9.8  1949    6.7  2007    5.3  2025    4.40  2024    7.73  2023   13.86  1975    9.31  2009    8.50  1959
    4.4  1976    4.6  1949    5.8  2019    7.6  1987   10.6  1940   13.0  2021   14.5  1921   14.3  1991   12.3  2011    9.7  1945    6.7  2018    5.2  2006    4.39  2008    7.71  1997   13.73  2009    9.30  2007    8.49  2021
    4.4  2008    4.6  1891    5.7  2021    7.5  1999   10.5  2016   13.0  1988   14.5  1926   14.2  2021   12.3  2004    9.7  2014    6.7  2021    5.1  1954    4.37  2025    7.68  1990   13.68  2014    9.20  1938    8.46  2016
    4.3  1949    4.6  2002    5.7  2026    7.5  1946   10.5  1953   13.0  1976   14.4  2008   14.2  1893   12.3  1959    9.7  2024    6.7  2006    5.0  1983    4.36  1976    7.66  1948   13.66  2004    9.17  1951    8.43  1999
    4.3  1934    4.6  1939    5.7  1959    7.5  1997   10.5  1999   13.0  2005   14.4  1925   14.2  2020   12.2  1955    9.6  1996    6.7  2001    5.0  2018    4.30  2026    7.65  1992   13.65  1984    9.13  2025    8.41  1953
    4.3  1906    4.6  2007    5.7  1991    7.5  2022   10.4  1998   13.0  1905   14.3  1999   14.1  1969   12.2  1961    9.6  2009    6.7  1948    4.9  2004    4.30  1898    7.64  2012   13.63  1911    9.12  2015    8.41  1945
    4.3  1890    4.5  1926    5.6  2002    7.5  1949   10.4  1990   12.9  2007   14.3  2009   14.1  2012   12.2  1971    9.5  1989    6.7  1951    4.9  1975    4.26  2012    7.64  2020   13.61  1893    9.06  2020    8.38  2018
    4.2  2014    4.5  1920    5.6  1933    7.4  1961   10.4  2004   12.9  1950   14.3  1905   14.1  1916   12.2  2009    9.5  1971    6.6  1955    4.9  2019    4.14  2002    7.63  2002   13.57  1949    9.05  2004    8.37  1921
    4.2  1905    4.5  2026    5.6  2007    7.4  1945   10.4  2014   12.9  1889   14.3  1997   14.1  1944   12.2  2002    9.5  2025    6.5  1945    4.8  1910    4.10  1972    7.62  1957   13.55  2016    9.00  1997    8.36  1998
    4.2  1996    4.5  1997    5.6  1943    7.4  2024   10.4  1918   12.9  1953   14.2  1984   14.1  1939   12.1  1936    9.4  1947    6.5  1906    4.7  1998    4.08  1974    7.62  2019   13.49  2005    8.98  2024    8.36  2009
    4.1  2000    4.4  1992    5.4  1935    7.3  2002   10.3  1947   12.8  1896   14.2  1982   14.1  1933   12.1  1929    9.4  1990    6.5  1917    4.7  2023    4.06  1999    7.55  1933   13.49  1925    8.98  1906    8.36  1990
    4.1  2004    4.4  2014    5.4  1992    7.3  1993   10.3  1978   12.8  2022   14.2  1927   14.0  1996   12.1  1980    9.4  1979    6.4  1939    4.7  1941    4.06  1992    7.52  2008   13.48  1934    8.97  1994    8.29  2000
    4.1  2023    4.4  2000    5.3  2009    7.3  1912   10.3  1901   12.7  2017   14.2  1911   14.0  2008   12.1  1901    9.3  1898    6.4  1995    4.7  1997    4.05  1957    7.48  1896   13.46  1959    8.97  1920    8.28  2008
    4.0  1993    4.4  1928    5.3  1966    7.3  2023   10.3  1970   12.7  1925   14.1  1977   14.0  2013   12.1  2010    9.3  2023    6.4  1913    4.7  1918    4.02  2023    7.48  1943   13.46  2020    8.95  1971    8.22  1995
    4.0  2012    4.3  2011    5.3  1923    7.3  1933   10.2  1895   12.7  1949   14.1  1975   13.9  1990   12.0  1996    9.2  1958    6.4  1931    4.7  1932    3.98  1921    7.40  1938   13.42  2008    8.95  1941    8.21  1898
    4.0  2017    4.3  2025    5.3  1927    7.3  1980   10.1  2020   12.7  1900   14.1  1949   13.9  1949   12.0  1953    9.2  1962    6.3  1908    4.7  1893    3.98  1906    7.39  1998   13.42  2010    8.94  1898    8.19  1971
    4.0  1926    4.3  1989    5.2  1936    7.3  2017   10.1  1908   12.7  1963   14.1  1923   13.9  1917   12.0  2019    9.2  1920    6.3  1924    4.7  1911    3.97  1993    7.36  2000   13.30  1982    8.87  1968    8.19  1933
    4.0  2016    4.2  1946    5.2  1893    7.2  1937   10.1  2000   12.6  1966   14.1  1945   13.9  2016   11.9  1956    9.2  1943    6.3  1902    4.7  1994    3.95  1911    7.36  2005   13.28  1926    8.85  2017    8.18  1934
    4.0  1937    4.2  1908    5.2  1999    7.2  1896   10.0  1937   12.6  1906   14.0  1994   13.9  1945   11.9  1939    9.2  1985    6.2  2025    4.6  1972    3.92  1899    7.23  1991   13.25  1945    8.85  1921    8.18  1938
    3.9  1938    4.1  1971    5.1  1929    7.2  2010    9.9  1980   12.6  2004   14.0  1944   13.8  2009   11.9  1981    9.2  1999    6.2  1986    4.6  1948    3.91  1990    7.21  1912   13.23  1989    8.84  1913    8.15  1989
    3.9  1928    4.1  1974    5.1  1912    7.2  2005    9.9  1989   12.6  1934   14.0  2005   13.8  2000   11.9  1906    9.2  2015    6.1  2009    4.6  1977    3.89  2004    7.15  2016   13.20  1960    8.81  2013    8.14  1943
    3.9  1957    4.1  1967    5.1  2004    7.2  1942    9.9  2002   12.5  1932   13.9  1900   13.8  1937   11.9  2003    9.1  1951    6.1  1983    4.6  1922    3.85  1905    7.13  1981   13.20  1991    8.81  1947    8.12  1948
    3.8  1950    4.0  1982    5.1  1981    7.1  1982    9.9  1890   12.5  1995   13.9  1887   13.8  1906   11.8  1966    9.1  2016    6.1  1999    4.6  1984    3.82  1934    7.11  1993   13.19  1935    8.76  1899    8.10  1957
    3.8  1998    4.0  1921    5.1  2016    7.1  2018    9.9  1981   12.5  1982   13.9  1917   13.8  1970   11.8  1938    9.1  1954    6.1  1981    4.4  1980    3.81  1944    7.11  1946   13.19  1932    8.74  2003    8.09  1975
    3.8  1964    4.0  2020    5.0  1956    7.1  1948    9.8  2009   12.4  1936   13.8  1990   13.7  2006   11.8  1934    9.0  1972    6.1  1959    4.4  1991    3.80  1971    7.09  2018   13.18  1969    8.73  1948    8.08  1893
    3.8  1896    3.9  1905    5.0  1977    7.1  1957    9.8  2011   12.4  2019   13.8  1899   13.7  1897   11.7  1946    9.0  1963    6.1  1946    4.4  1985    3.79  1922    7.02  1964   13.17  2002    8.72  2002    8.07  2015
    3.7  1935    3.9  1897    5.0  1907    7.0  1964    9.8  1988   12.4  1891   13.8  2010   13.7  1935   11.7  1951    9.0  1965    6.0  1984    4.4  1888    3.77  2006    7.02  1944   13.17  1905    8.70  2018    8.06  1988
    3.7  1999    3.8  1935    5.0  1894    7.0  1959    9.7  1939   12.3  1895   13.8  2023   13.7  1936   11.7  1947    8.9  1953    6.0  1928    4.4  1912    3.75  1973    7.00  1939   13.16  1917    8.70  1955    8.06  1983
    3.7  1904    3.8  1995    5.0  1952    7.0  1898    9.7  1933   12.3  1968   13.8  1941   13.7  1884   11.7  1917    8.9  1886    6.0  1916    4.4  1959    3.74  1937    6.93  1949   13.16  1944    8.70  2016    8.06  2013
    3.7  1911    3.8  1953    5.0  1983    7.0  1974    9.7  2012   12.3  1910   13.7  1947   13.6  1918   11.7  1978    8.9  1961    5.9  2024    4.3  2021    3.72  2000    6.92  1940   13.16  1887    8.68  2000    8.02  2012
    3.6  2006    3.8  1938    4.9  1905    7.0  1984    9.7  1936   12.3  1941   13.7  1935   13.6  1926   11.7  1884    8.9  1960    5.9  1889    4.3  1951    3.71  1995    6.92  1950   13.16  1970    8.64  1969    8.02  1976
    3.6  1971    3.8  1976    4.9  1910    6.8  1976    9.7  1954   12.3  1930   13.7  1959   13.6  1914   11.7  1969    8.8  1975    5.8  1964    4.3  1894    3.71  1903    6.89  1926   13.14  2017    8.59  1961    7.95  2001
    3.6  1973    3.7  1980    4.9  1926    6.8  1995    9.6  1956   12.3  1993   13.7  1971   13.6  2024   11.6  1991    8.8  1910    5.8  1958    4.2  1987    3.71  1927    6.88  1935   13.14  2007    8.57  1890    7.94  1984
    3.6  1969    3.7  1999    4.9  1993    6.7  1921    9.6  2006   12.3  1959   13.6  2001   13.5  1927   11.6  2025    8.8  1913    5.8  1888    4.2  1936    3.70  1901    6.86  1953   13.13  1950    8.57  1970    7.94  1911
    3.6  1927    3.7  2004    4.9  1973    6.7  1930    9.6  1950   12.3  1939   13.6  1897   13.5  1932   11.6  2013    8.8  1986    5.7  1949    4.2  1949    3.70  1988    6.85  1982   13.11  1914    8.55  1946    7.91  1960
    3.6  1981    3.6  1959    4.8  2011    6.7  1972    9.6  2003   12.3  1920   13.6  1958   13.5  2005   11.6  1926    8.7  1941    5.6  1957    4.2  1945    3.70  1914    6.84  2010   13.10  1940    8.55  1989    7.90  1939
    3.5  1953    3.6  2006    4.8  1960    6.7  1996    9.6  1991   12.2  1957   13.6  1894   13.5  1999   11.6  1921    8.7  1957    5.6  1982    4.2  2011    3.67  1967    6.82  1988   13.09  1936    8.55  1956    7.89  1926
