Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Scotland W
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    4.1  1898    4.6  1998    4.6  1938    5.2  2011    9.0  2024   10.1  2023   11.6  2019   11.6  2004   10.3  2006    8.9  2001    6.2  1994    4.5  1934    3.32  1989    5.16  2024   10.79  2025    7.52  2011    5.80  2014
    3.8  1989    3.1  1918    4.4  1957    5.1  2014    7.6  2022    9.6  2017   11.6  2003   11.6  1997   10.1  2016    8.5  1969    6.0  1899    4.3  1988    2.59  1998    4.91  2014   10.54  2019    7.33  2006    5.76  2022
    3.4  1916    3.1  2023    4.1  1961    4.9  2007    7.2  2008    9.6  2025   11.5  1991   11.4  2019   10.1  2021    8.0  2022    5.5  2011    4.1  1924    2.54  2014    4.45  1961   10.48  2003    7.33  2022    5.73  2025
    2.9  2020    3.1  1903    3.8  2012    4.6  1943    7.0  1964    9.5  2003   11.5  2025   11.3  1975    9.9  1999    8.0  1995    5.2  2022    4.1  1900    2.46  2017    4.35  2017   10.45  2023    7.13  2021    5.71  2023
    2.8  2022    2.9  1993    3.8  1990    4.5  2004    6.9  1893    9.5  2020   11.4  2013   11.3  2025    9.7  2023    8.0  1908    5.0  1953    4.1  1971    2.42  2007    4.32  1992   10.22  2021    7.08  1978    5.65  2024
    2.8  1923    2.8  2024    3.7  1945    4.4  2009    6.9  1999    9.4  2014   11.3  2021   11.1  2008    9.6  1941    7.9  2005    5.0  1997    3.9  1898    2.41  1925    4.31  1999   10.16  1933    6.98  2001    5.49  2007
    2.7  1932    2.7  1961    3.3  1997    4.4  1944    6.8  1889    9.4  1992   11.3  2006   11.0  1995    9.5  1958    7.9  1978    4.9  1938    3.7  2016    2.31  1935    4.28  2011   10.15  2004    6.71  2014    5.48  2004
    2.6  2007    2.6  1945    3.2  2000    4.2  1949    6.8  2014    9.4  1970   11.3  1933   11.0  1991    9.5  1949    7.8  1968    4.8  1897    3.6  2015    2.29  2022    4.18  2007   10.09  2022    6.70  1953    5.43  2006
    2.5  1990    2.6  1896    3.1  2019    4.2  1961    6.7  2023    9.4  1966   11.1  1976   10.8  2023    9.5  1980    7.7  2011    4.8  2020    3.5  1974    2.27  2020    4.12  1959   10.09  2006    6.64  1949    5.42  2017
    2.5  1996    2.6  1943    2.9  1998    4.1  2003    6.7  1970    9.4  2005   11.1  1983   10.8  1893    9.4  2005    7.7  1921    4.6  2015    3.5  1905    2.25  1923    4.12  1945   10.07  2018    6.50  1908    5.37  2002
    2.5  1983    2.4  2026    2.9  2014    4.1  1896    6.6  1992    9.3  2016   11.0  2008   10.8  1990    9.4  1895    7.6  2006    4.5  1894    3.4  2013    2.16  1975    4.09  2004   10.00  2008    6.48  1999    5.37  2005
    2.4  1884    2.3  2012    2.9  2005    4.0  1894    6.5  2017    9.3  2007   11.0  1901   10.8  2009    9.4  2011    7.6  1977    4.5  2002    3.3  2024    2.09  1932    4.09  2025    9.99  2009    6.47  2009    5.37  2011
    2.4  1944    2.3  2017    2.9  1948    4.0  1993    6.5  1998    9.2  1976   10.9  2018   10.8  2002    9.3  2000    7.5  2013    4.4  2003    3.3  1931    2.08  2026    4.08  1997    9.98  1899    6.46  2005    5.32  2019
    2.4  1921    2.3  1990    2.8  2024    4.0  1999    6.5  1919    9.2  2002   10.9  2022   10.6  1959    9.3  1890    7.5  1959    4.4  1906    3.1  1956    2.04  1943    4.08  2009    9.97  2013    6.45  1995    5.31  1997
    2.3  1890    2.3  2019    2.8  1992    4.0  1933    6.4  1952    9.2  2004   10.9  1900   10.6  1955    9.2  2004    7.4  2021    4.3  1920    3.0  1953    2.00  1898    4.07  2022    9.96  2016    6.45  1958    5.31  2020
    2.2  1925    2.2  2014    2.8  1959    3.9  1937    6.4  2018    9.2  1960   10.9  1995   10.6  1947    9.2  1898    7.3  2017    4.3  2004    2.9  1921    1.96  1976    4.06  1952    9.91  1995    6.41  1938    5.29  1949
    2.2  1906    2.1  1926    2.7  2021    3.9  1898    6.4  2011    9.0  2010   10.8  1899   10.6  1969    9.2  2009    7.1  1949    4.3  2014    2.9  2025    1.96  1949    4.04  1960    9.90  1997    6.40  1945    5.26  1998
    2.2  2002    2.1  1939    2.7  2017    3.9  1997    6.3  1953    9.0  2022   10.7  1923   10.5  2020    9.1  2014    7.1  2025    4.2  1978    2.8  1954    1.92  2025    3.99  1990    9.86  2020    6.28  1959    5.23  1898
    2.2  1974    2.1  2022    2.7  2025    3.9  1960    6.3  2003    9.0  2018   10.7  2010   10.5  1895    9.1  1998    7.0  1990    4.2  2018    2.8  2006    1.90  1972    3.99  2003    9.84  2002    6.27  2004    5.23  1990
