Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for UK
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.4  1963   26.7  1947   22.3  1955   13.8  2021    5.6  1979    0.5  1936    0.0  1954    0.2  1932    1.2  1932    6.6  1931   15.1  1985   24.0  2010    71.6  1963    29.7  2013     0.6  1962    18.6  1993    93.4  2010
   25.9  1940   26.1  1963   20.9  1962   11.0  1956    5.4  1941    0.5  1991    0.0  1943    0.1  1944    1.1  1986    6.1  1993   14.0  1965   22.9  1950    60.5  1947    29.0  1955     0.6  1936    16.0  1985    91.4  1979
   25.9  1979   24.3  1942   20.5  1937   10.7  1936    4.3  1996    0.5  1962    0.0  1965    0.1  1977    0.9  1974    6.0  1955   13.6  1996   21.8  1981    59.8  1979    27.8  1970     0.5  1991    15.7  1952    88.5  1955
   24.0  1985   24.3  1986   19.2  2013   10.6  1970    4.1  1935    0.5  1975    0.0  1935    0.1  1938    0.9  1954    5.9  1992   13.2  1969   19.7  1961    55.2  1942    27.5  1962     0.5  1975    14.8  1965    86.9  1963
   23.9  1945   22.8  1956   18.7  1931    9.8  1968    3.3  1982    0.3  1964    0.0  1973    0.1  1973    0.8  1942    4.7  2003   12.2  1952   19.6  1976    54.7  1940    27.5  1941     0.4  1964    14.5  1973    85.0  1969
   22.5  1959   21.8  1968   17.5  1958    9.3  2013    3.1  1995    0.3  1941    0.0  1936    0.1  1964    0.8  1972    4.7  1981   12.0  1993   18.0  1962    54.2  2010    26.6  1958     0.3  1957    14.4  2010    84.6  1941
   22.3  1941   21.0  1979   17.1  1970    9.2  1986    3.1  1948    0.3  1957    0.0  1958    0.1  1931    0.7  1975    4.6  1997   11.6  2010   17.7  1937    50.7  1941    26.4  1969     0.3  1956    13.8  1969    84.0  1942
   21.8  1942   20.9  1955   17.0  1969    8.6  1938    3.0  1945    0.3  1989    0.0  1962    0.1  1999    0.6  1993    4.3  1939   11.2  2005   17.7  1933    50.6  1951    25.8  1951     0.3  1977    13.8  1996    84.0  1947
   20.1  1987   20.2  1969   16.6  1947    8.6  1983    3.0  1942    0.3  1956    0.0  1957    0.1  1937    0.6  1943    3.9  1973   11.1  1971   17.5  2009    49.5  1956    25.0  1979     0.3  1941    13.3  1971    81.5  1985
   20.0  1952   19.7  1983   16.1  1987    8.5  1969    2.9  1938    0.2  1998    0.0  1966    0.0  1962    0.6  1952    3.5  2002   10.6  1988   17.2  2001    48.3  1936    23.7  1932     0.3  1989    13.3  1988    79.9  1952
   19.0  2010   19.3  1991   15.8  1951    7.8  1978    2.8  2021    0.2  1985    0.0  1956    0.0  1966    0.6  1940    3.3  1948   10.5  1973   16.9  1995    47.8  1985    23.6  1931     0.3  1932    11.9  1936    79.1  1962
   18.9  1933   19.2  1996   14.9  1941    7.6  1951    2.7  1955    0.2  1977    0.0  1955    0.0  1951    0.5  1979    3.3  1983   10.0  1937   16.7  1964    47.6  1968    22.9  1937     0.3  1998    11.8  1955    78.0  1940
   18.6  1997   17.6  2010   14.5  1995    7.5  1989    2.6  1968    0.2  1942    0.0  1939    0.0  2012    0.5  1931    3.2  2018    9.6  1947   16.4  1935    47.6  1986    22.7  1995     0.2  2012    11.6  1937    77.8  1968
   18.5  2021   17.3  1936   14.3  1942    7.4  1984    2.6  2010    0.2  1934    0.0  2000    0.0  1948    0.4  1957    3.2  1946    9.4  1962   16.1  1946    47.1  1965    21.6  1956     0.2  1934    11.4  2005    77.3  1996
   18.4  1980   17.3  1970   14.0  1932    7.3  1958    2.5  1967    0.2  1978    0.0  1950    0.0  1986    0.4  1935    3.1  1987    9.4  1972   16.0  1996    46.5  1952    21.6  2021     0.2  1985    11.3  1972    77.1  1965
   17.7  1947   17.3  1981   13.9  1965    7.2  1966    2.5  1984    0.2  1955    0.0  1952    0.0  2014    0.4  1991    3.1  1935    9.3  1942   16.0  1952    46.5  1991    21.4  1968     0.2  1955    11.2  1942    76.3  1956
   16.8  1984   16.9  1978   13.7  1985    7.2  1954    2.5  1932    0.2  2012    0.0  1961    0.0  2016    0.4  2020    3.1  2008    8.8  1977   15.5  2008    45.9  1977    21.2  1975     0.2  1978    11.1  1962    75.6  1981
   16.8  1965   16.6  1960   13.6  1979    7.2  1977    2.5  1944    0.2  1949    0.0  2004    0.0  1934    0.4  1939    3.1  2012    8.8  1936   15.2  1969    45.7  1959    21.0  1953     0.2  1942    11.0  1992    75.5  1970
   16.6  1977   16.6  2018   13.6  2006    7.2  1941    2.4  2020    0.2  2015    0.0  1948    0.0  1956    0.4  1969    3.0  1980    8.7  2016   15.0  1968    44.8  2011    20.5  1942     0.2  1973    11.0  1980    73.6  1986
   16.4  1956   16.5  1952   13.5  1953    7.1  1932    2.3  1951    0.2  2001    0.0  1949    0.0  1943    0.4  1936    3.0  1952    8.3  1943   15.0  1963    44.8  1970    20.3  1947     0.2  1949    10.7  1947    72.8  1936
   16.3  1946   16.4  1941   13.3  1944    6.9  1953    2.2  1977    0.1  1969    0.0  1960    0.0  1935    0.4  1948    2.9  1951    8.3  1979   14.4  2022    44.7  1982    20.1  1996     0.2  1951    10.4  1950    72.3  1937
   16.3  1955   15.4  1933   13.2  1946    6.9  1975    2.2  1946    0.1  1961    0.0  1964    0.0  1965    0.4  2007    2.9  1941    8.2  1966   14.4  1960    44.5  1969    19.8  1965     0.2  1939    10.4  1948    72.1  1958
   16.1  1966   15.4  1940   13.2  1949    6.6  2016    2.1  1975    0.1  1952    0.0  1974    0.0  1954    0.3  2012    2.8  1950    8.0  1967   14.3  1982    44.2  1987    19.8  1934     0.2  1952    10.1  1966    71.7  1933
   15.9  1991   15.1  2013   13.2  1934    6.5  1973    2.1  1997    0.1  1939    0.0  1938    0.0  1967    0.3  1944    2.8  1936    8.0  1980   13.8  1992    44.2  1996    19.4  1984     0.2  1961     9.8  2012    71.1  2013
   15.8  1960   15.1  1987   12.7  2018    6.5  2008    2.1  1957    0.1  1951    0.0  1992    0.0  1982    0.3  1960    2.7  1964    7.7  1944   13.4  1939    43.8  1955    19.2  2006     0.2  1969     9.8  1983    70.7  2001
   15.7  2001   15.0  1985   12.7  1976    6.5  1990    2.0  2012    0.1  2009    0.0  1937    0.0  1960    0.3  1964    2.6  1949    7.6  1961   12.8  1978    43.1  2009    19.2  1986     0.2  2015     9.6  2019    70.4  1987
   15.6  1978   14.9  2001   12.3  1940    6.4  2012    1.9  1981    0.1  1946    0.0  1972    0.0  1953    0.3  1947    2.5  2010    7.6  1998   12.8  2017    42.4  1953    19.0  1987     0.2  1954     9.6  1998    69.2  1951
   15.5  1986   14.7  1954   12.2  1975    6.4  1981    1.8  1943    0.1  1981    0.0  1986    0.0  1969    0.3  2010    2.5  1988    7.5  1975   12.8  1944    41.6  1933    18.9  1973     0.2  2001     9.4  1975    69.2  1931
   15.5  1931   14.6  1994   12.0  2001    6.0  1998    1.8  1994    0.1  1971    0.0  1970    0.0  2004    0.3  1995    2.5  1932    7.5  1950   12.7  1967    41.6  1962    18.5  1985     0.1  1937     9.4  1943    68.7  1973
   15.3  2009   14.5  2003   11.5  1980    6.0  1950    1.8  2019    0.1  1986    0.0  1978    0.0  1946    0.2  1971    2.2  2019    7.4  2024   12.3  1970    41.3  1945    18.3  2010     0.1  1944     9.3  1934    68.1  1950
   15.1  2011   14.2  1944   11.4  2010    6.0  2000    1.7  2005    0.1  1954    0.0  1947    0.0  1936    0.2  1989    2.0  1971    7.4  2019   12.3  2003    41.1  2013    18.3  1946     0.1  1986     9.3  1979    67.2  1978
   15.1  1954   14.0  1951   11.1  1964    5.8  2022    1.7  1958    0.1  2000    0.0  1963    0.0  1939    0.2  1977    1.9  1998    7.4  2013   12.1  1973    41.0  1981    18.0  1936     0.1  1999     9.2  2016    66.4  1976
   14.9  1939   13.7  1932   10.8  1973    5.7  1979    1.6  1980    0.1  1937    0.0  2020    0.0  1933    0.2  1984    1.9  1974    7.3  1934   12.1  1999    40.9  1997    17.9  1976     0.1  2009     9.2  1944    65.6  1995
   14.6  1958   13.6  1965   10.7  1971    5.6  1934    1.6  1949    0.1  1973    0.0  1995    0.0  1952    0.2  2024    1.9  1956    7.1  1989   12.0  1965    40.4  2001    17.6  1940     0.1  1935     9.1  1977    64.4  1991
   14.6  2025   13.5  1958   10.6  1996    5.6  1962    1.5  1973    0.1  2011    0.0  1975    0.0  1975    0.2  1997    1.9  1966    7.1  1976   12.0  1940    40.1  1983    17.4  2001     0.1  1938     9.1  1967    64.0  1946
   14.6  1936   13.4  1931    9.8  1986    5.3  1988    1.5  2015    0.1  1987    0.0  1977    0.0  1968    0.2  2025    1.8  1934    6.9  2017   12.0  1938    39.4  1958    17.3  1944     0.1  1946     9.1  2008    63.3  1980
   14.5  1961   13.1  2016    9.5  1984    5.2  1996    1.4  1931    0.1  1932    0.0  2012    0.0  1974    0.2  1988    1.6  1962    6.8  2025   11.8  2012    39.1  2018    17.2  1949     0.1  1931     9.0  1941    62.9  2021
   14.2  2013   13.1  2004    9.4  1956    5.2  1974    1.4  1965    0.1  1935    0.0  1999    0.0  1961    0.2  1983    1.5  1933    6.7  1948   11.8  2007    38.7  1934    16.8  1954     0.1  1981     8.8  1981    62.4  1964
   14.2  1992   12.8  1953    9.3  1974    5.1  1940    1.3  1959    0.1  1953    0.0  1980    0.0  1987    0.2  1987    1.5  1937    6.7  1991   11.7  2014    38.6  2021    16.7  1971     0.1  1971     8.7  1964    61.7  1960
   14.2  2019   12.6  1973    9.0  1954    5.0  1995    1.3  1971    0.1  1999    0.0  2011    0.0  1955    0.2  2003    1.4  1994    6.5  1933   11.5  2005    37.9  1966    16.6  1935     0.1  2000     8.6  1931    61.6  1932
   14.0  2017   12.3  2009    8.9  1968    4.9  1939    1.3  1993    0.1  1983    0.0  1993    0.0  1963    0.2  1938    1.4  1940    6.4  2012   11.4  1993    37.9  1960    16.4  1980     0.1  1953     8.6  2024    61.5  1944
   13.9  1982   12.0  1959    8.8  2011    4.9  1935    1.3  1974    0.1  2005    0.0  1934    0.0  1993    0.1  1976    1.3  1954    6.4  1983   11.4  1943    37.6  1978    15.9  2018     0.1  1987     8.4  1932    60.9  1954
   13.7  1953   11.9  1984    8.8  1993    4.8  2006    1.3  2013    0.1  1974    0.0  1979    0.0  2010    0.1  1934    1.2  1975    6.1  2023   11.4  1990    37.5  1964    15.8  1974     0.1  1965     8.4  2003    60.3  1984
   13.7  1951   11.9  1934    8.7  1963    4.8  1976    1.2  1956    0.1  1997    0.0  1971    0.0  1994    0.1  1937    1.2  1944    6.1  1968   11.3  1989    37.0  1994    15.6  1978     0.1  2011     8.3  1961    60.3  1935
   13.4  1981   11.7  2015    8.4  2023    4.7  1999    1.2  1961    0.1  1972    0.0  1996    0.0  1957    0.1  1990    1.2  1972    6.1  1941   11.2  1957    36.9  1984    15.3  2016     0.1  1974     8.2  1949    60.2  2003
   13.1  1968   11.6  1957    8.4  2005    4.7  1971    1.1  1987    0.1  1980    0.0  1968    0.0  1981    0.1  1959    1.1  1942    6.0  2008   11.2  1958    36.2  2015    15.2  1982     0.1  1948     8.1  1933    59.8  1966
   13.1  1995   11.5  2012    8.4  2008    4.6  1967    1.1  1962    0.1  2008    0.0  1931    0.0  2022    0.1  1982    1.1  1967    6.0  1982   10.4  1991    35.7  1980    15.2  2008     0.1  1983     7.8  1976    59.6  1982
   13.0  2003   11.5  2006    8.4  1972    4.6  1994    1.0  2001    0.1  1933    0.0  1932    0.0  1949    0.1  1963    1.1  1970    5.9  1978   10.4  1936    35.6  2004    15.1  1938     0.1  1972     7.7  2013    58.8  1983
   12.8  2015   11.4  1962    8.2  1952    4.5  1965    1.0  1934    0.1  1945    0.0  1976    0.0  1992    0.1  2018    1.0  2023    5.8  1955   10.3  1980    34.2  1939    14.9  1983     0.1  1933     7.7  1991    57.9  2008
   12.3  1970   11.4  2005    8.2  1988    4.4  2001    0.9  1936    0.1  2017    0.0  1969    0.0  1989    0.1  1950    1.0  1953    5.7  1964   10.3  1955    34.1  1954    14.6  1977     0.1  2005     7.7  1956    57.0  1975
   11.8  2026   11.3  2008    8.1  1943    4.4  1933    0.9  1969    0.1  2021    0.0  1945    0.0  2020    0.1  1956    1.0  2024    5.7  1956   10.2  1979    33.9  2003    14.6  1989     0.1  1943     7.6  1935    56.8  2009
   11.8  2024   11.3  1948    8.1  2016    4.4  2019    0.9  1950    0.0  2020    0.0  1959    0.0  1971    0.1  1949    1.0  1982    5.7  1995   10.1  1951    33.7  2006    14.5  1966     0.1  1980     7.6  2025    56.5  1939
   11.6  1950   11.0  1950    8.0  2025    4.4  1991    0.8  1991    0.0  1931    0.0  2019    0.0  1958    0.1  2013    0.9  1986    5.7  1958    9.8  1998    33.5  1938    14.3  1981     0.1  1997     7.5  1989    56.1  1993
   11.6  1964   10.9  1964    8.0  1982    4.3  1997    0.8  2006    0.0  1988    0.0  2010    0.0  1998    0.1  1962    0.8  2007    5.5  1949    9.8  2000    33.4  1944    14.1  1964     0.1  1966     7.5  1954    55.4  1977
   11.6  1948   10.8  2021    7.9  1939    4.3  2010    0.8  1939    0.0  2024    0.0  2001    0.0  1978    0.1  1933    0.8  1938    5.4  1990    9.6  1945    33.4  1946    13.9  1988     0.1  1945     7.4  2017    55.1  1992
   11.4  1972   10.5  1976    7.8  2020    4.0  1985    0.8  2025    0.0  1995    0.0  1944    0.0  1976    0.1  1951    0.8  1985    5.3  1954    9.3  2020    33.1  1992    13.7  1939     0.1  1958     7.2  1974    54.9  1948
   11.2  1943    9.9  1975    7.8  2003    4.0  1955    0.8  1963    0.0  1940    0.0  1981    0.0  1940    0.1  1973    0.8  1984    5.3  1959    9.3  2004    32.7  1961    13.2  2005     0.1  2008     7.2  1987    54.9  2012
   11.0  1967    9.8  1966    7.6  1935    4.0  2003    0.8  1985    0.0  2007    0.0  1984    0.0  1980    0.1  1941    0.8  1947    5.3  2001    9.2  1966    32.4  2023    13.1  2020     0.1  2020     7.2  2023    54.3  1961
   10.9  1994    9.6  1977    7.5  2015    4.0  1982    0.8  2011    0.0  1950    0.0  2017    0.0  1950    0.1  1970    0.7  1965    5.2  1960    9.1  1941    31.9  2002    12.9  1948     0.1  2017     7.1  1997    54.2  1953
   10.7  2006    9.6  1999    7.2  2004    3.9  1945    0.7  1992    0.0  1958    0.0  1953    0.0  1945    0.1  1998    0.7  1991    5.1  1992    9.1  1986    31.4  1948    12.8  1963     0.1  2021     7.0  1982    54.0  2016
   10.7  2023    9.5  1988    7.1  1978    3.9  2002    0.7  1937    0.0  1938    0.0  1988    0.0  1941    0.1  1981    0.7  1960    5.1  1963    9.0  1987    30.8  1973    12.8  2015     0.1  1950     7.0  1940    54.0  2018
   10.7  1935    9.4  1937    6.8  1933    3.9  2015    0.6  2016    0.0  1947    0.0  1967    0.0  1972    0.0  2002    0.7  1961    5.0  1940    8.8  1975    30.7  1971    12.3  2023     0.0  2024     7.0  1939    53.7  1945
   10.6  1998    9.2  1938    6.8  2009    3.8  1948    0.6  2018    0.0  1965    0.0  2023    0.0  1983    0.0  2005    0.6  2025    5.0  2007    8.8  1984    30.6  1950    12.3  2022     0.0  1988     6.4  1968    53.6  2005
   10.6  1976    9.1  1971    6.7  1966    3.8  2023    0.6  1954    0.0  1984    0.0  2015    0.0  1984    0.0  1965    0.6  1976    4.9  1957    8.6  1948    30.4  1937    12.2  2000     0.0  1968     6.3  1995    53.6  1971
   10.5  1937    9.1  1982    6.6  1989    3.5  1931    0.6  1966    0.0  1948    0.0  2016    0.0  2024    0.0  1992    0.6  2009    4.8  1932    8.5  1947    29.9  2012    12.2  1967     0.0  1995     6.2  2018    53.2  1967
   10.5  1973    8.9  1935    6.5  2022    3.4  1947    0.6  1978    0.0  1968    0.0  1982    0.0  1985    0.0  1945    0.6  2017    4.7  1970    8.5  1994    29.8  1932    12.1  2003     0.0  1940     6.2  1960    52.6  1959
   10.5  1962    8.5  1992    6.4  1936    3.3  1963    0.6  1960    0.0  1996    0.0  1940    0.0  1979    0.0  1994    0.5  1999    4.6  2004    8.4  2011    29.8  2008    12.1  1998     0.0  1947     6.2  2007    51.7  2006
   10.3  2004    8.4  1972    6.1  2002    3.3  1980    0.6  1989    0.0  2025    0.0  1983    0.0  2007    0.0  1968    0.5  2016    4.5  2021    8.2  1983    29.8  1976    12.0  1993     0.0  2014     6.1  1978    51.2  1934
   10.2  1957    8.2  2007    6.1  1948    3.2  1957    0.6  2014    0.0  1944    0.0  1941    0.0  1988    0.0  2008    0.5  1957    4.4  1974    7.9  1949    29.2  1957    12.0  1950     0.0  1982     6.1  1958    51.1  1949
   10.2  2022    8.2  1967    6.1  1981    3.2  1942    0.6  2007    0.0  1970    0.0  2021    0.0  2021    0.0  2023    0.5  1990    4.1  1935    7.9  1931    29.2  2000    11.6  1952     0.0  2007     6.0  1990    49.5  1997
    9.9  2012    8.1  1989    5.9  1983    3.1  1952    0.5  1953    0.0  2013    0.0  1997    0.0  1947    0.0  1958    0.5  1979    4.1  1981    7.9  1985    28.4  1967    11.6  1933     0.0  1967     5.9  1957    49.3  1972
    9.9  2000    8.0  1949    5.8  2000    3.0  2005    0.5  1998    0.0  2023    0.0  1990    0.0  1942    0.0  1996    0.5  1943    3.9  1987    7.7  1972    28.2  1995    11.5  2012     0.0  2016     5.9  1959    48.9  1943
    9.8  2016    7.5  1946    5.5  1998    3.0  1992    0.5  2002    0.0  1982    0.0  2024    0.0  1995    0.0  1985    0.5  2004    3.7  1945    7.6  2023    27.8  1993    11.5  1994     0.0  1984     5.8  1970    48.3  2017
    9.8  2018    7.5  2025    5.4  1960    3.0  1964    0.5  1988    0.0  1967    0.0  2007    0.0  2018    0.0  2021    0.5  1959    3.7  2006    7.4  1956    27.4  1999    11.4  1945     0.0  2004     5.7  1946    48.2  1994
    9.6  1949    7.4  1974    5.3  1991    3.0  2017    0.5  2017    0.0  2022    0.0  2025    0.0  1959    0.0  2004    0.5  2000    3.5  2003    7.4  1997    27.1  1988    11.3  1943     0.0  1960     5.6  1951    48.1  2019
