Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   23.5  2014   21.4  2020   21.7  1903   20.2  1920   20.4  1967   20.4  1912   20.6  1988   21.5  1891   22.7  1918   26.5  1903   22.1  2009   23.8  1911    62.5  2014    51.9  1920    55.1  1912    58.0  1935   193.5  1903
   23.2  1928   20.6  1910   21.1  1914   19.1  1998   20.1  1924   20.3  1907   20.5  1920   21.4  1917   21.3  1950   21.6  1923   21.8  1951   23.3  1929    58.9  1916    51.0  1979    51.1  1907    58.0  1954   187.0  1923
   22.8  1948   20.2  2014   20.3  1897   19.0  1932   19.0  1925   18.1  1991   20.4  1936   21.3  1912   20.8  1896   21.5  1932   21.1  1960   23.1  1915    57.3  1995    50.5  1983    50.9  1946    57.6  2000   184.0  1900
   21.5  1900   20.2  1923   20.3  1912   18.8  2012   18.2  1969   17.9  1935   19.4  2009   20.7  1985   19.6  1974   21.4  1907   21.0  1939   22.9  1934    57.2  1915    48.9  1913    50.6  1985    56.2  1903   183.0  1916
   21.1  1988   20.0  1916   20.2  2023   17.9  1899   18.1  1902   17.8  1946   19.2  1939   20.2  1956   19.5  1954   21.2  1967   21.0  2000   22.6  1959    56.6  1937    48.7  1986    50.6  1927    54.4  1974   180.5  1954
   21.0  1984   19.7  1937   20.0  1905   17.3  1950   17.8  1983   17.2  1998   18.7  1953   19.9  1903   18.3  1935   21.1  1906   20.9  1944   22.2  2015    56.6  2016    47.8  1903    49.8  2012    54.1  1960   180.2  1927
   20.8  1975   19.6  2002   19.8  1947   16.9  2000   17.7  1906   17.0  1927   18.7  1960   19.9  1941   18.2  1927   21.1  1916   20.7  2015   22.2  1919    55.9  1910    47.4  1947    49.8  1924    53.4  1923   179.1  1928
   20.8  1990   19.5  1990   19.6  1913   16.5  1931   17.5  1986   17.0  1980   18.5  1931   19.1  1924   18.2  1946   21.1  1917   20.5  1970   21.9  1993    54.7  1912    47.3  1932    47.7  1956    53.2  1944   178.5  2000
   20.7  2016   19.1  1925   19.6  1896   16.4  1905   17.1  1979   16.8  2012   18.3  1915   19.0  1951   18.1  1899   21.1  2020   20.5  1963   21.5  1999    54.5  1922    46.0  1925    47.2  1958    52.4  1938   178.2  1912
   20.5  2008   18.9  2000   19.5  1981   16.3  1970   16.9  2021   16.7  1948   18.1  1940   18.9  1897   18.0  2017   21.0  1909   20.3  1929   21.5  1914    54.4  1994    45.7  1963    46.4  1960    52.2  1950   176.8  1907
