Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for UK
Areal series, starting in 1910
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   69.7  1959  101.3  2008  166.9  1929  228.9  2025  266.9  2020  265.1  1957  256.9  1955  259.5  1947  172.2  1959  120.0  2003   78.9  1925   64.0  2001   193.1  1963   653.3  2025   672.2  1976   341.3  1959  1648.5  2025
   66.5  2001   99.1  2019  165.5  2022  223.8  2021  266.2  2025  264.4  1940  250.4  1911  251.2  1995  163.1  1911  119.6  1959   77.4  2005   56.7  2014   192.5  2018   625.9  2020   664.6  1995   333.0  1971  1587.1  2003
   63.1  2022   98.1  2018  158.1  2025  223.0  2020  243.1  1989  248.2  1925  249.8  2006  240.9  1976  160.7  1991  114.1  1997   77.1  2006   53.6  2008   190.7  2015   555.4  1948   656.5  1911   330.3  2003  1579.5  1995
   62.3  2023   94.3  1970  157.8  2003  211.8  2015  240.6  2018  246.7  1975  247.4  2013  208.5  2022  160.0  1928  113.9  1971   75.9  1988   53.1  1962   189.7  2001   530.1  1929   645.8  1989   314.4  1986  1560.7  2018
   61.8  2025   93.4  2003  149.5  2012  205.3  1942  237.8  1948  243.1  1949  244.6  1989  201.1  1911  158.7  1914  111.5  1919   75.6  1996   50.0  2009   187.5  2000   525.3  1990   623.1  1975   306.0  1911  1555.9  1989
   61.3  1952   92.7  1949  143.8  1948  203.2  2007  234.9  1992  242.9  2023  239.4  1990  197.8  2003  157.6  1933  111.4  2018   75.3  1989   49.8  1946   186.3  2019   519.1  2007   615.5  2018   305.9  1996  1548.5  1955
   60.0  2003   87.7  1988  143.0  1933  202.3  1914  225.0  1990  235.8  1960  234.0  2018  196.5  1975  151.9  2015  109.1  2008   74.3  2016   49.1  1967   184.5  2003   513.6  2011   605.1  1949   305.9  1928  1542.0  1911
   59.9  2024   86.9  2004  141.8  2007  202.2  2011  223.4  1980  234.4  2018  226.9  1935  190.3  1933  151.5  1971  108.7  1922   71.8  1923   49.0  1961   184.0  1949   510.3  2003   596.0  1955   305.7  2018  1535.3  2022
   59.7  1965   84.5  2016  138.5  1955  202.0  1984  219.9  2001  231.5  1970  224.3  1934  190.2  1983  151.2  1964  105.7  1931   71.0  2017   48.6  1929   183.5  2008   507.0  2015   591.9  2006   301.8  1997  1531.3  1959
   59.4  1963   83.0  2001  137.0  2009  195.6  1912  217.8  1977  230.7  1969  223.8  1976  189.9  1989  150.3  1915  104.9  2022   70.8  1977   48.3  1999   181.0  2023   506.4  2009   587.3  1933   301.3  1929  1527.8  1949
   59.3  1991   82.7  1996  136.0  2020  186.9  1990  215.7  1935  220.8  1921  221.9  2014  183.5  1991  150.2  1929  104.7  2010   70.0  2013   48.3  2022   179.2  1952   505.3  1955   584.0  1959   301.1  1921  1498.3  2020
   58.4  2015   82.4  1989  132.6  1995  182.3  1921  214.5  1959  220.1  1996  212.9  1984  183.3  1919  150.1  1986  104.5  2016   69.9  1915   47.2  1976   174.2  2004   503.1  1956   583.7  2022   299.8  2006  1489.5  1929
   57.9  2000   81.7  1960  132.5  1982  181.8  2003  213.1  1943  213.8  1930  211.6  1971  182.1  2005  146.7  1997  104.4  1995   69.3  1973   47.0  1960   170.3  1962   499.6  1982   575.4  1940   299.7  1964  1481.8  1921
   57.9  2012   81.3  2000  132.3  2026  181.3  2010  212.8  1915  213.7  1939  210.7  1983  181.1  1955  146.2  2003  102.9  1921   69.1  1947   46.8  1948   168.7  2002   496.1  2010   575.2  1996   299.4  1923  1481.4  1990
   54.7  2017   80.6  1963  131.7  1967  179.7  1954  211.9  1997  213.1  1951  207.4  1995  180.8  2016  145.1  2020  102.3  1999   68.8  1965   46.3  2010   168.1  1989   491.0  1921   574.4  2013   298.4  1999  1479.7  1975
   54.7  1933   79.3  1934  131.1  1931  176.9  1969  211.0  1929  212.3  1950  207.0  1999  180.7  2025  142.9  2019  101.4  1955   67.6  1971   46.2  1957   167.8  1933   488.4  1953   574.3  1984   298.1  2016  1472.4  2006
   53.7  1940   78.8  1955  130.9  1953  173.8  1948  210.7  1971  211.3  1989  204.9  1921  180.1  1984  142.5  1987  101.3  1920   67.0  1910   46.1  2025   167.7  1985   487.5  2021   569.8  1947   294.8  1919  1456.2  2009
   53.5  1931   77.9  1957  130.6  1924  173.4  1945  210.7  1956  210.6  1959  200.3  1917  179.6  1997  142.5  1921  101.3  1981   66.5  1985   46.0  2019   164.6  2010   487.0  2022   568.0  2014   294.0  2010  1454.4  2019
   53.4  1984   76.9  1928  130.3  1910  172.1  1951  210.4  1919  209.7  1915  195.9  1943  177.8  1959  142.4  1979  101.3  1917   65.8  1998   46.0  2005   164.6  2020   485.1  2016   565.4  1934   293.9  1915  1445.3  2015
   53.0  2010   76.6  1985  129.5  1956  171.0  2002  210.1  2009  208.4  2010  195.6  1959  175.1  2019  141.6  1934  101.0  1986   64.7  1975   45.9  1965   164.5  1988   484.8  2017   564.0  1921   293.7  1955  1444.8  1933
   52.8  1962   75.6  2015  126.0  2014  168.7  2019  209.4  2000  208.3  1962  194.4  1997  174.4  1990  141.3  1940  100.6  1994   64.7  2023   45.7  2012   164.1  2022   482.1  1942   563.4  1969   289.9  2012  1444.7  2010
   52.3  1989   75.4  1999  125.7  1973  168.4  1962  209.1  1922  208.3  1917  193.9  1928  173.8  1926  140.9  2004   99.6  2007   64.1  1969   45.5  2004   162.1  1959   480.5  1995   559.9  1983   288.9  2023  1435.8  2007
