Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Wales
Areal series, starting in 1931
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.9  1963   27.2  1947   22.2  1962   11.5  2021    5.4  1941    0.6  1991    0.0  1965    0.0  1976    0.8  1986    6.6  1993   12.0  2005   24.1  2010    71.6  1963    29.9  2013     0.6  1991    16.9  1993    93.5  2010
   25.5  1940   26.3  1963   22.2  1955    9.5  1968    4.7  1996    0.2  1962    0.0  1984    0.0  1971    0.7  1969    5.7  1931   11.9  1965   20.9  1981    59.0  1979    25.9  1962     0.2  1962    13.7  1988    82.2  1979
   25.4  1979   25.5  1986   19.9  2013    9.0  1936    4.4  1979    0.2  1969    0.0  1973    0.0  1932    0.5  1932    5.5  2003   11.4  1988   20.3  1950    55.0  1947    25.4  1955     0.2  1969    13.6  1952    81.9  1963
   24.0  1985   22.8  1942   19.1  1937    9.0  1938    3.7  1982    0.2  1989    0.0  1971    0.0  1987    0.4  1975    4.6  1997   11.2  1952   19.8  1933    52.0  1940    23.7  1969     0.2  1973    12.7  2010    80.6  1955
   21.0  1941   22.8  1956   16.5  1958    9.0  1956    3.1  1935    0.2  1973    0.0  2001    0.0  1934    0.3  2018    4.4  1955   10.7  1985   18.4  1961    50.9  2010    23.7  1958     0.2  1989    12.7  1955    75.7  1969
   20.4  1945   21.3  1968   16.1  1931    8.9  2013    2.7  1945    0.2  2011    0.0  2020    0.0  1964    0.3  1979    4.2  1992   10.4  1996   18.0  1976    48.4  1942    23.3  1970     0.2  2011    12.0  2005    75.7  1996
   19.8  1942   20.9  1979   15.6  1969    8.4  1970    2.6  2021    0.2  1985    0.0  1996    0.0  1977    0.3  1974    3.7  2018   10.3  1993   17.3  1996    46.2  1996    22.9  1941     0.2  1985    11.9  1965    72.0  1947
   19.4  2010   19.4  1955   14.9  1970    8.2  1986    2.3  1984    0.2  1971    0.0  1986    0.0  1966    0.3  1936    2.9  2010    9.6  2010   17.2  1995    45.7  1991    21.7  1979     0.2  1971    11.3  1985    70.4  1985
   19.0  1980   19.2  1996   14.7  1951    8.1  1989    2.3  1932    0.1  1975    0.0  1964    0.0  2018    0.2  1939    2.8  1983    9.4  1969   16.4  1962    45.6  1986    20.7  2021     0.1  1975    10.4  1996    68.9  1941
   18.9  1987   19.1  1991   14.5  1947    7.4  1978    2.2  2020    0.1  1977    0.0  1959    0.0  1983    0.2  2025    2.5  1939    9.0  1971   16.3  2008    43.4  1985    20.5  2010     0.1  1977    10.1  1969    68.7  1968
   18.5  1959   19.0  1983   13.6  1987    7.1  1975    2.2  1995    0.1  1941    0.0  1954    0.0  2010    0.2  1942    2.3  1952    8.3  1955   16.1  1963    43.2  2011    20.1  1937     0.1  1941     9.7  1971    68.7  1942
   18.4  1997   18.3  1969   13.4  1946    7.1  1969    2.0  2010    0.1  1972    0.0  1934    0.0  1931    0.2  2010    2.3  1988    8.3  1942   16.1  1969    43.0  1965    20.0  1951     0.1  1972     9.2  1942    68.5  1933
   18.3  1933   17.0  1981   13.1  2010    7.1  1958    1.8  1967    0.1  1999    0.0  1935    0.0  1967    0.2  1972    2.3  1951    8.0  1967   15.7  2001    42.9  1982    19.6  1956     0.1  1999     9.1  1973    67.5  1962
   16.8  1955   16.8  2010   12.9  1932    7.0  1941    1.6  1938    0.0  1978    0.0  1932    0.0  1965    0.1  1987    2.2  1987    7.8  1972   15.3  1937    42.6  2009    19.4  1932     0.0  1987     9.0  2003    67.5  2013
   16.0  1977   15.9  1960   12.7  1976    6.9  1984    1.6  2019    0.0  1939    0.0  1931    0.0  1972    0.1  1962    2.0  1941    7.7  1980   14.8  1964    42.2  1956    19.0  1996     0.0  1978     9.0  1983    66.6  1956
   16.0  1952   15.2  1978   12.6  1953    6.7  1990    1.6  1968    0.0  1987    0.0  1945    0.0  1993    0.1  1959    2.0  1946    7.7  1937   14.7  2009    42.1  1951    18.4  1953     0.0  1939     9.0  1972    65.1  1952
   15.7  1946   14.8  1933   12.2  1985    5.9  1983    1.5  1942    0.0  1956    0.0  1944    0.0  1974    0.1  1952    1.9  2008    7.7  1977   13.6  1968    41.9  1941    18.4  1968     0.0  2001     8.7  1962    64.4  1986
   15.6  1947   14.5  1936   12.0  1964    5.8  1979    1.5  1946    0.0  2001    0.0  1946    0.0  1946    0.1  2003    1.9  1981    7.7  1962   13.3  1992    41.6  1968    18.1  1975     0.0  1956     8.6  1936    64.3  1965
   15.6  1992   14.5  1970   11.8  2006    5.6  1966    1.5  1993    0.0  2008    0.0  1947    0.0  1947    0.1  2024    1.9  1973    7.2  1973   13.3  2022    41.2  1970    17.8  1984     0.0  1976     8.4  1980    63.9  1940
