Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Wales
Areal series, starting in 1836
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  297.4  1948  295.3  2020  287.5  1981  195.2  1920  213.9  2021  218.6  2012  246.7  1939  275.2  1917  279.1  1918  326.4  1903  333.8  1929  334.1  2015   725.4  2016   498.5  1920   574.7  1879   739.0  2000  1986.4  1872
  267.3  1928  267.7  2002  245.8  1947  171.6  1913  184.2  1967  208.3  1860  226.4  2009  248.1  1912  255.5  1866  313.5  1967  321.1  1852  319.0  1965   724.3  2014   462.4  1981   534.2  1912   694.1  1954  1885.9  2000
  267.2  1974  261.0  1923  215.9  1903  169.2  2012  164.9  2006  192.5  1998  216.3  1839  241.2  1860  245.5  1950  284.5  2000  318.7  2009  301.9  1929   713.9  1995   459.9  1947   520.7  1860   663.7  1872  1783.2  1852
  257.9  2014  241.6  2014  212.9  1912  162.3  1998  158.2  1969  185.4  1879  204.3  2007  235.1  1879  240.1  1974  280.0  1998  290.7  1960  297.1  1868   689.7  1990   454.9  1913   508.1  2012   628.0  1960  1766.1  1954
  255.3  1990  229.0  1990  210.5  2023  153.5  2000  156.9  1886  168.1  2007  198.4  1920  231.1  1992  236.4  1981  272.8  1870  287.2  2000  296.6  1993   658.7  1869   418.6  1979   497.8  1927   612.6  1935  1757.3  1903
  250.9  1995  225.7  1950  198.9  1994  152.9  1961  154.3  1979  161.5  1928  198.0  1880  223.3  1927  235.2  1869  261.9  1916  279.9  1940  283.2  1934   648.6  2024   407.2  2006   488.3  1839   603.8  1967  1746.7  2020
  250.9  1999  224.8  1997  189.2  1913  146.7  1867  153.5  1878  159.4  1872  195.4  1888  216.7  1950  230.7  1958  259.5  1954  277.5  1954  276.1  1979   635.7  2021   397.0  2024   463.5  1882   602.3  1852  1725.3  2023
  250.5  1988  224.4  1977  187.0  1919  142.9  1966  152.7  1942  157.9  1912  189.3  1936  213.3  1985  229.5  1957  259.5  1987  269.5  1842  272.1  1986   626.5  1994   391.5  1994   463.0  1985   600.2  1903  1723.5  1877
  246.2  2008  219.7  1925  186.4  1998  142.5  1882  149.2  2002  150.8  1955  180.7  1988  207.0  1891  217.1  1896  257.0  1891  267.5  1931  271.7  1915   626.1  2020   388.7  1886   448.0  2007   598.1  1981  1721.3  1960
  245.0  1851  215.4  2024  182.7  1920  142.3  1935  146.9  1924  147.5  1838  179.8  2023  206.3  1852  212.2  1935  257.0  2004  267.0  1939  270.9  1994   622.3  1960   385.1  1963   446.6  2020   594.2  2025  1714.9  1998
