Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Wales
Areal series, starting in 1910
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   81.7  1933  107.2  2008  204.6  1929  233.9  2021  285.8  2020  286.7  1957  297.5  1955  274.7  1947  196.4  1959  122.4  1919   89.4  1925   73.1  2001   221.1  1963   660.4  2025   705.5  1911   354.5  1959  1652.9  1929
   76.7  1940  104.7  2019  168.1  2025  222.1  2025  270.2  2025  283.0  1925  285.4  2013  266.4  1995  175.9  1933  118.9  1975   88.8  1915   63.5  2008   209.6  1933   647.1  2020   684.7  1976   347.3  1971  1640.6  2025
   72.9  1963   98.2  1986  167.5  2003  221.5  2007  262.3  1948  278.4  1940  274.3  1911  257.3  1976  174.7  1914  118.1  1994   82.3  1923   63.2  1948   203.4  1934   608.7  1948   680.6  1989   328.2  1955  1628.3  1955
   69.5  1959   96.9  1934  167.5  1948  219.3  2020  251.1  1977  262.7  1975  269.5  1990  225.3  2022  169.6  1929  117.3  1965   81.6  1988   59.0  1962   199.0  1949   601.1  1929   679.1  1995   327.9  1921  1627.6  1911
   68.9  2001   96.5  2018  162.1  1955  216.8  2015  243.9  1990  261.0  2018  261.0  1984  218.5  1955  165.6  1971  117.2  1971   78.3  2006   58.0  1961   194.2  2003   544.6  2007   667.0  1949   326.9  1933  1626.9  1949
   68.4  2003   96.5  2004  159.3  2022  214.0  1984  243.5  2023  256.2  1949  254.6  1989  217.8  1911  165.5  2015  116.8  1962   76.8  1989   55.9  1963   190.8  2008   542.9  1956   648.0  1955   326.0  1911  1608.6  1995
   62.5  2009   91.4  1949  154.4  2011  213.8  1914  239.1  1989  247.9  1969  254.4  2006  215.2  1983  164.2  1991  116.1  2010   75.2  2005   54.7  1960   188.8  1952   541.3  2010   646.4  2018   321.5  1999  1590.8  1959
   62.1  1965   89.3  1963  153.3  2012  207.8  2011  233.9  1992  245.1  1960  246.9  2018  210.7  1989  163.4  1940  116.0  1921   74.9  1967   54.2  1996   186.2  2001   539.6  1953   640.6  1975   319.4  1975  1585.2  1921
   61.6  2025   88.6  1996  148.0  1924  206.2  1954  232.3  1975  238.9  2023  240.6  1983  201.5  2005  163.4  1911  116.0  1997   74.5  1918   53.0  1944   183.4  2018   536.3  1990   631.3  1940   319.2  1915  1577.0  1989
   61.6  1952   87.1  1975  147.7  1953  206.1  1938  232.2  2018  238.6  1921  239.5  1971  198.0  1975  161.0  1921  114.8  2018   71.3  1933   53.0  1957   182.4  2010   532.1  2011   629.7  1984   316.4  2010  1569.4  1975
   60.3  2006   87.1  1956  144.2  1956  202.2  2010  230.0  1921  236.6  2010  235.7  1934  196.6  1933  160.5  1928  114.3  1931   71.1  1965   53.0  1933   181.0  1985   527.5  2003   626.4  2013   315.9  1929  1566.8  1933
   60.2  1991   86.8  1970  142.1  2020  201.3  1921  228.3  1956  235.5  1942  232.5  2014  193.7  1937  159.8  1915  114.0  1947   70.7  2016   52.6  1929   178.6  2004   523.9  1921   625.7  1959   315.0  2006  1549.2  2018
   60.0  1931   86.7  2003  141.8  1933  198.6  1945  226.8  1929  234.3  1929  228.0  1921  192.3  1944  156.5  1964  114.0  1922   69.3  2010   52.5  1970   178.3  2023   513.0  2021   616.1  2014   312.2  1964  1543.0  2003
   59.1  2010   84.0  1933  141.4  1944  198.3  1912  225.5  1915  232.1  1930  226.4  1999  191.8  1959  155.4  1996  113.7  1959   69.0  1995   52.1  2025   177.2  2015   512.7  2016   611.3  2022   312.2  1986  1537.9  1990
   58.8  1945   83.5  1988  140.4  1973  189.2  1969  224.9  1971  229.6  1939  225.3  1949  189.5  1998  153.9  1955  109.4  1951   68.4  1986   51.9  1946   176.1  1959   510.7  1955   608.8  2006   312.0  1995  1531.1  2010
   58.7  1979   83.1  1952  139.4  1949  186.8  1953  223.2  1980  228.2  1959  220.8  1935  188.7  1919  153.7  2020  109.1  1999   66.9  1996   51.6  2014   175.1  1945   504.7  1946   605.9  1934   309.5  1919  1516.1  2022
   57.8  2024   82.9  2001  139.2  2007  186.1  2003  221.6  1949  227.4  1932  215.3  1918  186.3  2003  153.2  1954  108.6  1993   66.7  1910   51.2  2009   170.3  1962   503.6  1922   605.2  1925   307.9  1988  1494.6  1984
   57.4  1992   82.8  1985  137.9  1967  185.3  1990  221.5  1966  223.7  1918  214.2  1997  185.9  2025  152.3  2002  108.5  1955   65.8  1955   49.4  1916   169.3  2009   503.5  1949   603.7  1921   306.5  2003  1492.5  1940
