Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    9.1  1916   10.4  2019   12.1  1948   15.8  2011   17.6  2025   21.4  2023   23.1  2006   23.5  1995   19.9  1895   16.2  1921   11.9  2011   11.5  2015    9.04  2016   14.89  1893   21.33  1899   14.95  2006   14.07  2022
    9.1  2007    9.7  1998   12.0  2012   15.8  2007   17.3  1896   20.5  2018   23.1  1983   23.2  1899   19.4  2023   15.6  1959   11.9  2015    9.6  1898    8.75  1989   14.74  2025   21.04  1976   14.81  1959   14.02  2025
    8.9  2008    9.5  2024   11.8  1957   15.7  1893   17.3  1895   20.5  1899   22.6  2018   22.6  1947   19.3  1959   15.4  1995   11.8  1994    9.4  1934    8.64  2007   13.90  2020   20.91  1995   14.66  2022   13.85  2023
    8.8  1921    9.4  1990   11.8  1893   15.2  2025   17.2  2008   20.4  1887   22.4  2013   22.1  1976   19.1  2006   15.3  1969   11.2  2022    9.4  1988    8.63  2008   13.67  2007   20.69  2018   14.65  2023   13.69  2014
    8.7  1990    9.2  2008   11.5  2025   15.1  2020   17.2  1893   20.3  1896   22.3  1921   22.0  2022   18.9  1898   15.2  2022   11.2  1938    9.3  1974    8.59  2019   13.66  2011   20.40  2006   14.63  2011   13.52  2020
    8.5  1975    9.2  2022   11.4  2003   13.8  2003   17.2  1992   20.2  1940   21.7  1934   21.8  1955   18.9  1949   15.2  1908   11.0  2020    9.2  2023    8.57  2022   13.36  2017   20.39  2022   14.63  2014   13.45  2006
    8.5  1989    9.0  1891   11.4  2022   13.5  1945   17.0  2020   19.9  1893   21.6  1989   21.3  1911   18.8  2021   15.1  2001   11.0  2006    9.2  1953    8.55  2024   13.33  2022   20.36  1983   14.40  2021   13.45  2011
    8.4  1932    9.0  2002   11.1  1938   13.5  1894   17.0  2018   19.7  1976   21.6  1911   21.2  1997   18.7  1933   14.8  2006   10.9  2002    9.1  1900    8.37  1995   13.15  2003   20.29  2025   14.12  1949   13.45  2007
    8.4  1983    8.9  2023   11.0  2026   13.4  2015   16.9  1990   19.7  1895   21.5  1955   21.1  2003   18.7  2014   14.8  2011   10.8  1997    9.1  2013    8.37  1975   13.15  1948   20.25  1911   14.04  2005   13.44  1921
    8.4  2005    8.9  1945   10.9  2017   13.3  1987   16.9  2017   19.6  1970   21.3  1901   21.0  1975   18.5  1929   14.7  2005   10.7  1899    9.1  1994    8.37  1899   13.13  1896   20.20  1887   14.01  1995   13.42  1959
    8.3  2020    8.9  1961   10.8  1961   13.3  1914   16.8  1989   19.6  2006   21.3  1995   21.0  1984   18.2  1971   14.6  2023   10.7  2025    9.1  2018    8.35  1998   13.03  1990   19.96  1893   13.96  1921   13.41  1949
    8.3  1944    8.7  1914   10.7  2014   13.2  2014   16.8  2024   19.4  1957   21.3  1976   21.0  1983   18.1  1991   14.5  2014   10.7  1978    9.1  2016    8.34  2020   12.99  2014   19.93  1975   13.95  1971   13.41  2003
    8.3  2002    8.6  1997   10.6  1929   13.1  1943   16.8  2023   19.4  1960   21.1  2021   20.9  2025   18.1  1999   14.5  2013   10.7  2014    9.1  1918    8.31  2014   12.95  2024   19.88  1984   13.92  1898   13.40  1995
    8.3  1993    8.6  2011   10.6  1997   13.1  2019   16.8  1919   19.3  1992   21.1  2022   20.5  1990   18.0  2016   14.4  1971   10.6  1939    9.1  1942    8.29  1990   12.94  1945   19.86  1955   13.92  2015   13.40  2018
    8.3  1890    8.6  1903   10.6  1933   13.1  1946   16.7  1959   19.3  2010   20.9  1984   20.4  1893   18.0  2005   14.4  1945   10.6  1913    9.0  1912    8.22  1943   12.92  1997   19.84  2003   13.86  2009   13.38  1893
    8.1  2016    8.5  2020   10.5  1990   13.0  2009   16.6  1998   19.2  1897   20.9  1949   20.4  1933   18.0  1890   14.4  1949   10.6  2003    8.9  2024    8.11  2017   12.70  1957   19.79  1933   13.82  2001   13.32  1990
    8.1  1898    8.4  1995   10.4  1894   13.0  1944   16.4  1917   19.2  2025   20.8  2014   20.1  1937   17.8  1961   14.4  2009   10.5  2009    8.9  1924    7.98  1999   12.69  2019   19.75  1949   13.80  1999   13.28  2024
    8.1  1974    8.4  2000   10.4  1945   13.0  2010   16.3  1960   19.1  1889   20.8  1999   20.0  1959   17.8  2003   14.3  1978   10.4  2001    8.8  2021    7.97  2002   12.67  1943   19.73  1897   13.71  2002   13.26  2017
    8.0  1999    8.4  1926   10.4  1950   13.0  2022   16.3  1901   18.9  1925   20.8  2025   19.9  2004   17.6  1907   14.3  2017   10.4  1953    8.7  1921    7.93  1925   12.65  1959   19.65  2013   13.69  1978   13.26  1997
    8.0  2012    8.4  1920   10.3  2011   13.0  1942   16.3  1911   18.8  2014   20.7  1990   19.9  1944   17.5  1941   14.2  2021   10.4  2007    8.7  2025    7.92  2026   12.63  2023   19.64  1989   13.63  2007   13.26  1989
    7.9  1884    8.4  2007   10.3  2002   12.8  1997   16.3  2016   18.8  1949   20.7  1897   19.8  1884   17.5  1921   14.2  1968   10.3  1995    8.6  1986    7.89  1920   12.60  1992   19.58  1947   13.61  1913   13.24  1899
    7.9  2014    8.3  2026   10.2  1998   12.7  1896   16.3  2001   18.8  1950   20.7  1900   19.8  1932   17.5  2022   14.0  2024   10.2  2018    8.6  2011    7.88  1949   12.55  2009   19.53  1921   13.60  1997   13.22  2005
