Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    6.9  1916    6.9  2024    8.6  1957   10.9  2011   12.7  2024   16.2  2023   17.8  2006   17.9  1995   15.6  2023   12.3  1995    9.6  1994    9.2  2015    6.36  2016    9.69  2025   16.06  2025   11.55  2011   10.40  2023
    6.7  1921    6.8  1998    7.8  2012   10.4  2007   12.7  2008   15.3  2018   17.8  1983   17.2  1947   15.2  2006   12.3  2001    9.0  2011    7.5  1934    6.19  1989    9.66  1893   16.04  1995   11.53  2006   10.29  2025
    6.5  2007    6.7  1990    7.8  1948   10.0  2025   12.4  2017   15.3  2025   17.2  2018   17.2  1997   14.9  1949   12.2  1921    9.0  2015    7.2  1988    6.06  2024    9.44  2024   15.90  2018   11.45  2023   10.23  2022
    6.2  2008    6.4  2019    7.5  1938    9.9  2020   12.3  1992   14.9  1940   17.2  2013   17.1  1899   14.8  2021   12.1  1969    8.7  1938    7.2  1974    6.03  2007    9.34  2017   15.84  2006   11.33  2022   10.09  2014
    6.1  1990    6.4  2022    7.5  2017    9.9  1893   12.2  1893   14.8  1970   17.0  1921   17.0  1955   14.7  1895   12.0  2005    8.5  2022    7.0  1953    5.89  1975    9.31  2011   15.83  1976   11.18  2021    9.99  2024
    6.1  1975    6.2  2026    7.5  2026    9.2  1943   12.1  2025   14.8  1896   16.9  1995   16.9  1911   14.6  2016   12.0  2022    8.3  2002    7.0  1898    5.86  2022    9.26  2007   15.66  1899   11.11  2014    9.94  2006
    5.9  1983    6.2  1961    7.4  1998    9.2  2014   12.1  1998   14.8  1976   16.8  1934   16.9  2022   14.1  2014   11.9  2006    8.2  1997    7.0  2023    5.77  2019    9.13  2020   15.61  2003   10.85  1949    9.92  2020
    5.9  1989    6.2  1918    7.4  1990    9.2  1945   12.0  1989   14.7  2006   16.7  1989   16.6  2003   14.1  1933   11.8  2013    8.1  1939    6.9  2018    5.75  1943    9.10  2014   15.60  2022   10.84  1959    9.89  2011
    5.9  2005    6.2  2002    7.3  1997    9.2  2003   12.0  1919   14.6  2017   16.6  2021   16.4  1975   14.0  1999   11.8  1959    8.1  1899    6.8  1918    5.74  2020    9.04  2022   15.59  1983   10.74  2001    9.88  2017
    5.8  1932    6.1  1945    7.1  1961    9.2  1987   11.9  2023   14.6  1960   16.5  2025   16.4  1990   14.0  1929   11.7  2011    8.1  1953    6.7  1942    5.67  2014    8.90  1999   15.55  1911   10.64  1995    9.85  2007
    5.8  2020    6.1  1926    7.0  2022    9.0  1944   11.8  1952   14.6  1887   16.4  1976   16.3  2025   14.0  2005   11.7  1968    8.0  2009    6.7  1924    5.65  1935    8.90  1945   15.42  2023   10.62  2005    9.78  1949
    5.8  1944    6.0  2011    7.0  1981    8.9  1894   11.8  2018   14.5  2016   16.4  1911   16.3  1976   13.9  1961   11.7  1908    8.0  1913    6.6  2024    5.63  1998    8.89  2003   15.39  1955   10.59  2009    9.75  1990
    5.8  1884    6.0  1914    7.0  2024    8.9  1914   11.8  2022   14.5  1893   16.4  2022   16.3  1984   13.9  1958   11.5  2017    7.9  2020    6.6  1900    5.61  1995    8.87  1992   15.33  1893   10.58  1978    9.75  1999
    5.7  1898    6.0  1903    7.0  2025    8.8  1961   11.8  1990   14.4  1899   16.4  1955   16.1  1893   13.9  1898   11.5  2014    7.9  2025    6.5  1912    5.59  1990    8.83  1957   15.29  1933   10.54  1913    9.71  2018
    5.5  2002    5.9  1995    7.0  2019    8.8  2019   11.8  1999   14.4  1950   16.2  1999   16.1  2004   13.9  2011   11.5  2023    7.9  1978    6.5  2021    5.52  2026    8.82  1959   15.25  1975   10.41  2025    9.70  1921
    5.5  1993    5.8  2020    6.9  2003    8.8  1946   11.8  2016   14.4  2003   16.2  1901   16.0  2020   13.9  1941   11.4  2021    7.7  2014    6.3  1994    5.50  1925    8.80  1997   15.16  2013   10.40  1999    9.70  2005
    5.4  2012    5.8  2023    6.9  1893    8.7  2009   11.7  1964   14.2  2005   16.2  1949   16.0  1983   13.8  1959   11.2  1949    7.7  1946    6.3  2025    5.42  2017    8.78  1990   15.16  2021   10.39  1938    9.69  1997
