Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Wales
Areal series, starting in 1884
Last updated 01-Apr-2026 11:34
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
    4.8  1916    4.4  2024    5.6  1957    6.1  2011    8.7  2024   11.5  2025   12.6  2006   13.2  1997   11.8  2023    9.5  2001    7.4  1994    6.8  2015    3.68  1989    5.99  2024   11.89  2025    8.52  2011    7.01  2023
    4.6  1921    4.1  1918    4.5  1998    5.4  1961    8.3  2008   11.1  2023   12.6  1995   12.5  2020   11.4  2006    9.4  2005    6.3  2015    5.7  1934    3.67  2016    5.58  1999   11.54  2023    8.31  2023    6.74  2024
    4.0  2007    4.1  2026    4.5  1981    5.4  1943    8.2  1999   11.0  2017   12.4  1983   12.5  1911   11.1  2016    9.3  1968    6.2  1938    5.1  1988    3.60  1935    5.42  2017   11.45  2016    8.14  2006    6.59  2025
    3.7  1975    4.1  1990    4.2  1990    5.3  2014    8.0  2022   10.8  2016   12.4  2025   12.4  1995   10.9  2021    9.2  2013    6.2  2011    5.0  1974    3.57  2024    5.30  2014   11.41  2003    8.04  2022    6.54  2017
    3.6  1884    3.9  1998    4.1  2017    5.3  1993    8.0  2017   10.3  2007   12.2  1923   12.4  1990   10.9  1949    9.2  1995    5.9  2022    4.8  1953    3.42  2007    5.24  1992   11.38  2006    7.99  2021    6.53  2014
    3.6  1990    3.8  1926    4.0  2024    5.3  2007    7.8  1964   10.3  2018   12.1  2021   12.3  1955   10.6  2011    8.9  1969    5.8  2002    4.8  2018    3.41  1975    5.22  1998   11.24  2019    7.69  2001    6.46  2006
    3.5  2008    3.6  1961    4.0  1938    5.2  2024    7.7  1992   10.1  2005   12.1  2003   12.3  2004   10.6  1958    8.9  2006    5.8  1953    4.7  2023    3.31  1943    5.07  2011   11.21  1995    7.64  1949    6.40  2022
    3.4  1983    3.6  2022    3.9  1994    5.1  1949    7.7  1952   10.1  2003   12.1  1991   12.3  2019   10.4  2004    8.7  2017    5.7  1939    4.5  1924    3.30  1923    5.04  1957   11.20  2018    7.62  2014    6.39  2011
    3.4  1932    3.4  2011    3.9  1997    5.1  2018    7.6  2014   10.1  2004   12.1  2010   12.1  2008   10.3  1998    8.7  2022    5.6  1997    4.5  1918    3.13  2022    5.03  1959   11.15  2020    7.55  1968    6.35  2020
    3.3  1944    3.4  1903    3.9  2026    5.1  2004    7.6  1998   10.1  1970   12.0  2013   12.0  1932   10.3  1956    8.7  2011    5.5  2009    4.4  1898    3.11  2020    5.00  1952   11.09  1997    7.51  1978    6.35  1999
    3.3  2005    3.3  1945    3.8  2019    5.1  1937    7.5  2011   10.1  1950   11.9  1934   12.0  2012   10.2  1941    8.6  2021    5.5  1899    4.4  1942    3.11  1925    4.95  2007   11.08  2017    7.38  2025    6.31  2007
    3.3  1898    3.3  2002    3.8  1912    5.0  1987    7.4  1893   10.1  2020   11.9  2018   12.0  2003   10.1  1980    8.5  2014    5.4  1946    4.3  2024    3.10  2026    4.92  1945   11.02  2004    7.38  1994    6.31  2004
    3.3  1989    3.3  1946    3.7  1991    5.0  1999    7.4  2016   10.0  2006   11.8  1926   11.9  1893   10.1  2000    8.5  1954    5.2  2025    4.2  1954    3.02  2014    4.89  2023   10.96  2021    7.37  2009    6.30  1998
    3.2  2020    3.2  1995    3.7  2012    4.9  1944    7.3  1970    9.9  1896   11.8  2019   11.9  1947   10.1  1985    8.5  2023    5.2  1917    4.1  2021    2.95  2019    4.80  1961   10.95  1955    7.36  1938    6.26  2002
    3.0  1938    3.2  1914    3.7  1992    4.9  1945    7.3  1911    9.9  1966   11.8  1989   11.8  1975   10.1  2005    8.3  1990    5.2  1978    4.1  1900    2.94  1990    4.78  2022   10.93  1911    7.35  2004    6.23  1949
    3.0  1923    3.2  1923    3.6  1959    4.8  2020    7.3  1960    9.9  1976   11.7  2016   11.8  2022   10.0  1999    8.2  1921    5.0  2004    4.0  2025    2.91  1998    4.76  2002   10.88  1933    7.31  1995    6.22  1990
    3.0  1976    3.2  2017    3.6  2005    4.8  2025    7.3  1919    9.8  1982   11.7  1999   11.8  2023   10.0  1961    8.1  1977    5.0  1951    3.9  1971    2.86  1995    4.74  1997   10.86  2022    7.28  2005    6.22  2005
    2.9  2012    3.1  2020    3.5  1999    4.6  1959    7.3  1989    9.8  1960   11.7  2022   11.8  2016   10.0  1951    8.1  1949    5.0  2020    3.8  1912    2.77  1916    4.74  2008   10.86  1983    7.28  2013    6.18  2019
    2.9  1925    3.1  2014    3.5  1948    4.6  2003    7.2  1953    9.7  1998   11.7  2023   11.8  2025    9.9  1926    8.1  1978    4.9  1888    3.7  1922    2.72  2017    4.73  1993   10.82  2009    7.24  1913    6.17  1997
    2.8  1974    3.0  1897    3.5  1927    4.5  2019    7.1  1908    9.6  1897   11.7  1921   11.7  2024    9.9  1970    8.1  1959    4.9  1982    3.7  2006    2.58  2012    4.72  1912   10.80  1893    7.22  2017    6.16  2016
    2.7  1949    3.0  1966    3.5  2023    4.5  2009    7.1  2006    9.6  2021   11.7  1933   11.7  1933    9.8  1884    8.0  1996    4.9  1913    3.6  1994    2.57  1937    4.72  1981   10.77  1947    7.18  1958    6.09  2021
    2.7  2014    3.0  1943    3.4  1921    4.5  1920    7.1  1947    9.6  2000   11.6  1975   11.7  1906    9.8  1936    8.0  1989    4.9  2014    3.6  1911    2.50  1921    4.70  2005   10.76  2013    7.17  1945    6.07  2018
    2.7  2002    2.9  1997    3.4  1961    4.5  1904    7.0  2023    9.6  2019   11.6  2005   11.6  2013    9.8  1945    8.0  1908    4.9  1931    3.6  1921    2.49  1949    4.70  2025   10.75  2012    7.16  1946    6.03  1994
    2.7  2016    2.8  1935    3.4  1977    4.4  2005    7.0  2002    9.6  1940   11.6  2009   11.6  1984    9.7  1947    7.9  2025    4.8  1970    3.6  2011    2.48  1920    4.67  2019   10.73  1990    7.14  2024    5.96  1995
    2.7  1988    2.8  1980    3.3  1945    4.4  1946    6.9  2003    9.6  1935   11.6  1976   11.5  1899    9.7  1946    7.7  1945    4.8  2018    3.4  1910    2.48  2005    4.67  2003   10.73  2008    7.12  1970    5.96  2000
    2.6  1993    2.7  1937    3.3  2002    4.4  1926    6.9  2025    9.6  1963   11.5  1949   11.5  2006    9.6  1917    7.6  1886    4.8  1948    3.4  1977    2.41  2025    4.61  2009   10.72  2005    7.08  1997    5.94  1989
    2.6  1969    2.7  1920    3.3  1950    4.3  1992    6.9  2007    9.5  2014   11.5  1957   11.5  2009    9.6  1953    7.5  2024    4.7  2003    3.3  1985    2.38  1899    4.60  1960   10.69  1976    7.06  1984    5.92  2015
    2.6  1943    2.7  2000    3.3  1967    4.3  1914    6.9  2009    9.5  2012   11.5  2014   11.4  2018    9.6  1997    7.4  2009    4.7  1963    3.3  1932    2.37  1957    4.59  1920   10.62  1975    7.05  1908    5.92  1921
    2.5  1906    2.7  2023    3.3  1936    4.3  1955    6.8  2001    9.5  1910   11.5  1901   11.4  2001    9.6  2019    7.4  1916    4.7  2023    3.3  2013    2.33  1988    4.57  2004   10.60  1949    7.04  1999    5.91  1945
    2.4  1890    2.7  1928    3.2  1952    4.3  1896    6.8  1959    9.4  1947   11.4  1952   11.3  1942    9.6  1929    7.4  1930    4.6  1928    3.3  2016    2.33  1976    4.56  1943   10.56  1932    6.98  1953    5.90  1959
    2.4  1948    2.6  1908    3.2  1903    4.3  1894    6.8  2018    9.4  1986   11.4  1911   11.2  1926    9.6  1895    7.3  1898    4.5  1894    3.2  1929    2.31  1999    4.56  1990   10.52  2010    6.97  1951    5.88  1957
    2.3  1937    2.5  1989    3.2  2000    4.3  1957    6.7  1990    9.3  2009   11.4  2017   11.2  1939    9.5  1890    7.3  1971    4.5  1984    3.2  2002    2.31  1913    4.48  1893   10.48  1982    6.96  1954    5.88  1938
    2.3  1999    2.5  1992    3.1  1988    4.3  1940    6.7  1889    9.3  1993   11.4  2008   11.2  1973    9.5  1948    7.3  1913    4.5  1981    3.2  1956    2.27  1974    4.48  1994   10.47  1897    6.96  1948    5.88  2008
    2.3  1926    2.5  2007    3.1  1989    4.2  2006    6.7  1912    9.3  1997   11.3  1935   11.2  1949    9.5  1984    7.3  1903    4.4  2024    3.2  1941    2.24  1948    4.47  1991   10.47  1899    6.94  2007    5.82  2009
